# Directional plane-averaged electrostatic potential
# direction = a
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 0.00000000 0.00000000
# interpolation_samples = 64 64
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.03768562        0.15236756        4096
      0.11305687        0.29040189        4096
      0.18842811        0.46275261        4096
      0.26379936        0.65820596        4096
      0.33917060        0.86392982        4096
      0.41454185        1.06679642        4096
      0.48991309        1.25440872        4096
      0.56528434        1.41592990        4096
      0.64065558        1.54287691        4096
      0.71602683        1.62986137        4096
      0.79139807        1.67505730        4096
      0.86676931        1.68013397        4096
      0.94214056        1.64954605        4096
      1.01751180        1.58933432        4096
      1.09288305        1.50581308        4096
      1.16825429        1.40457123        4096
      1.24362554        1.29004516        4096
      1.31899678        1.16560919        4096
      1.39436803        1.03388727        4096
      1.46973927        0.89702685        4096
      1.54511052        0.75694315        4096
      1.62048176        0.61572278        4096
      1.69585301        0.47624516        4096
      1.77122425        0.34279097        4096
      1.84659550        0.22129944        4096
      1.92196674        0.11912422        4096
      1.99733799        0.04438546        4096
      2.07270923        0.00505934        4096
      2.14808048        0.00784063        4096
      2.22345172        0.05683603        4096
      2.29882296        0.15237554        4096
      2.37419421        0.29040178        4096
      2.44956545        0.46274609        4096
      2.52493670        0.65819579        4096
      2.60030794        0.86391889        4096
      2.67567919        1.06678706        4096
      2.75105043        1.25440231        4096
      2.82642168        1.41592680        4096
      2.90179292        1.54287668        4096
      2.97716417        1.62986289        4096
      3.05253541        1.67505872        4096
      3.12790666        1.68013262        4096
      3.20327790        1.64953863        4096
      3.27864915        1.58931790        4096
      3.35402039        1.50578685        4096
      3.42939164        1.40453822        4096
      3.50476288        1.29001245        4096
      3.58013413        1.16558580        4096
      3.65550537        1.03388048        4096
      3.73087662        0.89703922        4096
      3.80624786        0.75697205        4096
      3.88161910        0.61576196        4096
      3.95699035        0.47628668        4096
      4.03236159        0.34282666        4096
      4.10773284        0.22132239        4096
      4.18310408        0.11913086        4096
      4.25847533        0.04437705        4096
      4.33384657        0.00504149        4096
      4.40921782        0.00782075        4096
      4.48458906        0.05682040        4096
