# Periodic mirror-symmetry analysis
# mirror_asymmetry = 5.20645941826e-07
# odd_rms_eV = 2.76318938151e-07
# mirror_center_fraction = 0.488888888939
# fraction  profile_eV  mirrored_eV  odd_component_eV
     0.000000000      -0.765301956      -0.765301956       0.000000000
     0.022222222      -0.733874551      -0.733874760       0.000000105
     0.044444444      -0.642603283      -0.642603661       0.000000189
     0.066666667      -0.500116706      -0.500117177       0.000000236
     0.088888889      -0.319494677      -0.319495140       0.000000231
     0.111111111      -0.116539001      -0.116539341       0.000000170
     0.133333333       0.092108770       0.092108660       0.000000055
     0.155555556       0.290539697       0.290539887      -0.000000095
     0.177777778       0.464596831       0.464597338      -0.000000254
     0.200000000       0.602422988       0.602423770      -0.000000391
     0.222222222       0.694805345       0.694806317      -0.000000486
     0.244444444       0.735548010       0.735549066      -0.000000528
     0.266666667       0.721889221       0.721890249      -0.000000514
     0.288888889       0.654757684       0.654758574      -0.000000445
     0.311111111       0.538680580       0.538681234      -0.000000327
     0.333333333       0.381414441       0.381414793      -0.000000176
     0.355555556       0.193535568       0.193535603      -0.000000018
     0.377777778      -0.011900132      -0.011900368       0.000000118
     0.400000000      -0.219766949      -0.219767364       0.000000207
     0.422222222      -0.413625948      -0.413626428       0.000000240
     0.444444444      -0.577030081      -0.577030517       0.000000218
     0.466666667      -0.695301219      -0.695301520       0.000000151
     0.488888889      -0.757396869      -0.757396976       0.000000054
     0.511111111      -0.757396976      -0.757396869      -0.000000054
     0.533333333      -0.695301520      -0.695301219      -0.000000151
     0.555555556      -0.577030517      -0.577030081      -0.000000218
     0.577777778      -0.413626428      -0.413625948      -0.000000240
     0.600000000      -0.219767364      -0.219766949      -0.000000207
     0.622222222      -0.011900368      -0.011900132      -0.000000118
     0.644444444       0.193535603       0.193535568       0.000000018
     0.666666667       0.381414793       0.381414441       0.000000176
     0.688888889       0.538681234       0.538680580       0.000000327
     0.711111111       0.654758574       0.654757684       0.000000445
     0.733333333       0.721890249       0.721889221       0.000000514
     0.755555556       0.735549066       0.735548010       0.000000528
     0.777777778       0.694806317       0.694805345       0.000000486
     0.800000000       0.602423770       0.602422988       0.000000391
     0.822222222       0.464597338       0.464596831       0.000000254
     0.844444444       0.290539887       0.290539697       0.000000095
     0.866666667       0.092108660       0.092108770      -0.000000055
     0.888888889      -0.116539341      -0.116539001      -0.000000170
     0.911111111      -0.319495140      -0.319494677      -0.000000231
     0.933333333      -0.500117177      -0.500116706      -0.000000236
     0.955555556      -0.642603661      -0.642603283      -0.000000189
     0.977777778      -0.733874760      -0.733874551      -0.000000105
