# Directional plane-averaged electrostatic potential
# direction = b
# method = linear
# lattice_coefficients(a,b,c) = 0.00000000 1.00000000 0.00000000
# interpolation_samples = 64 64
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.04047201        0.10552483        4096
      0.12141602        0.16762263        4096
      0.20236003        0.28589799        4096
      0.28330404        0.44930762        4096
      0.36424805        0.64317179        4096
      0.44519206        0.85104210        4096
      0.52613607        1.05647951        4096
      0.60708008        1.24435913        4096
      0.68802409        1.40162600        4096
      0.76896810        1.51770437        4096
      0.84991211        1.58483730        4096
      0.93085612        1.59849650        4096
      1.01180013        1.55775289        4096
      1.09274414        1.46536918        4096
      1.17368815        1.32754213        4096
      1.25463216        1.15348446        4096
      1.33557617        0.95505251        4096
      1.41652018        0.74640227        4096
      1.49746419        0.54344224        4096
      1.57840820        0.36281472        4096
      1.65935221        0.22032316        4096
      1.74029622        0.12904869        4096
      1.82124023        0.09762022        4096
      1.90218424        0.12904848        4096
      1.98312825        0.22032278        4096
      2.06407226        0.36281425        4096
      2.14501627        0.54344177        4096
      2.22596028        0.74640193        4096
      2.30690430        0.95505240        4096
      2.38784831        1.15348465        4096
      2.46879232        1.32754264        4096
      2.54973633        1.46536996        4096
      2.63068034        1.55775386        4096
      2.71162435        1.59849756        4096
      2.79256836        1.58483833        4096
      2.87351237        1.51770526        4096
      2.95445638        1.40162665        4096
      3.03540039        1.24435948        4096
      3.11634440        1.05647955        4096
      3.19728841        0.85104187        4096
      3.27823242        0.64317137        4096
      3.35917643        0.44930714        4096
      3.44012044        0.28589756        4096
      3.52106445        0.16762233        4096
      3.60200846        0.10552473        4096
