# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.03768562       0.04047201      -5.72834816
    0     1       0.03768562       0.12141602      -5.59040184
    0     2       0.03768562       0.20236003      -5.19059452
    0     3       0.03768562       0.28330404      -4.56648972
    0     4       0.03768562       0.36424805      -3.76982892
    0     5       0.03768562       0.44519206      -2.86344582
    0     6       0.03768562       0.52613607      -1.91344960
    0     7       0.03768562       0.60708008      -0.99203767
    0     8       0.03768562       0.68802409      -0.17570889
    0     9       0.03768562       0.76896810       0.48562911
    0    10       0.03768562       0.84991211       0.99646662
    0    11       0.03768562       0.93085612       1.38845330
    0    12       0.03768562       1.01180013       1.68568011
    0    13       0.03768562       1.09274414       1.91063176
    0    14       0.03768562       1.17368815       2.07997373
    0    15       0.03768562       1.25463216       2.20594496
    0    16       0.03768562       1.33557617       2.29836347
    0    17       0.03768562       1.41652018       2.36498370
    0    18       0.03768562       1.49746419       2.41243873
    0    19       0.03768562       1.57840820       2.44508535
    0    20       0.03768562       1.65935221       2.46674982
    0    21       0.03768562       1.74029622       2.47975223
    0    22       0.03768562       1.82124023       2.48586415
    0    23       0.03768562       1.90218424       2.48586421
    0    24       0.03768562       1.98312825       2.47975238
    0    25       0.03768562       2.06407226       2.46675007
    0    26       0.03768562       2.14501627       2.44508567
    0    27       0.03768562       2.22596028       2.41243911
    0    28       0.03768562       2.30690430       2.36498410
    0    29       0.03768562       2.38784831       2.29836384
    0    30       0.03768562       2.46879232       2.20594524
    0    31       0.03768562       2.54973633       2.07997384
    0    32       0.03768562       2.63068034       1.91063159
    0    33       0.03768562       2.71162435       1.68567950
    0    34       0.03768562       2.79256836       1.38845204
    0    35       0.03768562       2.87351237       0.99646443
    0    36       0.03768562       2.95445638       0.48562573
    0    37       0.03768562       3.03540039      -0.17571363
    0    38       0.03768562       3.11634440      -0.99204400
    0    39       0.03768562       3.19728841      -1.91345733
    0    40       0.03768562       3.27823242      -2.86345406
    0    41       0.03768562       3.35917643      -3.76983682
    0    42       0.03768562       3.44012044      -4.56649659
    0    43       0.03768562       3.52106445      -5.19059967
    0    44       0.03768562       3.60200846      -5.59040464
    1     0       0.11305687       0.04047201      -5.34182052
    1     1       0.11305687       0.12141602      -5.20631448
    1     2       0.11305687       0.20236003      -4.81448159
    1     3       0.11305687       0.28330404      -4.20595834
    1     4       0.11305687       0.36424805      -3.43256565
    1     5       0.11305687       0.44519206      -2.55267256
    1     6       0.11305687       0.52613607      -1.63195732
    1     7       0.11305687       0.60708008      -0.75207242
    1     8       0.11305687       0.68802409       0.01011442
    1     9       0.11305687       0.76896810       0.62311390
    1    10       0.11305687       0.84991211       1.09982756
    1    11       0.11305687       0.93085612       1.46494250
    1    12       0.11305687       1.01180013       1.74135784
    1    13       0.11305687       1.09274414       1.94946192
    1    14       0.11305687       1.17368815       2.10438302
    1    15       0.11305687       1.25463216       2.21865544
    1    16       0.11305687       1.33557617       2.30104527
    1    17       0.11305687       1.41652018       2.35992405
    1    18       0.11305687       1.49746419       2.40068066
    1    19       0.11305687       1.57840820       2.42829455
    1    20       0.11305687       1.65935221       2.44608277
    1    21       0.11305687       1.74029622       2.45658053
    1    22       0.11305687       1.82124023       2.46146476
    1    23       0.11305687       1.90218424       2.46146481
    1    24       0.11305687       1.98312825       2.45658069
    1    25       0.11305687       2.06407226       2.44608302
