# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000        2.86541168
     1        0.07873999        2.86539734
     2        0.15747997        2.86541125
     3        0.23621996        2.86539806
     4        0.31495995        2.86541010
     5        0.39369994        2.86539946
     6        0.47243992        2.86540832
     7        0.55117991        2.86540140
     8        0.62991990        2.86540612
     9        0.70865988        2.86540365
    10        0.78739987        2.86540371
    11        0.86613986        2.86540599
    12        0.94487985        2.86540135
    13        1.02361983        2.86540815
    14        1.10235982        2.86539927
    15        1.18109981        2.86540991
    16        1.25983979        2.86539771
    17        1.33857978        2.86541107
    18        1.41731977        2.86539683
    19        1.49605976        2.86541149
    20        1.57479974        2.86539672
    21        1.65353973        2.86541112
    22        1.73227972        2.86539740
    23        1.81101970        2.86540999
    24        1.88975969        2.86539880
    25        1.96849968        2.86540819
    26        2.04723967        2.86540078
    27        2.12597965        2.86540591
    28        2.20471964        2.86540317
    29        2.28345963        2.86540343
    30        2.36219961        2.86540571
    31        2.44093960        2.86540096
    32        2.51967959        2.86540812
    33        2.59841957        2.86539877
    34        2.67715956        2.86541013
    35        2.75589955        2.86539711
    36        2.83463954        2.86541154
    37        2.91337952        2.86539617
    38        2.99211951        2.86541219
    39        3.07085950        2.86539608
    40        3.14959948        2.86541199
    41        3.22833947        2.86539688
    42        3.30707946        2.86541095
    43        3.38581945        2.86539851
    44        3.46455943        2.86540918
    45        3.54329942        2.86540085
    46        3.62203941        2.86540684
    47        3.70077939        2.86540367
    48        3.77951938        2.86540420
    49        3.85825937        2.86540671
    50        3.93699936        2.86540154
    51        4.01573934        2.86540967
    52        4.09447933        2.86539917
    53        4.17321932        2.86541226
    54        4.25195930        2.86539733
    55        4.33069929        2.86541400
    56        4.40943928        2.86539603
    57        4.48817927        2.86541475
    58        4.56691925        2.86539568
    59        4.64565924        2.86541451
    60        4.72439923        2.86539638
    61        4.80313921        2.86541328
    62        4.88187920        2.86539812
    63        4.96061919        2.86541106
    64        5.03935918        2.86540043
    65        5.11809916        2.86540719
    66        5.19683915        2.86540141
    67        5.27557914        2.86539909
    68        5.35431912        2.86539626
    69        5.43305911        2.86538060
    70        5.51179910        2.86537594
    71        5.59053909        2.86534108
    72        5.66927907        2.86532656
    73        5.74801906        2.86526446
    74        5.82675905        2.86522799
    75        5.90549903        2.86512790
    76        5.98423902        2.86505281
    77        6.06297901        2.86489968
    78        6.14171900        2.86476321
    79        6.22045898        2.86453582
    80        6.29919897        2.86430689
    81        6.37793896        2.86397407
    82        6.45667894        2.86360923
    83        6.53541893        2.86312492
    84        6.61415892        2.86256284
    85        6.69289891        2.86185745
    86        6.77163889        2.86100827
    87        6.85037888        2.85997568
    88        6.92911887        2.85870522
    89        7.00785885        2.85718129
    90        7.08659884        2.85528429
    91        7.16533883        2.85301368
    92        7.24407881        2.85017286
    93        7.32281880        2.84675823
    94        7.40155879        2.84248324
    95        7.48029878        2.83730917
    96        7.55903876        2.83083585
    97        7.63777875        2.82293677
    98        7.71651874        2.81305966
    99        7.79525872        2.80090922
   100        7.87399871        2.78571336
   101        7.95273870        2.76688351
   102        8.03147869        2.74331358
   103        8.11021867        2.71393517
   104        8.18895866        2.67711994
   105        8.26769865        2.63103825
   106        8.34643863        2.57324090
   107        8.42517862        2.50072193
   108        8.50391861        2.40974875
   109        8.58265860        2.29549139
   110        8.66139858        2.15235466
   111        8.74013857        1.97281097
   112        8.81887856        1.74798850
   113        8.89761854        1.46697352
   114        8.97635853        1.11689557
   115        9.05509852        0.67967368
   116        9.13383851        0.13015952
   117        9.21257849       -0.56482647
   118        9.29131848       -1.40309307
   119        9.37005847       -2.36827189
   120        9.44879845       -3.44669446
   121        9.52753844       -4.61046707
   122        9.60627843       -5.87059469
   123        9.68501842       -7.24630185
   124        9.76375840       -8.71113864
   125        9.84249839      -10.18620704
   126        9.92123838      -11.56596665
   127        9.99997836      -12.74972206
   128       10.07871835      -13.64888951
   129       10.15745834      -14.18602014
   130       10.23619833      -14.30252979
   131       10.31493831      -13.97641941
   132       10.39367830      -13.23469185
   133       10.47241829      -12.14086463
   134       10.55115827      -10.76780727
   135       10.62989826       -9.18621803
   136       10.70863825       -7.49759547
   137       10.78737824       -5.84301087
   138       10.86611822       -4.33826596
   139       10.94485821       -3.07501781
   140       11.02359820       -2.08800220
   141       11.10233818       -1.35222472
   142       11.18107817       -0.84422563
   143       11.25981816       -0.54622570
   144       11.33855815       -0.44825498
   145       11.41729813       -0.54622512
   146       11.49603812       -0.84422442
   147       11.57477811       -1.35222281
   148       11.65351809       -2.08799953
   149       11.73225808       -3.07501439
   150       11.81099807       -4.33826190
   151       11.88973806       -5.84300615
   152       11.96847804       -7.49759043
   153       12.04721803       -9.18621298
   154       12.12595802      -10.76780258
   155       12.20469800      -12.14086099
   156       12.28343799      -13.23468974
   157       12.36217798      -13.97641898
   158       12.44091796      -14.30253089
   159       12.51965795      -14.18602243
   160       12.59839794      -13.64889261
   161       12.67713793      -12.74972545
   162       12.75587791      -11.56596969
   163       12.83461790      -10.18620904
   164       12.91335789       -8.71113907
   165       12.99209787       -7.24630056
   166       13.07083786       -5.87059175
   167       13.14957785       -4.61046263
   168       13.22831784       -3.44668866
   169       13.30705782       -2.36826521
   170       13.38579781       -1.40308607
   171       13.46453780       -0.56481952
   172       13.54327778        0.13016604
   173       13.62201777        0.67967977
   174       13.70075776        1.11690136
   175       13.77949775        1.46697906
   176       13.85823773        1.74799383
   177       13.93697772        1.97281611
   178       14.01571771        2.15235964
   179       14.09445769        2.29549622
   180       14.17319768        2.40975346
   181       14.25193767        2.50072653
   182       14.33067766        2.57324541
   183       14.40941764        2.63104268
   184       14.48815763        2.67712430
   185       14.56689762        2.71393946
   186       14.64563760        2.74331781
   187       14.72437759        2.76688769
   188       14.80311758        2.78571749
   189       14.88185757        2.80091330
   190       14.96059755        2.81306369
   191       15.03933754        2.82294075
   192       15.11807753        2.83083979
   193       15.19681751        2.83731307
   194       15.27555750        2.84248710
   195       15.35429749        2.84676205
   196       15.43303748        2.85017663
   197       15.51177746        2.85301742
   198       15.59051745        2.85528799
   199       15.66925744        2.85718494
   200       15.74799742        2.85870883
   201       15.82673741        2.85997926
   202       15.90547740        2.86101180
   203       15.98421739        2.86186094
   204       16.06295737        2.86256629
   205       16.14169736        2.86312833
   206       16.22043735        2.86361260
   207       16.29917733        2.86397740
   208       16.37791732        2.86431018
   209       16.45665731        2.86453907
   210       16.53539730        2.86476642
   211       16.61413728        2.86490284
   212       16.69287727        2.86505593
   213       16.77161726        2.86513098
   214       16.85035724        2.86523102
   215       16.92909723        2.86526746
   216       17.00783722        2.86532951
   217       17.08657720        2.86534400
   218       17.16531719        2.86537882
   219       17.24405718        2.86538343
   220       17.32279717        2.86539905
   221       17.40153715        2.86540184
   222       17.48027714        2.86540413
   223       17.55901713        2.86540986
   224       17.63775711        2.86540306
   225       17.71649710        2.86541365
   226       17.79523709        2.86540067
   227       17.87397708        2.86541578
   228       17.95271706        2.86539884
   229       18.03145705        2.86541694
   230       18.11019704        2.86539806
   231       18.18893702        2.86541709
   232       18.26767701        2.86539833
   233       18.34641700        2.86541626
   234       18.42515699        2.86539955
   235       18.50389697        2.86541444
   236       18.58263696        2.86540130
   237       18.66137695        2.86541176
   238       18.74011693        2.86540359
   239       18.81885692        2.86540872
