# Periodic mirror-symmetry analysis
# mirror_asymmetry = 2.35808210462e-08
# odd_rms_eV = 3.05828985777e-08
# mirror_center_fraction = 0.350154313755
# fraction  profile_eV  mirrored_eV  odd_component_eV
     0.000000000      -1.342951165      -1.342951165       0.000000000
     0.033333333      -1.307348790      -1.307348832       0.000000021
     0.066666667      -1.203248846      -1.203248927       0.000000040
     0.100000000      -1.038442163      -1.038442271       0.000000054
     0.133333333      -0.824839621      -0.824839735       0.000000057
     0.166666667      -0.577007958      -0.577008056       0.000000049
     0.200000000      -0.310495909      -0.310495982       0.000000037
     0.233333333      -0.040318860      -0.040318912       0.000000026
     0.266666667       0.220142122       0.220142083       0.000000019
     0.300000000       0.459792919       0.459792892       0.000000013
     0.333333333       0.670142669       0.670142657       0.000000006
     0.366666667       0.845385184       0.845385193      -0.000000004
     0.400000000       0.982251216       0.982251245      -0.000000015
     0.433333333       1.079570152       1.079570188      -0.000000018
     0.466666667       1.137524084       1.137524110      -0.000000013
     0.500000000       1.156739314       1.156739314       0.000000000
     0.533333333       1.137524110       1.137524084       0.000000013
     0.566666667       1.079570188       1.079570152       0.000000018
     0.600000000       0.982251245       0.982251216       0.000000015
     0.633333333       0.845385193       0.845385184       0.000000004
     0.666666667       0.670142657       0.670142669      -0.000000006
     0.700000000       0.459792892       0.459792919      -0.000000013
     0.733333333       0.220142083       0.220142122      -0.000000019
     0.766666667      -0.040318912      -0.040318860      -0.000000026
     0.800000000      -0.310495982      -0.310495909      -0.000000037
     0.833333333      -0.577008056      -0.577007958      -0.000000049
     0.866666667      -0.824839735      -0.824839621      -0.000000057
     0.900000000      -1.038442271      -1.038442163      -0.000000054
     0.933333333      -1.203248927      -1.203248846      -0.000000040
     0.966666667      -1.307348832      -1.307348790      -0.000000021
