# Directional plane-averaged electrostatic potential
# direction = a
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 0.00000000 0.00000000
# interpolation_samples = 64 64
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.03768562        0.15710073        4096
      0.11305687        0.41612744        4096
      0.18842811        0.68625196        4096
      0.26379936        0.95316014        4096
      0.33917060        1.20454528        4096
      0.41454185        1.43057792        4096
      0.48991309        1.62409916        4096
      0.56528434        1.78059415        4096
      0.64065558        1.89790866        4096
      0.71602683        1.97565246        4096
      0.79139807        2.01434197        4096
      0.86676931        2.01451931        4096
      0.94214056        1.97618746        4096
      1.01751180        1.89880756        4096
      1.09288305        1.78185972        4096
      1.16825429        1.62572253        4096
      1.24362554        1.43253144        4096
      1.31899678        1.20677764        4096
      1.39436803        0.95559344        4096
      1.46973927        0.68878101        4096
      1.54511052        0.41862251        4096
      1.62048176        0.15941530        4096
      1.69585301       -0.07339288        4096
      1.77122425       -0.26452905        4096
      1.84659550       -0.40053417        4096
      1.92196674       -0.47137980        4096
      1.99733799       -0.47171053        4096
      2.07270923       -0.40150115        4096
      2.14808048       -0.26605976        4096
      2.22345172       -0.07537644        4096
      2.29882296        0.15711446        4096
      2.37419421        0.41614895        4096
      2.44956545        0.68627419        4096
      2.52493670        0.95317747        4096
      2.60030794        1.20455534        4096
      2.67567919        1.43058145        4096
      2.75105043        1.62409855        4096
      2.82642168        1.78059187        4096
      2.90179292        1.89790637        4096
      2.97716417        1.97565089        4096
      3.05253541        2.01434125        4096
      3.12790666        2.01451944        4096
      3.20327790        1.97618845        4096
      3.27864915        1.89880929        4096
      3.35402039        1.78186150        4096
      3.42939164        1.62572269        4096
      3.50476288        1.43252753        4096
      3.58013413        1.20676726        4096
      3.65550537        0.95557584        4096
      3.73087662        0.68875851        4096
      3.80624786        0.41860072        4096
      3.88161910        0.15940128        4096
      3.95699035       -0.07339374        4096
      4.03236159       -0.26451543        4096
      4.10773284       -0.40050895        4096
      4.18310408       -0.47134834        4096
      4.25847533       -0.47167901        4096
      4.33384657       -0.40147577        4096
      4.40921782       -0.26604591        4096
      4.48458906       -0.07537702        4096
