# Periodic mirror-symmetry analysis
# mirror_asymmetry = 1.64244816665e-07
# odd_rms_eV = 8.73361907705e-08
# mirror_center_fraction = 0.488888888888
# fraction  profile_eV  mirrored_eV  odd_component_eV
     0.000000000      -0.766871863      -0.766871863       0.000000000
     0.022222222      -0.735363661      -0.735363695       0.000000017
     0.044444444      -0.643862699      -0.643862766       0.000000034
     0.066666667      -0.501032311      -0.501032411       0.000000050
     0.088888889      -0.319999769      -0.319999901       0.000000066
     0.111111111      -0.116617025      -0.116617184       0.000000080
     0.133333333       0.092429129       0.092428945       0.000000092
     0.155555556       0.291195158       0.291194953       0.000000102
     0.177777778       0.465504839       0.465504618       0.000000111
     0.200000000       0.603498901       0.603498666       0.000000117
     0.222222222       0.695975857       0.695975614       0.000000122
     0.244444444       0.736755281       0.736755034       0.000000123
     0.266666667       0.723084486       0.723084241       0.000000123
     0.288888889       0.655888976       0.655888736       0.000000120
     0.311111111       0.539682509       0.539682280       0.000000114
     0.333333333       0.382206843       0.382206629       0.000000107
     0.355555556       0.194032780       0.194032585       0.000000097
     0.377777778      -0.011773157      -0.011773330       0.000000086
     0.400000000      -0.220057844      -0.220057990       0.000000073
     0.422222222      -0.414341771      -0.414341887       0.000000058
     0.444444444      -0.578129395      -0.578129479       0.000000042
     0.466666667      -0.696692686      -0.696692736       0.000000025
     0.488888889      -0.758946741      -0.758946758       0.000000008
     0.511111111      -0.758946758      -0.758946741      -0.000000008
     0.533333333      -0.696692736      -0.696692686      -0.000000025
     0.555555556      -0.578129479      -0.578129395      -0.000000042
     0.577777778      -0.414341887      -0.414341771      -0.000000058
     0.600000000      -0.220057990      -0.220057844      -0.000000073
     0.622222222      -0.011773330      -0.011773157      -0.000000086
     0.644444444       0.194032585       0.194032780      -0.000000097
     0.666666667       0.382206629       0.382206843      -0.000000107
     0.688888889       0.539682280       0.539682509      -0.000000114
     0.711111111       0.655888736       0.655888976      -0.000000120
     0.733333333       0.723084241       0.723084486      -0.000000123
     0.755555556       0.736755034       0.736755281      -0.000000123
     0.777777778       0.695975614       0.695975857      -0.000000122
     0.800000000       0.603498666       0.603498901      -0.000000117
     0.822222222       0.465504618       0.465504839      -0.000000111
     0.844444444       0.291194953       0.291195158      -0.000000102
     0.866666667       0.092428945       0.092429129      -0.000000092
     0.888888889      -0.116617184      -0.116617025      -0.000000080
     0.911111111      -0.319999901      -0.319999769      -0.000000066
     0.933333333      -0.501032411      -0.501032311      -0.000000050
     0.955555556      -0.643862766      -0.643862699      -0.000000034
     0.977777778      -0.735363695      -0.735363661      -0.000000017
