# Directional plane-averaged electrostatic potential
# direction = b
# method = linear
# lattice_coefficients(a,b,c) = 0.00000000 1.00000000 0.00000000
# interpolation_samples = 64 64
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.04047201        0.10347138        4096
      0.12141602        0.16572760        4096
      0.20236003        0.28429513        4096
      0.28330404        0.44808826        4096
      0.36424805        0.64237734        4096
      0.44519206        0.85066550        4096
      0.52613607        1.05647313        4096
      0.60708008        1.24464790        4096
      0.68802409        1.40212423        4096
      0.76896810        1.51833188        4096
      0.84991211        1.58552871        4096
      0.93085612        1.59919986        4096
      1.01180013        1.55841947        4096
      1.09274414        1.46594114        4096
      1.17368815        1.32794617        4096
      1.25463216        1.15363591        4096
      1.33557617        0.95486882        4096
      1.41652018        0.74582015        4096
      1.49746419        0.54243300        4096
      1.57840820        0.36139493        4096
      1.65935221        0.21855951        4096
      1.74029622        0.12705530        4096
      1.82124023        0.09554603        4096
      1.90218424        0.12705527        4096
      1.98312825        0.21855944        4096
      2.06407226        0.36139483        4096
      2.14501627        0.54243287        4096
      2.22596028        0.74581999        4096
      2.30690430        0.95486863        4096
      2.38784831        1.15363571        4096
      2.46879232        1.32794595        4096
      2.54973633        1.46594090        4096
      2.63068034        1.55841922        4096
      2.71162435        1.59919961        4096
      2.79256836        1.58552846        4096
      2.87351237        1.51833164        4096
      2.95445638        1.40212400        4096
      3.03540039        1.24464769        4096
      3.11634440        1.05647294        4096
      3.19728841        0.85066533        4096
      3.27823242        0.64237719        4096
      3.35917643        0.44808814        4096
      3.44012044        0.28429505        4096
      3.52106445        0.16572755        4096
      3.60200846        0.10347136        4096
