# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000        2.82123275
     1        0.07873999        2.82121843
     2        0.15747997        2.82123237
     3        0.23621996        2.82121921
     4        0.31495995        2.82123126
     5        0.39369994        2.82122066
     6        0.47243992        2.82122954
     7        0.55117991        2.82122264
     8        0.62991990        2.82122739
     9        0.70865988        2.82122495
    10        0.78739987        2.82122503
    11        0.86613986        2.82122733
    12        0.94487985        2.82122272
    13        1.02361983        2.82122955
    14        1.10235982        2.82122070
    15        1.18109981        2.82123136
    16        1.25983979        2.82121919
    17        1.33857978        2.82123257
    18        1.41731977        2.82121835
    19        1.49605976        2.82123304
    20        1.57479974        2.82121829
    21        1.65353973        2.82123272
    22        1.73227972        2.82121902
    23        1.81101970        2.82123164
    24        1.88975969        2.82122048
    25        1.96849968        2.82122989
    26        2.04723967        2.82122251
    27        2.12597965        2.82122766
    28        2.20471964        2.82122495
    29        2.28345963        2.82122523
    30        2.36219961        2.82122754
    31        2.44093960        2.82122281
    32        2.51967959        2.82123000
    33        2.59841957        2.82122067
    34        2.67715956        2.82123206
    35        2.75589955        2.82121907
    36        2.83463954        2.82123353
    37        2.91337952        2.82121818
    38        2.99211951        2.82123422
    39        3.07085950        2.82121814
    40        3.14959948        2.82123407
    41        3.22833947        2.82121899
    42        3.30707946        2.82123308
    43        3.38581945        2.82122067
    44        3.46455943        2.82123136
    45        3.54329942        2.82122306
    46        3.62203941        2.82122908
    47        3.70077939        2.82122593
    48        3.77951938        2.82122649
    49        3.85825937        2.82122902
    50        3.93699936        2.82122388
    51        4.01573934        2.82123203
    52        4.09447933        2.82122155
    53        4.17321932        2.82123467
    54        4.25195930        2.82121977
    55        4.33069929        2.82123646
    56        4.40943928        2.82121852
    57        4.48817927        2.82123727
    58        4.56691925        2.82121822
    59        4.64565924        2.82123708
    60        4.72439923        2.82121897
    61        4.80313921        2.82123589
    62        4.88187920        2.82122076
    63        4.96061919        2.82123374
    64        5.03935918        2.82122315
    65        5.11809916        2.82123000
    66        5.19683915        2.82122438
    67        5.27557914        2.82122234
    68        5.35431912        2.82122001
    69        5.43305911        2.82120518
    70        5.51179910        2.82120183
    71        5.59053909        2.82116893
    72        5.66927907        2.82115728
    73        5.74801906        2.82109923
    74        5.82675905        2.82106837
    75        5.90549903        2.82097588
    76        5.98423902        2.82091093
    77        6.06297901        2.82077112
    78        6.14171900        2.82065196
    79        6.22045898        2.82044684
    80        6.29919897        2.82024634
    81        6.37793896        2.81994956
    82        6.45667894        2.81963014
    83        6.53541893        2.81920279
    84        6.61415892        2.81871182
    85        6.69289891        2.81809490
    86        6.77163889        2.81735536
    87        6.85037888        2.81645824
    88        6.92911887        2.81535462
    89        7.00785885        2.81403545
    90        7.08659884        2.81238887
    91        7.16533883        2.81042341
    92        7.24407881        2.80795305
    93        7.32281880        2.80498655
    94        7.40155879        2.80125153
    95        7.48029878        2.79672536
    96        7.55903876        2.79102565
    97        7.63777875        2.78404568
    98        7.71651874        2.77525518
    99        7.79525872        2.76438272
   100        7.87399871        2.75068171
   101        7.95273870        2.73359042
   102        8.03147869        2.71203013
   103        8.11021867        2.68495883
   104        8.18895866        2.65077198
   105        8.26769865        2.60765929
   106        8.34643863        2.55318405
   107        8.42517862        2.48434257
   108        8.50391861        2.39739065
   109        8.58265860        2.28746983
   110        8.66139858        2.14893674
   111        8.74013857        1.97419335
   112        8.81887856        1.75427453
   113        8.89761854        1.47815354
   114        8.97635853        1.13283354
   115        9.05509852        0.70010327
   116        9.13383851        0.15469535
   117        9.21257849       -0.53665385
   118        9.29131848       -1.37177541
   119        9.37005847       -2.33424250
   120        9.44879845       -3.41024163
   121        9.52753844       -4.57164775
   122        9.60627843       -5.82915088
   123        9.68501842       -7.20158390
   124        9.76375840       -8.66205538
   125        9.84249839      -10.13126754
   126        9.92123838      -11.50349205
   127        9.99997836      -12.67818028
   128       10.07871835      -13.56711734
   129       10.15745834      -14.09311664
   130       10.23619833      -14.19745438
   131       10.31493831      -13.85752010
   132       10.39367830      -13.09939165
   133       10.47241829      -11.98567121
   134       10.55115827      -10.58870203
   135       10.62989826       -8.97929255
   136       10.70863825       -7.25969025
   137       10.78737824       -5.57219194
   138       10.86611822       -4.03412280
   139       10.94485821       -2.73881978
   140       11.02359820       -1.72272597
   141       11.10233818       -0.96244734
   142       11.18107817       -0.43589363
   143       11.25981816       -0.12632741
   144       11.33855815       -0.02442800
   145       11.41729813       -0.12632740
   146       11.49603812       -0.43589362
   147       11.57477811       -0.96244735
   148       11.65351809       -1.72272598
   149       11.73225808       -2.73881980
   150       11.81099807       -4.03412285
   151       11.88973806       -5.57219204
   152       11.96847804       -7.25969039
   153       12.04721803       -8.97929277
   154       12.12595802      -10.58870231
   155       12.20469800      -11.98567159
   156       12.28343799      -13.09939212
   157       12.36217798      -13.85752069
   158       12.44091796      -14.19745506
   159       12.51965795      -14.09311745
   160       12.59839794      -13.56711836
   161       12.67713793      -12.67818141
   162       12.75587791      -11.50349324
   163       12.83461790      -10.13126869
   164       12.91335789       -8.66205650
   165       12.99209787       -7.20158493
   166       13.07083786       -5.82915179
   167       13.14957785       -4.57164859
   168       13.22831784       -3.41024238
   169       13.30705782       -2.33424321
   170       13.38579781       -1.37177607
   171       13.46453780       -0.53665448
   172       13.54327778        0.15469471
   173       13.62201777        0.70010263
   174       13.70075776        1.13283289
   175       13.77949775        1.47815286
   176       13.85823773        1.75427383
   177       13.93697772        1.97419261
   178       14.01571771        2.14893598
   179       14.09445769        2.28746904
   180       14.17319768        2.39738984
   181       14.25193767        2.48434174
   182       14.33067766        2.55318320
   183       14.40941764        2.60765842
   184       14.48815763        2.65077110
   185       14.56689762        2.68495795
   186       14.64563760        2.71202923
   187       14.72437759        2.73358953
   188       14.80311758        2.75068081
   189       14.88185757        2.76438181
   190       14.96059755        2.77525428
   191       15.03933754        2.78404478
   192       15.11807753        2.79102475
   193       15.19681751        2.79672447
   194       15.27555750        2.80125065
   195       15.35429749        2.80498567
   196       15.43303748        2.80795217
   197       15.51177746        2.81042254
   198       15.59051745        2.81238801
   199       15.66925744        2.81403460
   200       15.74799742        2.81535377
