# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.06164042       0.03558611      -1.61379716
    0     1       0.10273632       0.10676416      -1.53914914
    0     2       0.14383223       0.17794220      -1.31930390
    0     3       0.18492813       0.24912024      -0.97076161
    0     4       0.22602404       0.32029829      -0.52766652
    0     5       0.26711994       0.39147633      -0.03592332
    0     6       0.30821585       0.46265438       0.45600590
    0     7       0.34931175       0.53383242       0.91163482
    0     8       0.39040766       0.60501047       1.31175829
    0     9       0.43150356       0.67618851       1.65169854
    0    10       0.47259947       0.74736655       1.92917095
    0    11       0.51369537       0.81854460       2.14333299
    0    12       0.55479128       0.88972264       2.30169450
    0    13       0.59588719       0.96090069       2.41063333
    0    14       0.63698309       1.03207873       2.47546226
    0    15       0.67807900       1.10325678       2.50626695
    0    16       0.71917490       1.17443482       2.51247782
    0    17       0.76027081       1.24561286       2.49931713
    0    18       0.80136671       1.31679091       2.47060705
    0    19       0.84246262       1.38796895       2.43080897
    0    20       0.88355852       1.45914700       2.38539759
    0    21       0.92465443       1.53032504       2.33939479
    0    22       0.96575033       1.60150308       2.29749801
    0    23       1.00684624       1.67268113       2.26370934
    0    24       1.04794214       1.74385917       2.24187646
    0    25       1.08903805       1.81503722       2.23420247
    0    26       1.13013395       1.88621526       2.24190000
    0    27       1.17122986       1.95739331       2.26375589
    0    28       1.21232576       2.02857135       2.29756626
    0    29       1.25342167       2.09974939       2.33948324
    0    30       1.29451757       2.17092744       2.38550462
    0    31       1.33561348       2.24210548       2.43093295
    0    32       1.37670938       2.31328353       2.47074729
    0    33       1.41780529       2.38446157       2.49947333
    0    34       1.45890119       2.45563962       2.51264838
    0    35       1.49999710       2.52681766       2.50645091
    0    36       1.54109300       2.59799570       2.47566345
    0    37       1.58218891       2.66917375       2.41085973
    0    38       1.62328481       2.74035179       2.30195268
    0    39       1.66438072       2.81152984       2.14362701
    0    40       1.70547662       2.88270788       1.92950808
    0    41       1.74657253       2.95388593       1.65208232
    0    42       1.78766843       3.02506397       1.31218525
    0    43       1.82876434       3.09624201       0.91210401
    0    44       1.86986025       3.16742006       0.45650813
    0    45       1.91095615       3.23859810      -0.03541294
    0    46       1.95205206       3.30977615      -0.52718873
    0    47       1.99314796       3.38095419      -0.97036134
    0    48       2.03424387       3.45213223      -1.31901881
    0    49       2.07533977       3.52331028      -1.53900253
    1     0       0.14382535       0.03558029      -1.53910160
    1     1       0.18492125       0.10675833      -1.39200730
    1     2       0.22601716       0.17793638      -1.10764857
    1     3       0.26711306       0.24911442      -0.71180210
    1     4       0.30820897       0.32029247      -0.24553014
    1     5       0.34930487       0.39147051       0.24368496
    1     6       0.39040078       0.46264856       0.71248830
    1     7       0.43149669       0.53382660       1.13375365
    1     8       0.47259259       0.60500464       1.49724905
    1     9       0.51368850       0.67618269       1.80031268
    1    10       0.55478440       0.74736073       2.04000099
    1    11       0.59588031       0.81853878       2.22067407
    1    12       0.63697621       0.88971682       2.34908073
    1    13       0.67807212       0.96089487       2.43032091
    1    14       0.71916802       1.03207291       2.47273728
    1    15       0.76026393       1.10325095       2.48611430
    1    16       0.80135983       1.17442900       2.47782123
    1    17       0.84245574       1.24560704       2.45267004
    1    18       0.88355164       1.31678509       2.41416349
    1    19       0.92464755       1.38796313       2.36697762
    1    20       0.96574345       1.45914118       2.31631931
    1    21       1.00683936       1.53031922       2.26758968
    1    22       1.04793526       1.60149726       2.22567415
    1    23       1.08903117       1.67267531       2.19497027
    1    24       1.13012707       1.74385335       2.17869183
    1    25       1.17122298       1.81503140       2.17871422
    1    26       1.21231888       1.88620944       2.19503494
    1    27       1.25341479       1.95738748       2.22577806
    1    28       1.29451069       2.02856553       2.26772748
    1    29       1.33560660       2.09974357       2.31648421
    1    30       1.37670250       2.17092162       2.36716353
    1    31       1.41779841       2.24209966       2.41436724
    1    32       1.45889431       2.31327771       2.45288895
    1    33       1.49999022       2.38445575       2.47805259
    1    34       1.54108612       2.45563379       2.48635467
    1    35       1.58218203       2.52681184       2.47298986
    1    36       1.62327793       2.59798988       2.43059302
    1    37       1.66437384       2.66916793       2.34937869
    1    38       1.70546975       2.74034597       2.22100591
    1    39       1.74656565       2.81152402       2.04037456
    1    40       1.78766156       2.88270206       1.80073555
    1    41       1.82875746       2.95388010       1.49772232
    1    42       1.86985337       3.02505815       1.13427533
    1    43       1.91094927       3.09623619       0.71305224
    1    44       1.95204518       3.16741424       0.24427615
    1    45       1.99314108       3.23859228      -0.24495247
    1    46       2.03423699       3.30977033      -0.71128765
    1    47       2.07533289       3.38094837      -1.10724588
    1    48       2.11642880       3.45212641      -1.39175479
    1    49       2.15752470       3.52330446      -1.53901525
    2     0       0.22601028       0.03557447      -1.31922980
    2     1       0.26710619       0.10675251      -1.10762128
    2     2       0.30820209       0.17793056      -0.77536047
    2     3       0.34929800       0.24910860      -0.35650975
    2     4       0.39039390       0.32028665       0.10527093
    2     5       0.43148981       0.39146469       0.56581710
    2     6       0.47258571       0.46264274       0.99166044
    2     7       0.51368162       0.53382078       1.36630576
    2     8       0.55477752       0.60499882       1.68488625
    2     9       0.59587343       0.67617687       1.94277124
    2    10       0.63696933       0.74735491       2.14022346
    2    11       0.67806524       0.81853296       2.28385301
    2    12       0.71916114       0.88971100       2.37790085
    2    13       0.76025705       0.96088904       2.42922355
    2    14       0.80135295       1.03206709       2.44721988
    2    15       0.84244886       1.10324513       2.44036826
