# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.03984969       0.00000000       2.51908070
    0     1       0.07969939       0.06902165       2.51541565
    0     2       0.11954908       0.13804329       2.50427056
    0     3       0.15939877       0.20706494       2.48524915
    0     4       0.19924846       0.27608659       2.45772050
    0     5       0.23909816       0.34510823       2.42084757
    0     6       0.27894785       0.41412988       2.37368077
    0     7       0.31879754       0.48315153       2.31518646
    0     8       0.35864723       0.55217318       2.24434861
    0     9       0.39849693       0.62119482       2.16034662
    0    10       0.43834662       0.69021647       2.06279325
    0    11       0.47819631       0.75923812       1.95203151
    0    12       0.51804601       0.82825976       1.82942322
    0    13       0.55789570       0.89728141       1.69756937
    0    14       0.59774539       0.96630306       1.56051794
    0    15       0.63759508       1.03532470       1.42390919
    0    16       0.67744478       1.10434635       1.29491238
    0    17       0.71729447       1.17336800       1.18182740
    0    18       0.75714416       1.24238964       1.09319685
    0    19       0.79699385       1.31141129       1.03653586
    0    20       0.83684355       1.38043294       1.01702867
    0    21       0.87669324       1.44945459       1.03653586
    0    22       0.91654293       1.51847623       1.09319685
    0    23       0.95639263       1.58749788       1.18182740
    0    24       0.99624232       1.65651953       1.29491238
    0    25       1.03609201       1.72554117       1.42390919
    0    26       1.07594170       1.79456282       1.56051794
    0    27       1.11579140       1.86358447       1.69756937
    0    28       1.15564109       1.93260611       1.82942322
    0    29       1.19549078       2.00162776       1.95203151
    0    30       1.23534047       2.07064941       2.06279325
    0    31       1.27519017       2.13967106       2.16034662
    0    32       1.31503986       2.20869270       2.24434861
    0    33       1.35488955       2.27771435       2.31518646
    0    34       1.39473925       2.34673600       2.37368077
    0    35       1.43458894       2.41575764       2.42084757
    0    36       1.47443863       2.48477929       2.45772050
    0    37       1.51428832       2.55380094       2.48524915
    0    38       1.55413802       2.62282258       2.50427056
    0    39       1.59398771       2.69184423       2.51541565
    1     0       0.07969939      -0.06902165       2.51541565
    1     1       0.11954908       0.00000000       2.51541565
    1     2       0.15939877       0.06902165       2.50778553
    1     3       0.19924846       0.13804329       2.49229077
    1     4       0.23909816       0.20706494       2.46837186
    1     5       0.27894785       0.27608659       2.43546295
    1     6       0.31879754       0.34510823       2.39267801
    1     7       0.35864723       0.41412988       2.33913794
    1     8       0.39849693       0.48315153       2.27385203
    1     9       0.43834662       0.55217318       2.19599277
    1    10       0.47819631       0.62119482       2.10516316
    1    11       0.51804601       0.69021647       2.00123918
    1    12       0.55789570       0.75923812       1.88483510
    1    13       0.59774539       0.82825976       1.75783950
    1    14       0.63759508       0.89728141       1.62343848
    1    15       0.67744478       0.96630306       1.48627720
    1    16       0.71729447       1.03532470       1.35273462
    1    17       0.75714416       1.10434635       1.23062354
    1    18       0.79699385       1.17336800       1.12849257
    1    19       0.83684355       1.24238964       1.05469231
    1    20       0.87669324       1.31141129       1.01594544
    1    21       0.91654293       1.38043294       1.01594544
    1    22       0.95639263       1.44945459       1.05469231
    1    23       0.99624232       1.51847623       1.12849257
    1    24       1.03609201       1.58749788       1.23062354
    1    25       1.07594170       1.65651953       1.35273462
    1    26       1.11579140       1.72554117       1.48627720
    1    27       1.15564109       1.79456282       1.62343848
    1    28       1.19549078       1.86358447       1.75783950
    1    29       1.23534047       1.93260611       1.88483510
    1    30       1.27519017       2.00162776       2.00123918
    1    31       1.31503986       2.07064941       2.10516316
    1    32       1.35488955       2.13967106       2.19599277
    1    33       1.39473925       2.20869270       2.27385203
    1    34       1.43458894       2.27771435       2.33913794
    1    35       1.47443863       2.34673600       2.39267801
    1    36       1.51428832       2.41575764       2.43546295
    1    37       1.55413802       2.48477929       2.46837186
    1    38       1.59398771       2.55380094       2.49229077
    1    39       1.63383740       2.62282258       2.50778553
    2     0       0.11954908      -0.13804329       2.50427056
    2     1       0.15939877      -0.06902165       2.50823134
    2     2       0.19924846       0.00000000       2.50427056
    2     3       0.23909816       0.06902165       2.49229077
    2     4       0.27894785       0.13804329       2.47183420
    2     5       0.31879754       0.20706494       2.44239361
    2     6       0.35864723       0.27608659       2.40323230
    2     7       0.39849693       0.34510823       2.35339108
    2     8       0.43834662       0.41412988       2.29183009
    2     9       0.47819631       0.48315153       2.21765031
    2    10       0.51804601       0.55217318       2.13015549
    2    11       0.55789570       0.62119482       2.02878003
    2    12       0.59774539       0.69021647       1.91356473
    2    13       0.63759508       0.75923812       1.78531802
    2    14       0.67744478       0.82825976       1.64609804
    2    15       0.71729447       0.89728141       1.49976797
    2    16       0.75714416       0.96630306       1.35202968
    2    17       0.79699385       1.03532470       1.21039958
    2    18       0.83684355       1.10434635       1.08430493
    2    19       0.87669324       1.17336800       0.98412138
    2    20       0.91654293       1.24238964       0.91938826
    2    21       0.95639263       1.31141129       0.89695977
    2    22       0.99624232       1.38043294       0.91938826
    2    23       1.03609201       1.44945459       0.98412138
    2    24       1.07594170       1.51847623       1.08430493
    2    25       1.11579140       1.58749788       1.21039958
    2    26       1.15564109       1.65651953       1.35202968
    2    27       1.19549078       1.72554117       1.49976797
    2    28       1.23534047       1.79456282       1.64609804
    2    29       1.27519017       1.86358447       1.78531802
    2    30       1.31503986       1.93260611       1.91356473
    2    31       1.35488955       2.00162776       2.02878003
    2    32       1.39473925       2.07064941       2.13015549
    2    33       1.43458894       2.13967106       2.21765031
    2    34       1.47443863       2.20869270       2.29183009
    2    35       1.51428832       2.27771435       2.35339108
    2    36       1.55413802       2.34673600       2.40323230
    2    37       1.59398771       2.41575764       2.44239361
    2    38       1.63383740       2.48477929       2.47183420
    2    39       1.67368709       2.55380094       2.49229077
    3     0       0.15939877      -0.20706494       2.48524915
    3     1       0.19924846      -0.13804329       2.49352169
    3     2       0.23909816      -0.06902165       2.49352169
    3     3       0.27894785       0.00000000       2.48524915
    3     4       0.31879754       0.06902165       2.46837186
    3     5       0.35864723       0.13804329       2.44239361
    3     6       0.39849693       0.20706494       2.40655912
    3     7       0.43834662       0.27608659       2.35996858
    3     8       0.47819631       0.34510823       2.30144805
    3     9       0.51804601       0.41412988       2.22975774
    3    10       0.55789570       0.48315153       2.14385285
    3    11       0.59774539       0.55217318       2.04260425
    3    12       0.63759508       0.62119482       1.92531123
    3    13       0.67744478       0.69021647       1.79172800
    3    14       0.71729447       0.75923812       1.64265574
    3    15       0.75714416       0.82825976       1.48048964
    3    16       0.79699385       0.89728141       1.30963059
    3    17       0.83684355       0.96630306       1.13722178
    3    18       0.87669324       1.03532470       0.97388125
    3    19       0.91654293       1.10434635       0.83298098
    3    20       0.95639263       1.17336800       0.72861629
    3    21       0.99624232       1.24238964       0.67286925
    3    22       1.03609201       1.31141129       0.67286925
    3    23       1.07594170       1.38043294       0.72861629
    3    24       1.11579140       1.44945459       0.83298098
    3    25       1.15564109       1.51847623       0.97388125
    3    26       1.19549078       1.58749788       1.13722178
    3    27       1.23534047       1.65651953       1.30963059
    3    28       1.27519017       1.72554117       1.48048964
    3    29       1.31503986       1.79456282       1.64265574
    3    30       1.35488955       1.86358447       1.79172800
    3    31       1.39473925       1.93260611       1.92531123
    3    32       1.43458894       2.00162776       2.04260425
    3    33       1.47443863       2.07064941       2.14385285
    3    34       1.51428832       2.13967106       2.22975774
    3    35       1.55413802       2.20869270       2.30144805
    3    36       1.59398771       2.27771435       2.35996858
    3    37       1.63383740       2.34673600       2.40655912
    3    38       1.67368709       2.41575764       2.44239361
    3    39       1.71353679       2.48477929       2.46837186
    4     0       0.19924846      -0.27608659       2.45772050
    4     1       0.23909816      -0.20706494       2.47076499
    4     2       0.27894785      -0.13804329       2.47504856
    4     3       0.31879754      -0.06902165       2.47076499
    4     4       0.35864723       0.00000000       2.45772050
    4     5       0.39849693       0.06902165       2.43546295
    4     6       0.43834662       0.13804329       2.40323230
    4     7       0.47819631       0.20706494       2.35996858
    4     8       0.51804601       0.27608659       2.30442716
    4     9       0.55789570       0.34510823       2.23511253
    4    10       0.59774539       0.41412988       2.15044393
    4    11       0.63759508       0.48315153       2.04862230
    4    12       0.67744478       0.55217318       1.92806928
    4    13       0.71729447       0.62119482       1.78721928
    4    14       0.75714416       0.69021647       1.62528339
    4    15       0.79699385       0.75923812       1.44267769
    4    16       0.83684355       0.82825976       1.24152127
    4    17       0.87669324       0.89728141       1.02778994
    4    18       0.91654293       0.96630306       0.81251736
    4    19       0.95639263       1.03532470       0.61175525
    4    20       0.99624232       1.10434635       0.44554213
