# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000        2.96658011
     1        0.07981316        2.96657920
     2        0.15962632        2.96658029
     3        0.23943948        2.96658068
     4        0.31925263        2.96658047
     5        0.39906579        2.96658216
     6        0.47887895        2.96658067
     7        0.55869211        2.96658359
     8        0.63850527        2.96658093
     9        0.71831843        2.96658494
    10        0.79813159        2.96658130
    11        0.87794474        2.96658617
    12        0.95775790        2.96658179
    13        1.03757106        2.96658726
    14        1.11738422        2.96658243
    15        1.19719738        2.96658820
    16        1.27701054        2.96658324
    17        1.35682370        2.96658898
    18        1.43663685        2.96658420
    19        1.51645001        2.96658959
    20        1.59626317        2.96658532
    21        1.67607633        2.96658967
    22        1.75588949        2.96658577
    23        1.83570265        2.96658918
    24        1.91551581        2.96658631
    25        1.99532896        2.96658860
    26        2.07514212        2.96658693
    27        2.15495528        2.96658795
    28        2.23476844        2.96658759
    29        2.31458160        2.96658728
    30        2.39439476        2.96658826
    31        2.47420792        2.96658662
    32        2.55402107        2.96658890
    33        2.63383423        2.96658602
    34        2.71364739        2.96658946
    35        2.79346055        2.96658551
    36        2.87327371        2.96658991
    37        2.95308687        2.96658512
    38        3.03290003        2.96659023
    39        3.11271318        2.96658488
    40        3.19252634        2.96659039
    41        3.27233950        2.96658480
    42        3.35215266        2.96659038
    43        3.43196582        2.96658489
    44        3.51177898        2.96659021
    45        3.59159214        2.96658515
    46        3.67140529        2.96658988
    47        3.75121845        2.96658555
    48        3.83103161        2.96658940
    49        3.91084477        2.96658609
    50        3.99065793        2.96658881
    51        4.07047109        2.96658672
    52        4.15028425        2.96658814
    53        4.23009740        2.96658742
    54        4.30991056        2.96658743
    55        4.38972372        2.96658813
    56        4.46953688        2.96658673
    57        4.54935004        2.96658882
    58        4.62916320        2.96658606
    59        4.70897636        2.96658945
    60        4.78878951        2.96658548
    61        4.86860267        2.96658997
    62        4.94841583        2.96658502
    63        5.02822899        2.96659036
    64        5.10804215        2.96658471
    65        5.18785531        2.96659059
    66        5.26766847        2.96658457
    67        5.34748162        2.96659064
    68        5.42729478        2.96658462
    69        5.50710794        2.96659050
    70        5.58692110        2.96658484
    71        5.66673426        2.96659019
    72        5.74654742        2.96658524
    73        5.82636058        2.96658972
    74        5.90617373        2.96658578
    75        5.98598689        2.96658911
    76        6.06580005        2.96658645
    77        6.14561321        2.96658839
    78        6.22542637        2.96658720
    79        6.30523953        2.96658762
    80        6.38505269        2.96658799
    81        6.46486585        2.96658683
    82        6.54467900        2.96658877
    83        6.62449216        2.96658607
    84        6.70430532        2.96658950
    85        6.78411848        2.96658538
    86        6.86393164        2.96659012
    87        6.94374480        2.96658482
    88        7.02355796        2.96659061
    89        7.10337111        2.96658441
    90        7.18318427        2.96659093
