# Directional plane-averaged electrostatic potential
# direction = a-b
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.40640062       48384
      0.05600579        2.49376632       48096
      0.09334298        2.35434429       43488
      0.13068017        2.31338409       48960
      0.16801737        2.42674397       48096
      0.20535456        2.19687965       44352
      0.24269175        2.17405065       49248
      0.28002894        2.32213720       47232
      0.31736614        1.94389041       45216
      0.35470333        2.01178841       49248
      0.39204052        2.15397655       46080
      0.42937772        1.60740910       46368
      0.46671491        1.85609395       48960
      0.50405210        1.88028376       45504
      0.54138929        1.17518259       46080
      0.57872649        1.73297484       48672
      0.61606368        1.38425257       45504
      0.65340087        0.78905465       47232
      0.69073806        1.56008810       47808
      0.72807526        0.79298070       46656
      0.76541245        0.42202429       46944
      0.80274964        1.35096315       46656
      0.84008683        0.05985593       47232
      0.87742403        0.13379451       46368
      0.91476122        1.01780237       46080
      0.95209841       -0.72394061       47232
      0.98943560       -0.01697730       45504
      1.02677280        0.45874544       44928
      1.06410999       -1.44616967       46656
      1.10144718        0.15054866       44928
      1.13878437       -0.49764462       46080
      1.17612157       -1.89024768       46080
      1.21345876        0.24315353       44064
      1.25079595       -1.37742756       46656
      1.28813315       -2.08469472       45504
      1.32547034        0.21084084       43488
      1.36280753       -2.06955839       46656
      1.40014472       -1.95656299       44928
      1.43748192        0.03717993       43200
      1.47481911       -2.51527056       46080
      1.51215630       -1.46360933       43488
      1.54949349       -0.30190485       43200
      1.58683069       -2.61169375       45792
      1.62416788       -0.66411158       42624
      1.66150507       -0.74627911       44064
      1.69884226       -2.20097251       45216
      1.73617946       -0.07583775       42336
      1.77351665       -0.85290250       44064
      1.81085384       -1.53683710       44640
      1.84819103        0.48926643       42048
      1.88552823       -0.74016071       43776
      1.92286542       -0.70120185       44064
      1.96020261        0.95362388       41472
      1.99753980       -0.42813664       43200
      2.03487700        0.22576184       42336
      2.07221419        1.22385595       42336
      2.10955138        0.07712519       42912
      2.14688858        1.14803071       41760
      2.18422577        1.34989709       42624
      2.22156296        0.71371397       42624
      2.25890015        1.74758906       41472
      2.29623735        1.61571581       42336
      2.33357454        1.29247147       42048
      2.37091173        2.14216007       41472
      2.40824892        1.89287701       41760
      2.44558612        1.76560344       40608
      2.48292331        2.36027763       41760
      2.52026050        2.13920026       41184
      2.55759769        2.10961712       39744
      2.59493489        2.49967650       41760
      2.63227208        2.30932697       40896
      2.66960927        2.35304671       39456
      2.70694646        2.54719731       42048
      2.74428366        2.43115162       40320
      2.78162085        2.46303786       39456
      2.81895804        2.57983327       41472
      2.85629523        2.48635942       39168
      2.89363243        2.49235894       40032
      2.93096962        2.58187833       40896
      2.96830681        2.47790447       37728
      3.00564401        2.45716585       40320
      3.04298120        2.55673434       40320
      3.08031839        2.38809084       36864
      3.11765558        2.37980533       40608
      3.15499278        2.48459477       39744
      3.19232997        2.23039578       37440
      3.22966716        2.25571183       40608
      3.26700435        2.37228319       39744
      3.30434155        1.98554266       38016
      3.34167874        2.10963629       41184
      3.37901593        2.18838939       39456
      3.41635312        1.66004713       38880
      3.45369032        1.95927946       41760
      3.49102751        1.90380654       38592
      3.52836470        1.25475046       39168
      3.56570189        1.84038041       42336
      3.60303909        1.38000045       38304
      3.64037628        0.91733346       41184
      3.67771347        1.66916245       42336
      3.71505067        0.76414682       38880
      3.75238786        0.54766148       41760
      3.78972505        1.44729942       42048
      3.82706224        0.02433887       39744
      3.86439944        0.24252397       42336
      3.90173663        1.13037294       41472
      3.93907382       -0.76123206       40896
      3.97641101        0.04978124       42624
      4.01374821        0.57010545       40608
      4.05108540       -1.43759147       41472
      4.08842259        0.09309597       42624
      4.12575978       -0.27478904       42048
      4.16309698       -1.86098948       42336
      4.20043417        0.11992286       42336
      4.23777136       -1.10199351       42912
      4.27510855       -2.03966390       42912
      4.31244575        0.16965063       41760
      4.34978294       -1.86358970       44064
      4.38712013       -1.90070626       43488
      4.42445732        0.03468762       41760
      4.46179452       -2.37512781       44064
      4.49913171       -1.36709885       42912
      4.53646890       -0.25269828       42336
      4.57380610       -2.50491062       45216
      4.61114329       -0.58537525       42624
      4.64848048       -0.63125627       43488
      4.68581767       -2.19993579       46080
      4.72315487        0.17647659       42048
      4.76049206       -0.78790493       44640
      4.79782925       -1.62209667       46656
      4.83516644        0.81919031       42048
      4.87250364       -0.69148032       45216
      4.90984083       -0.76643623       46656
      4.94717802        1.17995034       42336
      4.98451521       -0.38763847       45216
      5.02185241        0.15921002       46080
      5.05918960        1.39778104       43488
      5.09652679        0.12087088       46080
      5.13386398        1.08589591       45504
      5.17120118        1.44182018       44928
      5.20853837        0.73983023       46944
      5.24587556        1.70924833       45504
      5.28321275        1.62988913       45504
      5.32054995        1.34909557       46944
      5.35788714        2.04082757       46080
      5.39522433        1.85572802       46080
      5.43256153        1.81442850       46368
      5.46989872        2.24747179       46944
      5.50723591        2.07232377       45792
      5.54457310        2.14026547       46080
      5.58191030        2.39583537       47808
      5.61924749        2.24715640       46944
      5.65658468        2.35527956       46080
      5.69392187        2.46463429       48672
      5.73125907        2.38437515       46368
      5.76859626        2.44103367       46368
      5.80593345        2.50443453       48960
      5.84327064        2.45238585       45504
      5.88060784        2.45375236       47232
      5.91794503        2.51450305       48672
      5.95528222        2.44446475       44352
