# Directional plane-averaged electrostatic potential
# direction = a+b
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.29298290       38304
      0.05600579        2.42694652       40608
      0.09334298        2.37091929       37728
      0.13068017        2.12442874       39456
      0.16801737        2.33151155       41472
      0.20535456        2.15923048       37728
      0.24269175        1.89234329       40320
      0.28002894        2.21845253       41760
      0.31736614        1.82854617       38016
      0.35470333        1.62333439       40896
      0.39204052        2.07726268       41760
      0.42937772        1.37466437       38304
      0.46671491        1.36541176       41184
      0.50405210        1.87480365       41184
      0.54138929        0.77870021       38880
      0.57872649        1.17751141       42336
      0.61606368        1.47494720       40896
      0.65340087        0.20334246       40320
      0.69073806        0.98912435       42624
      0.72807526        0.91374410       41184
      0.76541245       -0.38333076       40896
      0.80274964        0.84443910       42624
      0.84008683        0.19173182       41760
      0.87742403       -0.88934630       41472
      0.91476122        0.80180633       41760
      0.95209841       -0.70070010       42912
      0.98943560       -1.24324764       41760
      1.02677280        0.68493082       40896
      1.06410999       -1.62410563       43488
      1.10144718       -1.16937168       42912
      1.13878437        0.19857763       41760
      1.17612157       -2.23804639       44064
      1.21345876       -1.01661837       42912
      1.25079595       -0.33841125       42336
      1.28813315       -2.58419709       44640
      1.32547034       -0.59308089       42336
      1.36280753       -0.97775525       43488
      1.40014472       -2.58162940       45216
      1.43748192       -0.12123490       41760
      1.47481911       -1.43982894       44352
      1.51215630       -2.24091128       44928
      1.54949349        0.35217567       41760
      1.58683069       -1.76177176       44928
      1.62416788       -1.38672987       45792
      1.66150507        0.48027106       42624
      1.69884226       -1.57322605       45504
      1.73617946       -0.45400037       45216
      1.77351665        0.51463389       43776
      1.81085384       -1.07932202       46080
      1.84819103        0.46604989       44928
      1.88552823        0.60295475       44640
      1.92286542       -0.39111414       46656
      1.96020261        1.25077931       43776
      1.99753980        0.76693242       45216
      2.03487700        0.42646350       46656
      2.07221419        1.72236006       44928
      2.10955138        1.05858635       46080
      2.14688858        1.20473917       46080
      2.18422577        1.91985936       46368
      2.22156296        1.44296594       46656
      2.25890015        1.75987187       45792
      2.29623735        2.10356509       47232
      2.33357454        1.79623138       47232
      2.37091173        2.13682998       45792
      2.40824892        2.25557803       47808
      2.44558612        2.08364008       46368
      2.48292331        2.34313375       46080
      2.52026050        2.38026473       48096
      2.55759769        2.27982339       45792
      2.59493489        2.46060350       47520
      2.63227208        2.45506944       48096
      2.66960927        2.40648345       44928
      2.70694646        2.48680799       48672
      2.74428366        2.49993681       48096
      2.78162085        2.43819174       44352
      2.81895804        2.47190190       49248
      2.85629523        2.50203985       47520
      2.89363243        2.38781644       44640
      2.93096962        2.42246774       49248
      2.96830681        2.46566298       45792
      3.00564401        2.24976540       45792
      3.04298120        2.34419823       49248
      3.08031839        2.35035656       44640
      3.11765558        2.06962607       47520
      3.15499278        2.23831720       49248
      3.19232997        2.16766287       44352
      3.22966716        1.81242543       48096
      3.26700435        2.11444472       48672
      3.30434155        1.84746180       44928
      3.34167874        1.53504584       48096
      3.37901593        2.00173028       47520
      3.41635312        1.36813756       45792
      3.45369032        1.26267209       48096
      3.49102751        1.82256806       46080
      3.52836470        0.76899676       46368
      3.56570189        1.06548002       47808
      3.60303909        1.46457591       45792
      3.64037628        0.15739438       47232
      3.67771347        0.89594548       47232
      3.71505067        0.88571404       45792
      3.75238786       -0.41728594       46656
      3.78972505        0.80084614       46368
      3.82706224        0.12993543       46080
      3.86439944       -0.91874687       46080
      3.90173663        0.79074417       44928
      3.93907382       -0.78718123       46656
      3.97641101       -1.27553204       45216
      4.01374821        0.67554291       43776
      4.05108540       -1.71154765       46656
      4.08842259       -1.18874327       44640
      4.12575978        0.10922068       44928
      4.16309698       -2.32346963       46080
      4.20043417       -0.97718335       43776
      4.23777136       -0.48695845       45216
      4.27510855       -2.66933262       45504
      4.31244575       -0.56211768       42624
      4.34978294       -1.10410377       45792
      4.38712013       -2.65910126       44928
      4.42445732       -0.19278364       41760
      4.46179452       -1.53142675       45216
      4.49913171       -2.23359507       44064
      4.53646890        0.20040800       41760
      4.57380610       -1.78150212       45216
      4.61114329       -1.39782040       43488
      4.64848048        0.30948349       42336
      4.68581767       -1.59408250       44640
      4.72315487       -0.44592211       42336
      4.76049206        0.38642282       42912
      4.79782925       -1.11206643       44064
      4.83516644        0.47140854       41760
      4.87250364        0.53626078       42912
      4.90984083       -0.43151596       43488
      4.94717802        1.25146075       40896
      4.98451521        0.73066776       41760
      5.02185241        0.34084030       42912
      5.05918960        1.79893038       41760
      5.09652679        1.04714632       41472
      5.13386398        1.12230761       41760
      5.17120118        2.03001711       42624
      5.20853837        1.46329954       40896
      5.24587556        1.70132318       41184
      5.28321275        2.22843961       42624
      5.32054995        1.83824193       40320
      5.35788714        2.10480706       40896
      5.39522433        2.37288960       42336
      5.43256153        2.11446449       38880
      5.46989872        2.35571720       41184
      5.50723591        2.47691711       41184
      5.54457310        2.30378671       38304
      5.58191030        2.49990295       41760
      5.61924749        2.52987622       40896
      5.65658468        2.41882773       38016
      5.69392187        2.54359161       41760
      5.73125907        2.56595703       40320
      5.76859626        2.45060239       37728
      5.80593345        2.53467388       41472
      5.84327064        2.56127035       39456
      5.88060784        2.40710918       37728
      5.91794503        2.49562375       40608
      5.95528222        2.49885414       38304
