# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000        3.03560186
     1        0.07966711        3.03560431
     2        0.15933421        3.03560226
     3        0.23900132        3.03560458
     4        0.31866842        3.03560273
     5        0.39833553        3.03560478
     6        0.47800263        3.03560327
     7        0.55766974        3.03560491
     8        0.63733685        3.03560386
     9        0.71700395        3.03560499
    10        0.79667106        3.03560450
    11        0.87633816        3.03560504
    12        0.95600527        3.03560516
    13        1.03567237        3.03560508
    14        1.11533948        3.03560582
    15        1.19500658        3.03560513
    16        1.27467369        3.03560647
    17        1.35434080        3.03560520
    18        1.43400790        3.03560707
    19        1.51367501        3.03560533
    20        1.59334211        3.03560761
    21        1.67300922        3.03560553
    22        1.75267632        3.03560808
    23        1.83234343        3.03560580
    24        1.91201054        3.03560846
    25        1.99167764        3.03560616
    26        2.07134475        3.03560875
    27        2.15101185        3.03560652
    28        2.23067896        3.03560877
    29        2.31034606        3.03560684
    30        2.39001317        3.03560868
    31        2.46968028        3.03560723
    32        2.54934738        3.03560851
    33        2.62901449        3.03560767
    34        2.70868159        3.03560829
    35        2.78834870        3.03560814
    36        2.86801580        3.03560803
    37        2.94768291        3.03560863
    38        3.02735002        3.03560776
    39        3.10701712        3.03560910
    40        3.18668423        3.03560751
    41        3.26635133        3.03560953
    42        3.34601844        3.03560730
    43        3.42568554        3.03560990
    44        3.50535265        3.03560716
    45        3.58501975        3.03561019
    46        3.66468686        3.03560711
    47        3.74435397        3.03561039
    48        3.82402107        3.03560717
    49        3.90368818        3.03561047
    50        3.98335528        3.03560736
    51        4.06302239        3.03561045
    52        4.14268949        3.03560768
    53        4.22235660        3.03561032
    54        4.30202371        3.03560809
    55        4.38169081        3.03560991
    56        4.46135792        3.03560835
    57        4.54102502        3.03560929
    58        4.62069213        3.03560868
    59        4.70035923        3.03560860
    60        4.78002634        3.03560907
    61        4.85969345        3.03560787
    62        4.93936055        3.03560940
    63        5.01902766        3.03560673
    64        5.09869476        3.03560846
    65        5.17836187        3.03560304
    66        5.25802897        3.03560282
    67        5.33769608        3.03559151
    68        5.41736318        3.03558449
    69        5.49703029        3.03556141
    70        5.57669740        3.03553959
    71        5.65636450        3.03549532
    72        5.73603161        3.03544651
    73        5.81569871        3.03536726
    74        5.89536582        3.03527427
    75        5.97503292        3.03514043
    76        6.05470003        3.03497903
    77        6.13436714        3.03476289
    78        6.21403424        3.03449923
    79        6.29370135        3.03416124
    80        6.37336845        3.03374674
    81        6.45303556        3.03322924
    82        6.53270266        3.03259319
    83        6.61236977        3.03181073
    84        6.69203688        3.03084756
    85        6.77170398        3.02967154
    86        6.85137109        3.02822256
    87        6.93103819        3.02645722
    88        7.01070530        3.02427909
    89        7.09037240        3.02162206
    90        7.17003951        3.01833828
    91        7.24970662        3.01431948
    92        7.32937372        3.00934247
    93        7.40904083        3.00322626
    94        7.48870793        2.99563780
    95        7.56837504        2.98627816
    96        7.64804214        2.97465084
    97        7.72770925        2.96026388
    98        7.80737635        2.94237180
    99        7.88704346        2.92017790
   100        7.96671057        2.89255741
   101        8.04637767        2.85823432
   102        8.12604478        2.81550897
   103        8.20571188        2.76234965
   104        8.28537899        2.69619579
   105        8.36504609        2.61405017
   106        8.44471320        2.51189608
   107        8.52438031        2.38485268
   108        8.60404741        2.22736508
   109        8.68371452        2.03256858
   110        8.76338162        1.79152681
   111        8.84304873        1.49247915
   112        8.92271583        1.12247684
   113        9.00238294        0.66474949
   114        9.08205005        0.09319677
   115        9.16171715       -0.62736303
   116        9.24138426       -1.51161322
   117        9.32105136       -2.54846107
   118        9.40071847       -3.71667547
   119        9.48038557       -4.99558334
   120        9.56005268       -6.37709940
   121        9.63971978       -7.85048304
   122        9.71938689       -9.38806821
   123        9.79905400      -10.93500042
   124        9.87872110      -12.40821715
   125        9.95838821      -13.70760910
   126       10.03805531      -14.73496520
   127       10.11772242      -15.40554116
   128       10.19738952      -15.65396863
   129       10.27705663      -15.44480093
   130       10.35672374      -14.78156945
   131       10.43639084      -13.70886475
   132       10.51605795      -12.30039550
   133       10.59572505      -10.64410598
