# Directional plane-averaged electrostatic potential
# direction = a-b
# method = bin
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.39534525       48384
      0.05600579        2.37311024       48096
      0.09334298        2.34470615       43488
      0.13068017        2.31014017       48960
      0.16801737        2.26940947       48096
      0.20535456        2.22247211       44352
      0.24269175        2.16927980       49248
      0.28002894        2.10977403       47232
      0.31736614        2.04386311       45216
      0.35470333        1.97148411       49248
      0.39204052        1.89258583       46080
      0.42937772        1.80713308       46368
      0.46671491        1.71518381       48960
      0.50405210        1.61683214       45504
      0.54138929        1.51224171       46080
      0.57872649        1.40167446       48672
      0.61606368        1.28540023       45504
      0.65340087        1.16375318       47232
      0.69073806        1.03713301       47808
      0.72807526        0.90593632       46656
      0.76541245        0.77066221       46944
      0.80274964        0.63190149       46656
      0.84008683        0.49029755       47232
      0.87742403        0.34665313       46368
      0.91476122        0.20186691       46080
      0.95209841        0.05691097       47232
      0.98943560       -0.08709061       45504
      1.02677280       -0.22895922       44928
      1.06410999       -0.36742949       46656
      1.10144718       -0.50111153       44928
      1.13878437       -0.62859020       46080
      1.17612157       -0.74838200       46080
      1.21345876       -0.85895928       44064
      1.25079595       -0.95886336       46656
      1.28813315       -1.04665955       45504
      1.32547034       -1.12100923       43488
      1.36280753       -1.18074823       46656
      1.40014472       -1.22483146       44928
      1.43748192       -1.25242304       43200
      1.47481911       -1.26291913       46080
      1.51215630       -1.25589385       43488
      1.54949349       -1.23119339       43200
      1.58683069       -1.18889335       45792
      1.62416788       -1.12926967       42624
      1.66150507       -1.05288044       44064
      1.69884226       -0.96049355       45216
      1.73617946       -0.85309504       42336
      1.77351665       -0.73194634       44064
      1.81085384       -0.59847520       44640
      1.84819103       -0.45430180       42048
      1.88552823       -0.30121139       43776
      1.92286542       -0.14102791       44064
      1.96020261        0.02435351       41472
      1.99753980        0.19304034       43200
      2.03487700        0.36323694       42336
      2.07221419        0.53318310       42336
      2.10955138        0.70124317       42912
      2.14688858        0.86594652       41760
      2.18422577        1.02591450       42624
      2.22156296        1.17995334       42624
      2.25890015        1.32704087       41472
      2.29623735        1.46627256       42336
      2.33357454        1.59695493       42048
      2.37091173        1.71855033       41472
      2.40824892        1.83066753       41760
      2.44558612        1.93311767       40608
      2.48292331        2.02583652       41760
      2.52026050        2.10888440       41184
      2.55759769        2.18246212       39744
      2.59493489        2.24682574       41760
      2.63227208        2.30230169       40896
      2.66960927        2.34927660       39456
      2.70694646        2.38812809       42048
      2.74428366        2.41924835       40320
      2.78162085        2.44301198       39456
      2.81895804        2.45973881       41472
      2.85629523        2.46971815       39168
      2.89363243        2.47317503       40032
      2.93096962        2.47028175       40896
      2.96830681        2.46116710       37728
      3.00564401        2.44590995       40320
      3.04298120        2.42456007       40320
      3.08031839        2.39713286       36864
      3.11765558        2.36361956       40608
      3.15499278        2.32399801       39744
      3.19232997        2.27821136       37440
      3.22966716        2.22620087       40608
      3.26700435        2.16789833       39744
      3.30434155        2.10320722       38016
      3.34167874        2.03206118       41184
      3.37901593        1.95439877       39456
      3.41635312        1.87016380       38880
      3.45369032        1.77937515       41760
      3.49102751        1.68207080       38592
      3.52836470        1.57833668       39168
      3.56570189        1.46834971       42336
      3.60303909        1.35230635       38304
      3.64037628        1.23048250       41184
      3.67771347        1.10325692       42336
      3.71505067        0.97104948       38880
      3.75238786        0.83441827       41760
      3.78972505        0.69404890       42048
      3.82706224        0.55070792       39744
      3.86439944        0.40533745       42336
      3.90173663        0.25898788       41472
      3.93907382        0.11278878       40896
      3.97641101       -0.03198822       42624
      4.01374821       -0.17404107       40608
      4.05108540       -0.31202635       41472
      4.08842259       -0.44453507       42624
      4.12575978       -0.57020753       42048
      4.16309698       -0.68767867       42336
      4.20043417       -0.79558180       42336
      4.23777136       -0.89264218       42912
      4.27510855       -0.97758848       42912
      4.31244575       -1.04920078       41760
      4.34978294       -1.10637914       44064
      4.38712013       -1.14808691       43488
      4.42445732       -1.17345810       41760
      4.46179452       -1.18184733       44064
      4.49913171       -1.17280040       42912
      4.53646890       -1.14616890       42336
      4.57380610       -1.10208065       45216
      4.61114329       -1.04091408       42624
      4.64848048       -0.96337480       43488
      4.68581767       -0.87040454       46080
      4.72315487       -0.76317072       42048
      4.76049206       -0.64309334       44640
      4.79782925       -0.51171268       46656
      4.83516644       -0.37069270       42048
      4.87250364       -0.22179080       45216
      4.90984083       -0.06673837       46656
      4.94717802        0.09271312       42336
      4.98451521        0.25483086       45216
      5.02185241        0.41797287       46080
      5.05918960        0.58051064       43488
      5.09652679        0.74090589       46080
      5.13386398        0.89775770       45504
      5.17120118        1.04974441       44928
      5.20853837        1.19573156       46944
      5.24587556        1.33477461       45504
      5.28321275        1.46607782       45504
      5.32054995        1.58908765       46944
      5.35788714        1.70342963       46080
      5.39522433        1.80887792       46080
      5.43256153        1.90539601       46368
      5.46989872        1.99302705       46944
      5.50723591        2.07188163       45792
      5.54457310        2.14215595       46080
      5.58191030        2.20403590       47808
      5.61924749        2.25773386       46944
      5.65658468        2.30349917       46080
      5.69392187        2.34155744       48672
      5.73125907        2.37215632       46368
      5.76859626        2.39554700       46368
      5.80593345        2.41194675       48960
      5.84327064        2.42156964       45504
      5.88060784        2.42459166       47232
      5.91794503        2.42115611       48672
      5.95528222        2.41138096       44352
