# Directional plane-averaged electrostatic potential
# direction = a-b
# method = cubic
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.51154681        5184
      0.05600579        2.49027672        5184
      0.09334298        2.46338876        5184
      0.13068017        2.43072116        5184
      0.16801737        2.39206367        5184
      0.20535456        2.34716473        5184
      0.24269175        2.29574190        5184
      0.28002894        2.23749545        5184
      0.31736614        2.17212440        5184
      0.35470333        2.09934391        5184
      0.39204052        2.01890277        5184
      0.42937772        1.93059940        5184
      0.46671491        1.83429544        5184
      0.50405210        1.72992586        5184
      0.54138929        1.61750556        5184
      0.57872649        1.49713288        5184
      0.61606368        1.36899115        5184
      0.65340087        1.23334998        5184
      0.69073806        1.09056821        5184
      0.72807526        0.94110002        5184
      0.76541245        0.78550519        5184
      0.80274964        0.62446350        5184
      0.84008683        0.45879205        5184
      0.87742403        0.28946336        5184
      0.91476122        0.11762158        5184
      0.95209841       -0.05540624        5184
      0.98943560       -0.22810660        5184
      1.02677280       -0.39878577        5184
      1.06410999       -0.56558707        5184
      1.10144718       -0.72651946        5184
      1.13878437       -0.87949650        5184
      1.17612157       -1.02238399        5184
      1.21345876       -1.15305399        5184
      1.25079595       -1.26944242        5184
      1.28813315       -1.36960737        5184
      1.32547034       -1.45178561        5184
      1.36280753       -1.51444471        5184
      1.40014472       -1.55632898        5184
      1.43748192       -1.57649740        5184
      1.47481911       -1.57435241        5184
      1.51215630       -1.54965877        5184
      1.54949349       -1.50255217        5184
      1.58683069       -1.43353764        5184
      1.62416788       -1.34347840        5184
      1.66150507       -1.23357605        5184
      1.69884226       -1.10534319        5184
      1.73617946       -0.96056956        5184
      1.77351665       -0.80128293        5184
      1.81085384       -0.62970530        5184
      1.84819103       -0.44820522        5184
      1.88552823       -0.25924661        5184
      1.92286542       -0.06533456        5184
      1.96020261        0.13104121        5184
      1.99753980        0.32746392        5184
      2.03487700        0.52164670        5184
      2.07221419        0.71148627        5184
      2.10955138        0.89511062        5184
      2.14688858        1.07091735        5184
      2.18422577        1.23760022        5184
      2.22156296        1.39416172        5184
      2.25890015        1.53991116        5184
      2.29623735        1.67444861        5184
      2.33357454        1.79763660        5184
      2.37091173        1.90956241        5184
      2.40824892        2.01049443        5184
      2.44558612        2.10083637        5184
      2.48292331        2.18108289        5184
      2.52026050        2.25177955        5184
      2.55759769        2.31348916        5184
      2.59493489        2.36676538        5184
      2.63227208        2.41213357        5184
      2.66960927        2.45007795        5184
      2.70694646        2.48103394        5184
      2.74428366        2.50538408        5184
      2.78162085        2.52345641        5184
      2.81895804        2.53552415        5184
      2.85629523        2.54180595        5184
      2.89363243        2.54246622        5184
      2.93096962        2.53761517        5184
      2.96830681        2.52730859        5184
      3.00564401        2.51154737        5184
      3.04298120        2.49027725        5184
      3.08031839        2.46338924        5184
      3.11765558        2.43072160        5184
      3.15499278        2.39206406        5184
      3.19232997        2.34716507        5184
      3.22966716        2.29574219        5184
      3.26700435        2.23749570        5184
      3.30434155        2.17212462        5184
      3.34167874        2.09934412        5184
      3.37901593        2.01890299        5184
      3.41635312        1.93059965        5184
      3.45369032        1.83429576        5184
      3.49102751        1.72992627        5184
      3.52836470        1.61750610        5184
      3.56570189        1.49713358        5184
      3.60303909        1.36899202        5184
      3.64037628        1.23335104        5184
      3.67771347        1.09056948        5184
      3.71505067        0.94110150        5184
      3.75238786        0.78550688        5184
      3.78972505        0.62446539        5184
      3.82706224        0.45879411        5184
      3.86439944        0.28946557        5184
      3.90173663        0.11762391        5184
      3.93907382       -0.05540385        5184
      3.97641101       -0.22810419        5184
      4.01374821       -0.39878339        5184
      4.05108540       -0.56558479        5184
      4.08842259       -0.72651735        5184
      4.12575978       -0.87949459        5184
      4.16309698       -1.02238234        5184
      4.20043417       -1.15305265        5184
      4.23777136       -1.26944142        5184
      4.27510855       -1.36960673        5184
      4.31244575       -1.45178533        5184
      4.34978294       -1.51444480        5184
      4.38712013       -1.55632944        5184
      4.42445732       -1.57649819        5184
      4.46179452       -1.57435351        5184
      4.49913171       -1.54966014        5184
      4.53646890       -1.50255376        5184
      4.57380610       -1.43353940        5184
      4.61114329       -1.34348028        5184
      4.64848048       -1.23357799        5184
      4.68581767       -1.10534512        5184
      4.72315487       -0.96057145        5184
      4.76049206       -0.80128471        5184
      4.79782925       -0.62970694        5184
      4.83516644       -0.44820668        5184
      4.87250364       -0.25924788        5184
      4.90984083       -0.06533561        5184
      4.94717802        0.13104037        5184
      4.98451521        0.32746328        5184
      5.02185241        0.52164625        5184
      5.05918960        0.71148599        5184
      5.09652679        0.89511048        5184
      5.13386398        1.07091733        5184
      5.17120118        1.23760027        5184
      5.20853837        1.39416182        5184
      5.24587556        1.53991128        5184
      5.28321275        1.67444872        5184
      5.32054995        1.79763668        5184
      5.35788714        1.90956244        5184
      5.39522433        2.01049440        5184
      5.43256153        2.10083627        5184
      5.46989872        2.18108271        5184
      5.50723591        2.25177929        5184
      5.54457310        2.31348883        5184
      5.58191030        2.36676498        5184
      5.61924749        2.41213311        5184
      5.65658468        2.45007744        5184
      5.69392187        2.48103338        5184
      5.73125907        2.50538349        5184
      5.76859626        2.52345579        5184
      5.80593345        2.53552352        5184
      5.84327064        2.54180532        5184
      5.88060784        2.54246560        5184
      5.91794503        2.53761456        5184
      5.95528222        2.52730800        5184
