# Directional plane-averaged electrostatic potential
# direction = a-b
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.50936888        5184
      0.05600579        2.48805915        5184
      0.09334298        2.46111117        5184
      0.13068017        2.42836495        5184
      0.16801737        2.38961309        5184
      0.20535456        2.34460809        5184
      0.24269175        2.29307273        5184
      0.28002894        2.23471342        5184
      0.31736614        2.16923580        5184
      0.35470333        2.09636170        5184
      0.39204052        2.01584605        5184
      0.42937772        1.92749248        5184
      0.46671491        1.83116659        5184
      0.50405210        1.72680605        5184
      0.54138929        1.61442734        5184
      0.57872649        1.49412969        5184
      0.61606368        1.36609728        5184
      0.65340087        1.23060116        5184
      0.69073806        1.08800273        5184
      0.72807526        0.93876017        5184
      0.76541245        0.78343868        5184
      0.80274964        0.62272443        5184
      0.84008683        0.45744108        5184
      0.87742403        0.28856692        5184
      0.91476122        0.11724997        5184
      0.95209841       -0.05518175        5184
      0.98943560       -0.22721748        5184
      1.02677280       -0.39717039        5184
      1.06410999       -0.56319493        5184
      1.10144718       -0.72331516        5184
      1.13878437       -0.87546299        5184
      1.17612157       -1.01752502        5184
      1.21345876       -1.14739551        5184
      1.25079595       -1.26303283        5184
      1.28813315       -1.36251688        5184
      1.32547034       -1.44410456        5184
      1.36280753       -1.50628116        5184
      1.40014472       -1.54780565        5184
      1.43748192       -1.56774811        5184
      1.47481911       -1.56551827        5184
      1.51215630       -1.54088419        5184
      1.54949349       -1.49398095        5184
      1.58683069       -1.42530927        5184
      1.62416788       -1.33572471        5184
      1.66150507       -1.22641823        5184
      1.69884226       -1.09888926        5184
      1.73617946       -0.95491225        5184
      1.77351665       -0.79649781        5184
      1.81085384       -0.62584918        5184
      1.84819103       -0.44531481        5184
      1.88552823       -0.25733734        5184
      1.92286542       -0.06439974        5184
      1.96020261        0.13103071        5184
      1.99753980        0.32655928        5184
      2.03487700        0.51991978        5184
      2.07221419        0.70902720        5184
      2.10955138        0.89202416        5184
      2.14688858        1.06731838        5184
      2.18422577        1.23360843        5184
      2.22156296        1.38989609        5184
      2.25890015        1.53548461        5184
      2.29623735        1.66996336        5184
      2.33357454        1.79318053        5184
      2.37091173        1.90520679        5184
      2.40824892        2.00629301        5184
      2.44558612        2.09682586        5184
      2.48292331        2.17728450        5184
      2.52026050        2.24820137        5184
      2.55759769        2.31012883        5184
      2.59493489        2.36361286        5184
      2.63227208        2.40917351        5184
      2.66960927        2.44729173        5184
      2.70694646        2.47840111        5184
      2.74428366        2.50288335        5184
      2.78162085        2.52106623        5184
      2.81895804        2.53322299        5184
      2.85629523        2.53957237        5184
      2.89363243        2.54027881        5184
      2.93096962        2.53545248        5184
      2.96830681        2.52514905        5184
      3.00564401        2.50936944        5184
      3.04298120        2.48805967        5184
      3.08031839        2.46111165        5184
      3.11765558        2.42836539        5184
      3.15499278        2.38961348        5184
      3.19232997        2.34460843        5184
      3.22966716        2.29307303        5184
      3.26700435        2.23471367        5184
      3.30434155        2.16923603        5184
      3.34167874        2.09636192        5184
      3.37901593        2.01584628        5184
      3.41635312        1.92749274        5184
      3.45369032        1.83116692        5184
      3.49102751        1.72680648        5184
      3.52836470        1.61442789        5184
      3.56570189        1.49413040        5184
      3.60303909        1.36609816        5184
      3.64037628        1.23060223        5184
      3.67771347        1.08800401        5184
      3.71505067        0.93876165        5184
      3.75238786        0.78344037        5184
      3.78972505        0.62272631        5184
      3.82706224        0.45744313        5184
      3.86439944        0.28856912        5184
      3.90173663        0.11725228        5184
      3.93907382       -0.05517937        5184
      3.97641101       -0.22721509        5184
      4.01374821       -0.39716803        5184
      4.05108540       -0.56319268        5184
      4.08842259       -0.72331306        5184
      4.12575978       -0.87546110        5184
      4.16309698       -1.01752340        5184
      4.20043417       -1.14739418        5184
      4.23777136       -1.26303184        5184
      4.27510855       -1.36251624        5184
      4.31244575       -1.44410428        5184
      4.34978294       -1.50628125        5184
      4.38712013       -1.54780609        5184
      4.42445732       -1.56774889        5184
      4.46179452       -1.56551935        5184
      4.49913171       -1.54088554        5184
      4.53646890       -1.49398252        5184
      4.57380610       -1.42531101        5184
      4.61114329       -1.33572656        5184
      4.64848048       -1.22642015        5184
      4.68581767       -1.09889118        5184
      4.72315487       -0.95491412        5184
      4.76049206       -0.79649957        5184
      4.79782925       -0.62585081        5184
      4.83516644       -0.44531627        5184
      4.87250364       -0.25733860        5184
      4.90984083       -0.06440079        5184
      4.94717802        0.13102987        5184
      4.98451521        0.32655864        5184
      5.02185241        0.51991933        5184
      5.05918960        0.70902691        5184
      5.09652679        0.89202401        5184
      5.13386398        1.06731834        5184
      5.17120118        1.23360847        5184
      5.20853837        1.38989617        5184
      5.24587556        1.53548472        5184
      5.28321275        1.66996346        5184
      5.32054995        1.79318060        5184
      5.35788714        1.90520681        5184
      5.39522433        2.00629297        5184
      5.43256153        2.09682575        5184
      5.46989872        2.17728432        5184
      5.50723591        2.24820111        5184
      5.54457310        2.31012850        5184
      5.58191030        2.36361246        5184
      5.61924749        2.40917305        5184
      5.65658468        2.44729122        5184
      5.69392187        2.47840056        5184
      5.73125907        2.50288276        5184
      5.76859626        2.52106562        5184
      5.80593345        2.53322237        5184
      5.84327064        2.53957174        5184
      5.88060784        2.54027819        5184
      5.91794503        2.53545186        5184
      5.95528222        2.52514846        5184
