# Directional plane-averaged electrostatic potential
# direction = a-b
# method = nearest
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.51056084        5184
      0.05600579        2.48926676        5184
      0.09334298        2.46232870        5184
      0.13068017        2.42958609        5184
      0.16801737        2.39083117        5184
      0.20535456        2.34581694        5184
      0.24269175        2.29426850        5184
      0.28002894        2.23589777        5184
      0.31736614        2.17041892        5184
      0.35470333        2.09756349        5184
      0.39204052        2.01709402        5184
      0.42937772        1.92881665        5184
      0.46671491        1.83259152        5184
      0.50405210        1.72834294        5184
      0.54138929        1.61606783        5184
      0.57872649        1.49584416        5184
      0.61606368        1.36783748        5184
      0.65340087        1.23230597        5184
      0.69073806        1.08960485        5184
      0.72807526        0.94019142        5184
      0.76541245        0.78463406        5184
      0.80274964        0.62362385        5184
      0.84008683        0.45799081        5184
      0.87742403        0.28872340        5184
      0.91476122        0.11698603        5184
      0.95209841       -0.05587002        5184
      0.98943560       -0.22830442        5184
      1.02677280       -0.39859962        5184
      1.06410999       -0.56488423        5184
      1.10144718       -0.72516887        5184
      1.13878437       -0.87738945        5184
      1.17612157       -1.01945405        5184
      1.21345876       -1.14929252        5184
      1.25079595       -1.26490551        5184
      1.28813315       -1.36441225        5184
      1.32547034       -1.44609773        5184
      1.36280753       -1.50845759        5184
      1.40014472       -1.55024243        5184
      1.43748192       -1.57049823        5184
      1.47481911       -1.56860075        5184
      1.51215630       -1.54428163        5184
      1.54949349       -1.49764394        5184
      1.58683069       -1.42916485        5184
      1.62416788       -1.33968556        5184
      1.66150507       -1.23038957        5184
      1.69884226       -1.10277178        5184
      1.73617946       -0.95860177        5184
      1.77351665       -0.79988347        5184
      1.81085384       -0.62881513        5184
      1.84819103       -0.44774722        5184
      1.88552823       -0.25913818        5184
      1.92286542       -0.06550304        5184
      1.96020261        0.13064547        5184
      1.99753980        0.32686200        5184
      2.03487700        0.52083546        5184
      2.07221419        0.71045040        5184
      2.10955138        0.89383867        5184
      2.14688858        1.06941447        5184
      2.18422577        1.23589258        5184
      2.22156296        1.39229275        5184
      2.25890015        1.53793172        5184
      2.29623735        1.67240508        5184
      2.33357454        1.79556312        5184
      2.37091173        1.90747855        5184
      2.40824892        2.00840955        5184
      2.44558612        2.09875671        5184
      2.48292331        2.17901758        5184
      2.52026050        2.24974412        5184
      2.55759769        2.31150494        5184
      2.59493489        2.36485575        5184
      2.63227208        2.41031974        5184
      2.66960927        2.44837534        5184
      2.70694646        2.47945091        5184
      2.74428366        2.50392222        5184
      2.78162085        2.52211113        5184
      2.81895804        2.53428579        5184
      2.85629523        2.54066059        5184
      2.89363243        2.54139582        5184
      2.93096962        2.53659797        5184
      2.96830681        2.52632007        5184
      3.00564401        2.51056140        5184
      3.04298120        2.48926728        5184
      3.08031839        2.46232918        5184
      3.11765558        2.42958652        5184
      3.15499278        2.39083156        5184
      3.19232997        2.34581727        5184
      3.22966716        2.29426878        5184
      3.26700435        2.23589802        5184
      3.30434155        2.17041915        5184
      3.34167874        2.09756370        5184
      3.37901593        2.01709425        5184
      3.41635312        1.92881691        5184
      3.45369032        1.83259185        5184
      3.49102751        1.72834337        5184
      3.52836470        1.61606839        5184
      3.56570189        1.49584486        5184
      3.60303909        1.36783837        5184
      3.64037628        1.23230704        5184
      3.67771347        1.08960614        5184
      3.71505067        0.94019291        5184
      3.75238786        0.78463576        5184
      3.78972505        0.62362575        5184
      3.82706224        0.45799288        5184
      3.86439944        0.28872562        5184
      3.90173663        0.11698836        5184
      3.93907382       -0.05586763        5184
      3.97641101       -0.22830201        5184
      4.01374821       -0.39859725        5184
      4.05108540       -0.56488196        5184
      4.08842259       -0.72516676        5184
      4.12575978       -0.87738755        5184
      4.16309698       -1.01945242        5184
      4.20043417       -1.14929119        5184
      4.23777136       -1.26490451        5184
      4.27510855       -1.36441162        5184
      4.31244575       -1.44609746        5184
      4.34978294       -1.50845769        5184
      4.38712013       -1.55024289        5184
      4.42445732       -1.57049903        5184
      4.46179452       -1.56860185        5184
      4.49913171       -1.54428300        5184
      4.53646890       -1.49764553        5184
      4.57380610       -1.42916661        5184
      4.61114329       -1.33968744        5184
      4.64848048       -1.23039150        5184
      4.68581767       -1.10277372        5184
      4.72315487       -0.95860364        5184
      4.76049206       -0.79988525        5184
      4.79782925       -0.62881676        5184
      4.83516644       -0.44774867        5184
      4.87250364       -0.25913944        5184
      4.90984083       -0.06550409        5184
      4.94717802        0.13064464        5184
      4.98451521        0.32686137        5184
      5.02185241        0.52083502        5184
      5.05918960        0.71045012        5184
      5.09652679        0.89383853        5184
      5.13386398        1.06941443        5184
      5.17120118        1.23589263        5184
      5.20853837        1.39229283        5184
      5.24587556        1.53793182        5184
      5.28321275        1.67240518        5184
      5.32054995        1.79556319        5184
      5.35788714        1.90747857        5184
      5.39522433        2.00840951        5184
      5.43256153        2.09875660        5184
      5.46989872        2.17901740        5184
      5.50723591        2.24974386        5184
      5.54457310        2.31150461        5184
      5.58191030        2.36485534        5184
      5.61924749        2.41031928        5184
      5.65658468        2.44837482        5184
      5.69392187        2.47945036        5184
      5.73125907        2.50392163        5184
      5.76859626        2.52211052        5184
      5.80593345        2.53428517        5184
      5.84327064        2.54065997        5184
      5.88060784        2.54139520        5184
      5.91794503        2.53659736        5184
      5.95528222        2.52631948        5184
