# Directional plane-averaged electrostatic potential
# direction = a+b
# method = bin
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.35556483       38304
      0.05600579        2.31497599       40608
      0.09334298        2.26823002       37728
      0.13068017        2.21524480       39456
      0.16801737        2.15596174       41472
      0.20535456        2.09031317       37728
      0.24269175        2.01824943       40320
      0.28002894        1.93976459       41760
      0.31736614        1.85483964       38016
      0.35470333        1.76349516       40896
      0.39204052        1.66579666       41760
      0.42937772        1.56179955       38304
      0.46671491        1.45164476       41184
      0.50405210        1.33553549       41184
      0.54138929        1.21372083       38880
      0.57872649        1.08659465       42336
      0.61606368        0.95464398       40896
      0.65340087        0.81845038       40320
      0.69073806        0.67875939       42624
      0.72807526        0.53638388       41184
      0.76541245        0.39222704       40896
      0.80274964        0.24730831       42624
      0.84008683        0.10265983       41760
      0.87742403       -0.04060795       41472
      0.91476122       -0.18130238       41760
      0.95209841       -0.31823178       42912
      0.98943560       -0.45010186       41760
      1.02677280       -0.57556480       40896
      1.06410999       -0.69326811       43488
      1.10144718       -0.80177876       42912
      1.13878437       -0.89968572       41760
      1.17612157       -0.98562951       44064
      1.21345876       -1.05827715       42912
      1.25079595       -1.11645327       42336
      1.28813315       -1.15912761       44640
      1.32547034       -1.18542349       42336
      1.36280753       -1.19472595       43488
      1.40014472       -1.18662511       45216
      1.43748192       -1.16095286       41760
      1.47481911       -1.11784652       44352
      1.51215630       -1.05766475       44928
      1.54949349       -0.98103512       41760
      1.58683069       -0.88884660       44928
      1.62416788       -0.78215035       45792
      1.66150507       -0.66221263       42624
      1.69884226       -0.53045895       45504
      1.73617946       -0.38840441       45216
      1.77351665       -0.23773503       43776
      1.81085384       -0.08022044       46080
      1.84819103        0.08230914       44928
      1.88552823        0.24791851       44640
      1.92286542        0.41469732       46656
      1.96020261        0.58078868       43776
      1.99753980        0.74440282       45216
      2.03487700        0.90396748       46656
      2.07221419        1.05811049       44928
      2.10955138        1.20567852       46080
      2.14688858        1.34581393       46080
      2.18422577        1.47785181       46368
      2.22156296        1.60131770       46656
      2.25890015        1.71594170       45792
      2.29623735        1.82153106       47232
      2.33357454        1.91801422       47232
      2.37091173        2.00542923       45792
      2.40824892        2.08384761       47808
      2.44558612        2.15343631       46368
      2.48292331        2.21442128       46080
      2.52026050        2.26704164       48096
      2.55759769        2.31159285       45792
      2.59493489        2.34836913       47520
      2.63227208        2.37765074       48096
      2.66960927        2.39972838       44928
      2.70694646        2.41485149       48672
      2.74428366        2.42324539       48096
      2.78162085        2.42511075       44352
      2.81895804        2.42059977       49248
      2.85629523        2.40983962       47520
      2.89363243        2.39291389       44640
      2.93096962        2.36987732       49248
      2.96830681        2.34075943       45792
      3.00564401        2.30554881       45792
      3.04298120        2.26422798       49248
      3.08031839        2.21675668       44640
      3.11765558        2.16307473       47520
      3.15499278        2.10314589       49248
      3.19232997        2.03692212       44352
      3.22966716        1.96437056       48096
      3.26700435        1.88550234       48672
      3.30434155        1.80031306       44928
      3.34167874        1.70883811       48096
      3.37901593        1.61115716       47520
      3.41635312        1.50733558       45792
      3.45369032        1.39752268       48096
      3.49102751        1.28192462       46080
      3.52836470        1.16078807       46368
      3.56570189        1.03449939       47808
      3.60303909        0.90352646       45792
      3.64037628        0.76842078       47232
      3.67771347        0.62988119       47232
      3.71505067        0.48865059       45792
      3.75238786        0.34554522       46656
      3.78972505        0.20148495       46368
      3.82706224        0.05740002       46080
      3.86439944       -0.08568765       46080
      3.90173663       -0.22664879       44928
      3.93907382       -0.36431698       46656
      3.97641101       -0.49738372       45216
      4.01374821       -0.62444656       43776
      4.05108540       -0.74406610       46656
      4.08842259       -0.85470473       44640
      4.12575978       -0.95484194       44928
      4.16309698       -1.04301415       46080
      4.20043417       -1.11779511       43776
      4.23777136       -1.17792699       45216
      4.27510855       -1.22230467       45504
      4.31244575       -1.24997925       42624
      4.34978294       -1.26027267       45792
      4.38712013       -1.25272623       44928
      4.42445732       -1.22714048       41760
      4.46179452       -1.18364843       45216
      4.49913171       -1.12262251       44064
      4.53646890       -1.04471114       41760
      4.57380610       -0.95082604       45216
      4.61114329       -0.84203374       43488
      4.64848048       -0.71961037       42336
      4.68581767       -0.58499519       44640
      4.72315487       -0.43972347       42336
      4.76049206       -0.28550747       42912
      4.79782925       -0.12414295       44064
      4.83516644        0.04252625       41760
      4.87250364        0.21257350       42912
      4.90984083        0.38411839       43488
      4.94717802        0.55534114       40896
      4.98451521        0.72448052       41760
      5.02185241        0.88996059       42912
      5.05918960        1.05035494       41760
      5.09652679        1.20440365       41472
      5.13386398        1.35109525       41760
      5.17120118        1.48958275       42624
      5.20853837        1.61920502       40896
      5.24587556        1.73951887       41184
      5.28321275        1.85019736       42624
      5.32054995        1.95107899       40320
      5.35788714        2.04215967       40896
      5.39522433        2.12351856       42336
      5.43256153        2.19536766       38880
      5.46989872        2.25800678       41184
      5.50723591        2.31177097       41184
      5.54457310        2.35706088       38304
      5.58191030        2.39427936       41760
      5.61924749        2.42380993       40896
      5.65658468        2.44603425       38016
      5.69392187        2.46127856       41760
      5.73125907        2.46982381       40320
      5.76859626        2.47191058       37728
      5.80593345        2.46771389       41472
      5.84327064        2.45736735       39456
      5.88060784        2.44095360       37728
      5.91794503        2.41851626       40608
      5.95528222        2.39006393       38304
