# Directional plane-averaged electrostatic potential
# direction = a+b
# method = cubic
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.35621246        5184
      0.05600579        2.30605528        5184
      0.09334298        2.24913222        5184
      0.13068017        2.18514124        5184
      0.16801737        2.11379308        5184
      0.20535456        2.03482880        5184
      0.24269175        1.94803627        5184
      0.28002894        1.85326418        5184
      0.31736614        1.75043292        5184
      0.35470333        1.63954181        5184
      0.39204052        1.52067313        5184
      0.42937772        1.39399392        5184
      0.46671491        1.25975719        5184
      0.50405210        1.11830441        5184
      0.54138929        0.97007091        5184
      0.57872649        0.81559534        5184
      0.61606368        0.65553335        5184
      0.65340087        0.49067442        5184
      0.69073806        0.32196012        5184
      0.72807526        0.15050082        5184
      0.76541245       -0.02241184        5184
      0.80274964       -0.19529973        5184
      0.84008683       -0.36650248        5184
      0.87742403       -0.53419261        5184
      0.91476122       -0.69640196        5184
      0.95209841       -0.85105883        5184
      0.98943560       -0.99603409        5184
      1.02677280       -1.12919426        5184
      1.06410999       -1.24845853        5184
      1.10144718       -1.35185728        5184
      1.13878437       -1.43758901        5184
      1.17612157       -1.50407357        5184
      1.21345876       -1.54999932        5184
      1.25079595       -1.57436276        5184
      1.28813315       -1.57649909        5184
      1.32547034       -1.55610305        5184
      1.36280753       -1.51323946        5184
      1.40014472       -1.44834354        5184
      1.43748192       -1.36221155        5184
      1.47481911       -1.25598251        5184
      1.51215630       -1.13111216        5184
      1.54949349       -0.98934035        5184
      1.58683069       -0.83265272        5184
      1.62416788       -0.66323783        5184
      1.66150507       -0.48344017        5184
      1.69884226       -0.29570960        5184
      1.73617946       -0.10254767        5184
      1.77351665        0.09354851        5184
      1.81085384        0.29014381        5184
      1.84819103        0.48492230        5184
      1.88552823        0.67574180        5184
      1.92286542        0.86068293        5184
      1.96020261        1.03808949        5184
      1.99753980        1.20659738        5184
      2.03487700        1.36514998        5184
      2.07221419        1.51299896        5184
      2.10955138        1.64969084        5184
      2.14688858        1.77504080        5184
      2.18422577        1.88909655        5184
      2.22156296        1.99209550        5184
      2.25890015        2.08441909        5184
      2.29623735        2.16654791        5184
      2.33357454        2.23902065        5184
      2.37091173        2.30239911        5184
      2.40824892        2.35724038        5184
      2.44558612        2.40407640        5184
      2.48292331        2.44339995        5184
      2.52026050        2.47565615        5184
      2.55759769        2.50123781        5184
      2.59493489        2.52048340        5184
      2.63227208        2.53367658        5184
      2.66960927        2.54104637        5184
      2.70694646        2.54276749        5184
      2.74428366        2.53896049        5184
      2.78162085        2.52969156        5184
      2.81895804        2.51497208        5184
      2.85629523        2.49475830        5184
      2.89363243        2.46895156        5184
      2.93096962        2.43739991        5184
      2.96830681        2.39990189        5184
      3.00564401        2.35621310        5184
      3.04298120        2.30605601        5184
      3.08031839        2.24913304        5184
      3.11765558        2.18514211        5184
      3.15499278        2.11379396        5184
      3.19232997        2.03482964        5184
      3.22966716        1.94803700        5184
      3.26700435        1.85326474        5184
      3.30434155        1.75043322        5184
      3.34167874        1.63954179        5184
      3.37901593        1.52067271        5184
      3.41635312        1.39399304        5184
      3.45369032        1.25975580        5184
      3.49102751        1.11830249        5184
      3.52836470        0.97006843        5184
      3.56570189        0.81559231        5184
      3.60303909        0.65552978        5184
      3.64037628        0.49067035        5184
      3.67771347        0.32195559        5184
      3.71505067        0.15049591        5184
      3.75238786       -0.02241705        5184
      3.78972505       -0.19530513        5184
      3.82706224       -0.36650795        5184
      3.86439944       -0.53419802        5184
      3.90173663       -0.69640719        5184
      3.93907382       -0.85106373        5184
      3.97641101       -0.99603856        5184
      4.01374821       -1.12919817        5184
      4.05108540       -1.24846181        5184
      4.08842259       -1.35185984        5184
      4.12575978       -1.43759082        5184
      4.16309698       -1.50407459        5184
      4.20043417       -1.54999955        5184
      4.23777136       -1.57436221        5184
      4.27510855       -1.57649780        5184
      4.31244575       -1.55610109        5184
      4.34978294       -1.51323691        5184
      4.38712013       -1.44834050        5184
      4.42445732       -1.36220811        5184
      4.46179452       -1.25597880        5184
      4.49913171       -1.13110831        5184
      4.53646890       -0.98933647        5184
      4.57380610       -0.83264892        5184
      4.61114329       -0.66323422        5184
      4.64848048       -0.48343683        5184
      4.68581767       -0.29570659        5184
      4.72315487       -0.10254504        5184
      4.76049206        0.09355074        5184
      4.79782925        0.29014562        5184
      4.83516644        0.48492371        5184
      4.87250364        0.67574283        5184
      4.90984083        0.86068363        5184
      4.94717802        1.03808989        5184
      4.98451521        1.20659752        5184
      5.02185241        1.36514991        5184
      5.05918960        1.51299874        5184
      5.09652679        1.64969050        5184
      5.13386398        1.77504039        5184
      5.17120118        1.88909610        5184
      5.20853837        1.99209504        5184
      5.24587556        2.08441866        5184
      5.28321275        2.16654752        5184
      5.32054995        2.23902031        5184
      5.35788714        2.30239883        5184
      5.39522433        2.35724016        5184
      5.43256153        2.40407623        5184
      5.46989872        2.44339983        5184
      5.50723591        2.47565607        5184
      5.54457310        2.50123776        5184
      5.58191030        2.52048337        5184
      5.61924749        2.53367655        5184
      5.65658468        2.54104634        5184
      5.69392187        2.54276744        5184
      5.73125907        2.53896041        5184
      5.76859626        2.52969143        5184
      5.80593345        2.51497189        5184
      5.84327064        2.49475804        5184
      5.88060784        2.46895122        5184
      5.91794503        2.43739948        5184
      5.95528222        2.39990136        5184
