# Directional plane-averaged electrostatic potential
# direction = a+b
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.35367480        5184
      0.05600579        2.30340571        5184
      0.09334298        2.24636926        5184
      0.13068017        2.18226999        5184
      0.16801737        2.11082537        5184
      0.20535456        2.03178276        5184
      0.24269175        1.94493545        5184
      0.28002894        1.85013635        5184
      0.31736614        1.74730880        5184
      0.35470333        1.63645388        5184
      0.39204052        1.51765483        5184
      0.42937772        1.39107945        5184
      0.46671491        1.25698195        5184
      0.50405210        1.11570603        5184
      0.54138929        0.96769067        5184
      0.57872649        0.81347961        5184
      0.61606368        0.65373472        5184
      0.65340087        0.48925210        5184
      0.69073806        0.32097932        5184
      0.72807526        0.15003111        5184
      0.76541245       -0.02229928        5184
      0.80274964       -0.19453567        5184
      0.84008683       -0.36502376        5184
      0.87742403       -0.53194639        5184
      0.91476122       -0.69334975        5184
      0.95209841       -0.84717990        5184
      0.98943560       -0.99132812        5184
      1.02677280       -1.12368288        5184
      1.06410999       -1.24218588        5184
      1.10144718       -1.34488948        5184
      1.13878437       -1.43001271        5184
      1.17612157       -1.49599364        5184
      1.21345876       -1.54153596        5184
      1.25079595       -1.56564800        5184
      1.28813315       -1.56767301        5184
      1.32547034       -1.54730983        5184
      1.36280753       -1.50462340        5184
      1.40014472       -1.44004533        5184
      1.43748192       -1.35436479        5184
      1.47481911       -1.24871066        5184
      1.51215630       -1.12452595        5184
      1.54949349       -0.98353548        5184
      1.58683069       -0.82770803        5184
      1.62416788       -0.65921363        5184
      1.66150507       -0.48037683        5184
      1.69884226       -0.29362638        5184
      1.73617946       -0.10144181        5184
      1.77351665        0.09370218        5184
      1.81085384        0.28939261        5184
      1.84819103        0.48333454        5184
      1.88552823        0.67340456        5184
      1.92286542        0.85769865        5184
      1.96020261        1.03457158        5184
      1.99753980        1.20266507        5184
      2.03487700        1.36092277        5184
      2.07221419        1.50859124        5184
      2.10955138        1.64520703        5184
      2.14688858        1.77057157        5184
      2.18422577        1.88471624        5184
      2.22156296        1.98786101        5184
      2.25890015        2.08037012        5184
      2.29623735        2.16270832        5184
      2.33357454        2.23540072        5184
      2.37091173        2.29899816        5184
      2.40824892        2.35404957        5184
      2.44558612        2.40108116        5184
      2.48292331        2.44058212        5184
      2.52026050        2.47299553        5184
      2.55759769        2.49871321        5184
      2.59493489        2.51807331        5184
      2.63227208        2.53135949        5184
      2.66960927        2.53880085        5184
      2.70694646        2.54057217        5184
      2.74428366        2.53679393        5184
      2.78162085        2.52753221        5184
      2.81895804        2.51279835        5184
      2.85629523        2.49254880        5184
      2.89363243        2.46668565        5184
      2.93096962        2.43505854        5184
      2.96830681        2.39746864        5184
      3.00564401        2.35367543        5184
      3.04298120        2.30340644        5184
      3.08031839        2.24637006        5184
      3.11765558        2.18227085        5184
      3.15499278        2.11082623        5184
      3.19232997        2.03178358        5184
      3.22966716        1.94493615        5184
      3.26700435        1.85013688        5184
      3.30434155        1.74730907        5184
      3.34167874        1.63645382        5184
      3.37901593        1.51765438        5184
      3.41635312        1.39107855        5184
      3.45369032        1.25698055        5184
      3.49102751        1.11570410        5184
      3.52836470        0.96768819        5184
      3.56570189        0.81347659        5184
      3.60303909        0.65373116        5184
      3.64037628        0.48924804        5184
      3.67771347        0.32097482        5184
      3.71505067        0.15002623        5184
      3.75238786       -0.02230445        5184
      3.78972505       -0.19454103        5184
      3.82706224       -0.36502918        5184
      3.86439944       -0.53195175        5184
      3.90173663       -0.69335492        5184
      3.93907382       -0.84718475        5184
      3.97641101       -0.99133254        5184
      4.01374821       -1.12368675        5184
      4.05108540       -1.24218913        5184
      4.08842259       -1.34489202        5184
      4.12575978       -1.43001450        5184
      4.16309698       -1.49599465        5184
      4.20043417       -1.54153619        5184
      4.23777136       -1.56564746        5184
      4.27510855       -1.56767175        5184
      4.31244575       -1.54730790        5184
      4.34978294       -1.50462089        5184
      4.38712013       -1.44004232        5184
      4.42445732       -1.35436140        5184
      4.46179452       -1.24870700        5184
      4.49913171       -1.12452214        5184
      4.53646890       -0.98353164        5184
      4.57380610       -0.82770427        5184
      4.61114329       -0.65921005        5184
      4.64848048       -0.48037351        5184
      4.68581767       -0.29362338        5184
      4.72315487       -0.10143919        5184
      4.76049206        0.09370440        5184
      4.79782925        0.28939443        5184
      4.83516644        0.48333597        5184
      4.87250364        0.67340561        5184
      4.90984083        0.85769936        5184
      4.94717802        1.03457200        5184
      4.98451521        1.20266523        5184
      5.02185241        1.36092273        5184
      5.05918960        1.50859104        5184
      5.09652679        1.64520671        5184
      5.13386398        1.77057117        5184
      5.17120118        1.88471580        5184
      5.20853837        1.98786057        5184
      5.24587556        2.08036969        5184
      5.28321275        2.16270794        5184
      5.32054995        2.23540038        5184
      5.35788714        2.29899788        5184
      5.39522433        2.35404934        5184
      5.43256153        2.40108099        5184
      5.46989872        2.44058200        5184
      5.50723591        2.47299545        5184
      5.54457310        2.49871315        5184
      5.58191030        2.51807328        5184
      5.61924749        2.53135946        5184
      5.65658468        2.53880082        5184
      5.69392187        2.54057211        5184
      5.73125907        2.53679384        5184
      5.76859626        2.52753208        5184
      5.80593345        2.51279816        5184
      5.84327064        2.49254854        5184
      5.88060784        2.46668530        5184
      5.91794503        2.43505810        5184
      5.95528222        2.39746811        5184
