# Directional plane-averaged electrostatic potential
# direction = a+b
# method = nearest
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01866860        2.35477745        5184
      0.05600579        2.30455478        5184
      0.09334298        2.24758889        5184
      0.13068017        2.18358193        5184
      0.16801737        2.11224351        5184
      0.20535456        2.03330860        5184
      0.24269175        1.94655568        5184
      0.28002894        1.85182386        5184
      0.31736614        1.74902684        5184
      0.35470333        1.63816180        5184
      0.39204052        1.51931258        5184
      0.42937772        1.39265043        5184
      0.46671491        1.25843253        5184
      0.50405210        1.11700320        5184
      0.54138929        0.96879889        5184
      0.57872649        0.81435956        5184
      0.61606368        0.65434459        5184
      0.65340087        0.48955136        5184
      0.69073806        0.32093334        5184
      0.72807526        0.14961562        5184
      0.76541245       -0.02309520        5184
      0.80274964       -0.19570900        5184
      0.84008683       -0.36655853        5184
      0.87742403       -0.53381515        5184
      0.91476122       -0.69551611        5184
      0.95209841       -0.84960242        5184
      0.98943560       -0.99396525        5184
      1.02677280       -1.12649911        5184
      1.06410999       -1.24515716        5184
      1.10144718       -1.34800627        5184
      1.13878437       -1.43327902        5184
      1.17612157       -1.49942206        5184
      1.21345876       -1.54514058        5184
      1.25079595       -1.56943775        5184
      1.28813315       -1.57164689        5184
      1.32547034       -1.55145507        5184
      1.36280753       -1.50891424        5184
      1.40014472       -1.44444161        5184
      1.43748192       -1.35880908        5184
      1.47481911       -1.25312430        5184
      1.51215630       -1.12880749        5184
      1.54949349       -0.98756423        5184
      1.58683069       -0.83135432        5184
      1.62416788       -0.66235552        5184
      1.66150507       -0.48291817        5184
      1.69884226       -0.29551081        5184
      1.73617946       -0.10265873        5184
      1.77351665        0.09312297        5184
      1.81085384        0.28939428        5184
      1.84819103        0.48384979        5184
      1.88552823        0.67436847        5184
      1.92286542        0.85905411        5184
      1.96020261        1.03626669        5184
      1.99753980        1.20464582        5184
      2.03487700        1.36312566        5184
      2.07221419        1.51094101        5184
      2.10955138        1.64762135        5184
      2.14688858        1.77297058        5184
      2.18422577        1.88703307        5184
      2.22156296        1.99004982        5184
      2.25890015        2.08240875        5184
      2.29623735        2.16459537        5184
      2.33357454        2.23714926        5184
      2.37091173        2.30062855        5184
      2.40824892        2.35558376        5184
      2.44558612        2.40253915        5184
      2.48292331        2.44198018        5184
      2.52026050        2.47434624        5184
      2.55759769        2.50002571        5184
      2.59493489        2.51935350        5184
      2.63227208        2.53261069        5184
      2.66960927        2.54002417        5184
      2.70694646        2.54176770        5184
      2.74428366        2.53796169        5184
      2.78162085        2.52867291        5184
      2.81895804        2.51391398        5184
      2.85629523        2.49364310        5184
      2.89363243        2.46776446        5184
      2.93096962        2.43613075        5184
      2.96830681        2.39854717        5184
      3.00564401        2.35477809        5184
      3.04298120        2.30455551        5184
      3.08031839        2.24758970        5184
      3.11765558        2.18358279        5184
      3.15499278        2.11224438        5184
      3.19232997        2.03330941        5184
      3.22966716        1.94655639        5184
      3.26700435        1.85182439        5184
      3.30434155        1.74902711        5184
      3.34167874        1.63816174        5184
      3.37901593        1.51931212        5184
      3.41635312        1.39264952        5184
      3.45369032        1.25843112        5184
      3.49102751        1.11700127        5184
      3.52836470        0.96879641        5184
      3.56570189        0.81435654        5184
      3.60303909        0.65434103        5184
      3.64037628        0.48954731        5184
      3.67771347        0.32092884        5184
      3.71505067        0.14961076        5184
      3.75238786       -0.02310035        5184
      3.78972505       -0.19571434        5184
      3.82706224       -0.36656394        5184
      3.86439944       -0.53382050        5184
      3.90173663       -0.69552128        5184
      3.93907382       -0.84960727        5184
      3.97641101       -0.99396967        5184
      4.01374821       -1.12650298        5184
      4.05108540       -1.24516041        5184
      4.08842259       -1.34800881        5184
      4.12575978       -1.43328081        5184
      4.16309698       -1.49942307        5184
      4.20043417       -1.54514080        5184
      4.23777136       -1.56943721        5184
      4.27510855       -1.57164562        5184
      4.31244575       -1.55145313        5184
      4.34978294       -1.50891171        5184
      4.38712013       -1.44443858        5184
      4.42445732       -1.35880567        5184
      4.46179452       -1.25312062        5184
      4.49913171       -1.12880367        5184
      4.53646890       -0.98756037        5184
      4.57380610       -0.83135055        5184
      4.61114329       -0.66235194        5184
      4.64848048       -0.48291486        5184
      4.68581767       -0.29550783        5184
      4.72315487       -0.10265612        5184
      4.76049206        0.09312518        5184
      4.79782925        0.28939609        5184
      4.83516644        0.48385121        5184
      4.87250364        0.67436951        5184
      4.90984083        0.85905482        5184
      4.94717802        1.03626710        5184
      4.98451521        1.20464598        5184
      5.02185241        1.36312563        5184
      5.05918960        1.51094081        5184
      5.09652679        1.64762103        5184
      5.13386398        1.77297019        5184
      5.17120118        1.88703264        5184
      5.20853837        1.99004938        5184
      5.24587556        2.08240833        5184
      5.28321275        2.16459499        5184
      5.32054995        2.23714892        5184
      5.35788714        2.30062827        5184
      5.39522433        2.35558354        5184
      5.43256153        2.40253898        5184
      5.46989872        2.44198006        5184
      5.50723591        2.47434616        5184
      5.54457310        2.50002566        5184
      5.58191030        2.51935347        5184
      5.61924749        2.53261067        5184
      5.65658468        2.54002414        5184
      5.69392187        2.54176765        5184
      5.73125907        2.53796161        5184
      5.76859626        2.52867278        5184
      5.80593345        2.51391379        5184
      5.84327064        2.49364284        5184
      5.88060784        2.46776411        5184
      5.91794503        2.43613031        5184
      5.95528222        2.39854663        5184
