# Directional plane-averaged electrostatic potential
# direction = a-b
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.89970520       52416
      0.05813662        2.87284107       50976
      0.09689437        2.83449163       49824
      0.13565212        2.83888674       52704
      0.17440987        2.77094519       51552
      0.21316762        2.74903582       50400
      0.25192537        2.67628866       51264
      0.29068312        2.65107153       51264
      0.32944087        2.57633100       51264
      0.36819862        2.49243866       51552
      0.40695637        2.44824379       51552
      0.44571412        2.30731559       50688
      0.48447187        2.27431485       51264
      0.52322962        2.11418697       51264
      0.56198737        2.06319044       51840
      0.60074512        1.85703073       50976
      0.63950287        1.75899553       49536
      0.67826062        1.67452424       50976
      0.71701837        1.41714654       51840
      0.75577612        1.34601774       49536
      0.79453387        1.05853541       50400
      0.83329162        1.05769483       50688
      0.87204937        0.71715604       48960
      0.91080712        0.59665256       50112
      0.94956487        0.45558981       51264
      0.98832262        0.20714318       48960
      1.02708037        0.08282414       48672
      1.06583812       -0.20670572       50112
      1.10459587       -0.22031849       48672
      1.14335362       -0.67941070       49824
      1.18211137       -0.40543356       48960
      1.22086912       -0.90632782       48384
      1.25962687       -1.09219267       49248
      1.29838462       -0.76977661       48096
      1.33714237       -1.37306992       48960
      1.37590012       -1.23130497       49248
      1.41465787       -1.31821199       46656
      1.45341562       -1.37009704       48096
      1.49217337       -1.58475224       49248
      1.53093112       -1.13125162       46656
      1.56968887       -1.44629484       48096
      1.60844662       -1.53276886       48096
      1.64720437       -0.91437532       46080
      1.68596212       -1.38633383       47520
      1.72471987       -0.97082180       48672
      1.76347762       -0.98162138       46368
      1.80223537       -0.69409753       46368
      1.84099312       -0.63248682       46944
      1.87975087       -0.39639429       46368
      1.91850862       -0.20500597       47520
      1.95726637       -0.06111164       45792
      1.99602412        0.29174385       45792
      2.03478187        0.18737317       46944
      2.07353962        0.73983635       44352
      2.11229737        0.75850884       47232
      2.15105512        0.97667447       46656
      2.18981287        1.29044431       43776
      2.22857062        1.32246421       45504
      2.26732837        1.52875873       46944
      2.30608612        1.67569678       44064
      2.34484387        1.97961597       45216
      2.38360162        1.93409018       45216
      2.42235937        2.12984225       44064
      2.46111712        2.28877543       45216
      2.49987487        2.34714790       44640
      2.53863262        2.47880024       44640
      2.57739037        2.54110403       43776
      2.61614812        2.62083834       43488
      2.65490587        2.66420825       44640
      2.69366362        2.77211250       44928
      2.73242137        2.76600503       42336
      2.77117912        2.83160341       43776
      2.80993687        2.86947361       44640
      2.84869462        2.87838960       41760
      2.88745237        2.91933207       44064
      2.92621012        2.92145659       43776
      2.96496787        2.93757900       41760
      3.00372562        2.93014233       42912
      3.04248337        2.94499409       43200
      3.08124112        2.92252588       42624
      3.11999887        2.91836716       42336
      3.15875662        2.90065697       42336
      3.19751437        2.86343203       41760
      3.23627212        2.86125695       42624
      3.27502987        2.79801925       42048
      3.31378762        2.77737166       42336
      3.35254537        2.72056007       42624
      3.39130312        2.68049798       42048
      3.43006087        2.61007917       42336
      3.46881862        2.55766462       44352
      3.50757637        2.47256772       42912
      3.54633412        2.34381783       41472
      3.58509187        2.36056939       44352
      3.62384962        2.17612967       43488
      3.66260737        2.08543852       43488
      3.70136512        1.94856033       44064
      3.74012287        1.87434848       43200
      3.77888062        1.70525780       42912
      3.81763837        1.54038988       44928
      3.85639612        1.49459757       44928
      3.89515387        1.10473767       43776
      3.93391162        1.20020852       44352
      3.97266937        0.88718466       44352
      4.01142712        0.67869825       45216
      4.05018487        0.62043452       44928
      4.08894262        0.38316885       44352
      4.12770037        0.19079480       46080
      4.16645812       -0.09563003       44640
      4.20521587       -0.01029039       44352
      4.24397362       -0.50488818       47232
      4.28273137       -0.34192715       45504
      4.32148912       -0.65832369       44352
      4.36024687       -0.95073306       46656
      4.39900462       -0.75763991       46656
      4.43776237       -1.12803833       45216
      4.47652012       -1.06089298       46944
      4.51527787       -1.32954572       46368
      4.55403562       -1.18332683       45792
      4.59279337       -1.39705164       47232
      4.63155112       -1.10890686       46944
      4.67030887       -1.42567444       47232
      4.70906662       -1.36405406       46656
      4.74782436       -0.85383029       46080
      4.78658211       -1.48626758       48960
      4.82533986       -0.81187829       47520
      4.86409761       -0.89530128       46656
      4.90285536       -0.84526834       48672
      4.94161311       -0.56600129       47520
      4.98037086       -0.32091505       46944
      5.01912861       -0.30049469       49824
      5.05788636       -0.13227783       48384
      5.09664411        0.36652217       46656
      5.13540186        0.16316625       49248
      5.17415961        0.55985997       48672
      5.21291736        0.76092117       49248
      5.25167511        0.97225983       48960
      5.29043286        1.13127992       48384
      5.32919061        1.27114594       49248
      5.36794836        1.51280349       49824
      5.40670611        1.58379079       48960
      5.44546386        1.87509657       50400
      5.48422161        1.92203195       48960
      5.52297936        2.05946072       48672
      5.56173711        2.18916298       52128
      5.60049486        2.31887268       49536
      5.63925261        2.42695298       49536
      5.67801036        2.46416102       51264
      5.71676811        2.59548229       49824
      5.75552586        2.61858776       50400
      5.79428361        2.71861941       51840
      5.83304136        2.74430228       50688
      5.87179911        2.79531105       50112
      5.91055686        2.83283449       51552
      5.94931461        2.85229821       51264
      5.98807236        2.89341994       51840
      6.02683011        2.89006175       50976
      6.06558786        2.91120041       50688
      6.10434561        2.90710286       51552
      6.14310336        2.91699768       51264
      6.18186111        2.89425619       50976
