# Directional plane-averaged electrostatic potential
# direction = a+b
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.88128779       42624
      0.05813662        2.84527553       42336
      0.09689437        2.81098640       41184
      0.13565212        2.79259398       42912
      0.17440987        2.72840807       43200
      0.21316762        2.69493630       42624
      0.25192537        2.59063587       42624
      0.29068312        2.59516848       43488
      0.32944087        2.47713070       42336
      0.36819862        2.37873711       43200
      0.40695637        2.36494626       44928
      0.44571412        2.18000140       42624
      0.48447187        2.11847946       43488
      0.52322962        1.98613350       44352
      0.56198737        1.91896834       44064
      0.60074512        1.65853144       43776
      0.63950287        1.65192907       44640
      0.67826062        1.45114188       43776
      0.71701837        1.18698131       44640
      0.75577612        1.25163142       44928
      0.79453387        0.85661299       44352
      0.83329162        0.80448100       45792
      0.87204937        0.55462982       43776
      0.91080712        0.44113877       44928
      0.94956487        0.21573631       46656
      0.98832262        0.15230524       44928
      1.02708037       -0.16925395       45216
      1.06583812       -0.45694161       46368
      1.10459587       -0.19995859       44352
      1.14335362       -0.80692374       46368
      1.18211137       -0.69508669       47520
      1.22086912       -0.93662749       45216
      1.25962687       -1.04530288       46080
      1.29838462       -1.07574872       46944
      1.33714237       -1.22007509       46080
      1.37590012       -1.23209391       47520
      1.41465787       -1.48363382       46944
      1.45341562       -1.05781756       46080
      1.49217337       -1.60187326       47808
      1.53093112       -1.12700541       46944
      1.56968887       -1.22107062       47520
      1.60844662       -1.30981706       48384
      1.64720437       -0.84470732       45792
      1.68596212       -1.03287805       47808
      1.72471987       -0.86497757       49824
      1.76347762       -0.73970777       46944
      1.80223537       -0.23696753       48096
      1.84099312       -0.50646184       48960
      1.87975087       -0.09686587       47232
      1.91850862        0.16619320       49248
      1.95726637        0.22644520       49536
      1.99602412        0.54620424       47808
      2.03478187        0.62530476       48960
      2.07353962        0.91845688       48672
      2.11229737        0.99940926       49824
      2.15105512        1.36476947       50112
      2.18981287        1.42987838       48672
      2.22857062        1.57112933       49248
      2.26732837        1.82070243       50688
      2.30608612        1.86649465       48960
      2.34484387        2.10450342       50400
      2.38360162        2.15184621       51264
      2.42235937        2.30277656       48672
      2.46111712        2.38362443       50400
      2.49987487        2.47703335       51264
      2.53863262        2.57004892       50688
      2.57739037        2.62732370       50688
      2.61614812        2.70569140       50976
      2.65490587        2.72303679       50400
      2.69366362        2.80876602       51840
      2.73242137        2.81656362       51552
      2.77117912        2.86171813       50976
      2.80993687        2.87950794       51552
      2.84869462        2.89137451       50400
      2.88745237        2.91104936       51552
      2.92621012        2.91072440       52128
      2.96496787        2.91863379       50976
      3.00372562        2.88961704       50400
      3.04248337        2.90690118       51840
      3.08124112        2.86980465       51264
      3.11999887        2.85669814       51264
      3.15875662        2.82555610       51840
      3.19751437        2.78143538       50400
      3.23627212        2.76037853       50976
      3.27502987        2.68848677       52128
      3.31378762        2.66910347       51552
      3.35254537        2.56150418       50400
      3.39130312        2.52809954       51552
      3.43006087        2.44379708       50976
      3.46881862        2.34893012       51552
      3.50757637        2.27318214       51840
      3.54633412        2.13866098       50400
      3.58509187        2.07414230       50976
      3.62384962        1.87805657       50688
      3.66260737        1.84302267       50688
      3.70136512        1.59721207       51264
      3.74012287        1.54408229       50400
      3.77888062        1.31343243       48672
      3.81763837        1.14742497       51264
      3.85639612        1.12512811       50400
      3.89515387        0.71559925       48960
      3.93391162        0.72332599       50688
      3.97266937        0.41571548       49248
      4.01142712        0.32893328       48672
      4.05018487        0.07729248       50112
      4.08894262        0.01577217       49824
      4.12770037       -0.30559083       48672
      4.16645812       -0.59161784       48960
      4.20521587       -0.32696796       47808
      4.24397362       -0.95039043       49536
      4.28273137       -0.78920143       49248
      4.32148912       -0.99060240       47232
      4.36024687       -1.24484043       48960
      4.39900462       -1.11971453       48096
      4.43776237       -1.27792749       46944
      4.47652012       -1.40007621       49824
      4.51527787       -1.52296886       47808
      4.55403562       -1.06919489       45792
      4.59279337       -1.62498127       48384
      4.63155112       -1.21618125       48096
      4.67030887       -1.25606538       46368
      4.70906662       -1.25427274       47808
      4.74782436       -0.94346253       46080
      4.78658211       -1.10846362       46944
      4.82533986       -0.68639348       47520
      4.86409761       -0.76946273       46080
      4.90285536       -0.28686531       46944
      4.94161311       -0.37933946       46080
      4.98037086       -0.04638709       45216
      5.01912861        0.15071610       47520
      5.05788636        0.27670228       46368
      5.09664411        0.70263312       44352
      5.13540186        0.64226361       46368
      5.17415961        0.92835811       45216
      5.21291736        1.16068568       44928
      5.25167511        1.43478832       46656
      5.29043286        1.43156049       44928
      5.32919061        1.69662507       43776
      5.36794836        1.88904492       45792
      5.40670611        1.89802529       44352
      5.44546386        2.18523725       44928
      5.48422161        2.22417635       44640
      5.52297936        2.33633898       43776
      5.56173711        2.44131536       44640
      5.60049486        2.55157483       43776
      5.63925261        2.59708314       44064
      5.67801036        2.67419846       44352
      5.71676811        2.75534434       43488
      5.75552586        2.75053886       42624
      5.79428361        2.84166327       44928
      5.83304136        2.84599349       43200
      5.87179911        2.89077701       42336
      5.91055686        2.91054504       43488
      5.94931461        2.91543686       42624
      5.98807236        2.93509960       42624
      6.02683011        2.93435214       43200
      6.06558786        2.94207690       42912
      6.10434561        2.91748906       41184
      6.14310336        2.92626695       42336
      6.18186111        2.89574220       42624
