# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000        3.37429636
     1        0.07912258        3.37432120
     2        0.15824516        3.37429734
     3        0.23736775        3.37432065
     4        0.31649033        3.37429930
     5        0.39561291        3.37431917
     6        0.47473549        3.37430211
     7        0.55385808        3.37431692
     8        0.63298066        3.37430560
     9        0.71210324        3.37431412
    10        0.79122582        3.37430952
    11        0.87034840        3.37431102
    12        0.94947099        3.37431358
    13        1.02859357        3.37430793
    14        1.10771615        3.37431750
    15        1.18683873        3.37430512
    16        1.26596132        3.37432098
    17        1.34508390        3.37430288
    18        1.42420648        3.37432378
    19        1.50332906        3.37430143
    20        1.58245165        3.37432570
    21        1.66157423        3.37430093
    22        1.74069681        3.37432661
    23        1.81981939        3.37430148
    24        1.89894197        3.37432646
    25        1.97806456        3.37430309
    26        2.05718714        3.37432526
    27        2.13630972        3.37430554
    28        2.21543230        3.37432299
    29        2.29455489        3.37430873
    30        2.37367747        3.37432000
    31        2.45280005        3.37431250
    32        2.53192263        3.37431656
    33        2.61104521        3.37431658
    34        2.69016780        3.37431295
    35        2.76929038        3.37432064
    36        2.84841296        3.37430950
    37        2.92753554        3.37432438
    38        3.00665813        3.37430651
    39        3.08578071        3.37432750
    40        3.16490329        3.37430427
    41        3.24402587        3.37432974
    42        3.32314846        3.37430300
    43        3.40227104        3.37433093
    44        3.48139362        3.37430285
    45        3.56051620        3.37433094
    46        3.63963878        3.37430390
    47        3.71876137        3.37432979
    48        3.79788395        3.37430613
    49        3.87700653        3.37432756
    50        3.95612911        3.37430941
    51        4.03525170        3.37432443
    52        4.11437428        3.37431353
    53        4.19349686        3.37432066
    54        4.27261944        3.37431821
    55        4.35174202        3.37431657
    56        4.43086461        3.37432311
    57        4.50998719        3.37431253
    58        4.58910977        3.37432787
    59        4.66823235        3.37430894
    60        4.74735494        3.37433212
    61        4.82647752        3.37430617
    62        4.90560010        3.37433542
    63        4.98472268        3.37430400
    64        5.06384527        3.37433629
    65        5.14296785        3.37430057
    66        5.22209043        3.37433091
    67        5.30121301        3.37429022
    68        5.38033559        3.37431080
    69        5.45945818        3.37426186
    70        5.53858076        3.37426194
    71        5.61770334        3.37419811
    72        5.69682592        3.37416344
    73        5.77594851        3.37407355
    74        5.85507109        3.37398577
    75        5.93419367        3.37385275
    76        6.01331625        3.37368767
    77        6.09243883        3.37348586
    78        6.17156142        3.37321085
    79        6.25068400        3.37290212
    80        6.32980658        3.37247095
    81        6.40892916        3.37199786
    82        6.48805175        3.37134264
    83        6.56717433        3.37061817
    84        6.64629691        3.36963591
    85        6.72541949        3.36852654
    86        6.80454208        3.36705828
    87        6.88366466        3.36535812
    88        6.96278724        3.36315498
    89        7.04190982        3.36054246
    90        7.12103240        3.35721104
    91        7.20015499        3.35318148
    92        7.27927757        3.34809786
    93        7.35840015        3.34185543
    94        7.43752273        3.33402988
    95        7.51664532        3.32432029
    96        7.59576790        3.31218809
    97        7.67489048        3.29704312
    98        7.75401306        3.27815365
    99        7.83313564        3.25450337
   100        7.91225823        3.22502202
   101        7.99138081        3.18806391
   102        8.07050339        3.14199041
   103        8.14962597        3.08421765
   104        8.22874856        3.01216483
   105        8.30787114        2.92201824
   106        8.38699372        2.80967463
   107        8.46611630        2.66907319
   108        8.54523889        2.49409851
   109        8.62436147        2.27632288
   110        8.70348405        2.00603672
   111        8.78260663        1.66958026
   112        8.86172921        1.25204013
   113        8.94085180        0.73448336
   114        9.01997438        0.09124156
   115        9.09909696       -0.71543162
   116        9.17821954       -1.71643803
   117        9.25734213       -2.92075136
   118        9.33646471       -4.32362379
   119        9.41558729       -5.87156883
   120        9.49470987       -7.50254236
   121        9.57383245       -9.15725534
   122        9.65295504      -10.76861772
   123        9.73207762      -12.27221443
   124        9.81120020      -13.57190454
   125        9.89032278      -14.56318487
   126        9.96944537      -15.16133971
   127       10.04856795      -15.32218568
   128       10.12769053      -15.03451577
   129       10.20681311      -14.31695512
   130       10.28593570      -13.22000264
   131       10.36505828      -11.83104263
   132       10.44418086      -10.26331188
   133       10.52330344       -8.62086013
   134       10.60242602       -6.97133651
   135       10.68154861       -5.35868213
   136       10.76067119       -3.85523868
   137       10.83979377       -2.52828400
   138       10.91891635       -1.43660751
   139       10.99803894       -0.58683653
   140       11.07716152        0.06596450
   141       11.15628410        0.55155413
   142       11.23540668        0.88822233
   143       11.31452926        1.08514652
   144       11.39365185        1.15017083
   145       11.47277443        1.08514453
   146       11.55189701        0.88821834
   147       11.63101959        0.55154811
   148       11.71014218        0.06595639
   149       11.78926476       -0.58684677
   150       11.86838734       -1.43661995
   151       11.94750992       -2.52829871
   152       12.02663251       -3.85525573
   153       12.10575509       -5.35870154
   154       12.18487767       -6.97135827
   155       12.26400025       -8.62088418
   156       12.34312283      -10.26333811
   157       12.42224542      -11.83107089
   158       12.50136800      -13.22003270
   159       12.58049058      -14.31698675
   160       12.65961316      -15.03454870
   161       12.73873575      -15.32221963
   162       12.81785833      -15.16137441
   163       12.89698091      -14.56322003
   164       12.97610349      -13.57193989
   165       13.05522607      -12.27224974
   166       13.13434866      -10.76865283
   167       13.21347124       -9.15729019
   168       13.29259382       -7.50257698
   169       13.37171640       -5.87160331
   170       13.45083899       -4.32365826
   171       13.52996157       -2.92078596
   172       13.60908415       -1.71647291
   173       13.68820673       -0.71546690
   174       13.76732932        0.09120577
   175       13.84645190        0.73444700
