# Directional plane-averaged electrostatic potential
# direction = a-b
# method = bin
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.84738246       52416
      0.05813662        2.82855836       50976
      0.09689437        2.80366666       49824
      0.13565212        2.77259032       52704
      0.17440987        2.73516144       51552
      0.21316762        2.69117679       50400
      0.25192537        2.64038550       51264
      0.29068312        2.58250982       51264
      0.32944087        2.51724550       51264
      0.36819862        2.44427695       51552
      0.40695637        2.36329758       51552
      0.44571412        2.27402429       50688
      0.48447187        2.17622986       51264
      0.52322962        2.06975307       51264
      0.56198737        1.95454717       51840
      0.60074512        1.83067503       50976
      0.63950287        1.69835300       49536
      0.67826062        1.55796140       50976
      0.71701837        1.41002827       51840
      0.75577612        1.25525432       49536
      0.79453387        1.09447774       50400
      0.83329162        0.92867124       50688
      0.87204937        0.75892463       48960
      0.91080712        0.58645880       50112
      0.94956487        0.41260162       51264
      0.98832262        0.23881231       48960
      1.02708037        0.06667582       48672
      1.06583812       -0.10214340       50112
      1.10459587       -0.26588911       48672
      1.14335362       -0.42277357       49824
      1.18211137       -0.57097586       48960
      1.22086912       -0.70867090       48384
      1.25962687       -0.83402712       49248
      1.29838462       -0.94523954       48096
      1.33714237       -1.04056917       48960
      1.37590012       -1.11840831       49248
      1.41465787       -1.17737915       46656
      1.45341562       -1.21638235       48096
      1.49217337       -1.23467721       49248
      1.53093112       -1.23186453       46656
      1.56968887       -1.20788148       48096
      1.60844662       -1.16296002       48096
      1.64720437       -1.09759210       46080
      1.68596212       -1.01252812       47520
      1.72471987       -0.90877574       48672
      1.76347762       -0.78762818       46368
      1.80223537       -0.65064126       46368
      1.84099312       -0.49963048       46944
      1.87975087       -0.33659430       46368
      1.91850862       -0.16367717       47520
      1.95726637        0.01689929       45792
      1.99602412        0.20289266       45792
      2.03478187        0.39204616       46944
      2.07353962        0.58215922       44352
      2.11229737        0.77111894       47232
      2.15105512        0.95697134       46656
      2.18981287        1.13797027       43776
      2.22857062        1.31263810       45504
      2.26732837        1.47975369       46944
      2.30608612        1.63834865       44064
      2.34484387        1.78769522       45216
      2.38360162        1.92724052       45216
      2.42235937        2.05662221       44064
      2.46111712        2.17563160       45216
      2.49987487        2.28422256       44640
      2.53863262        2.38249318       44640
      2.57739037        2.47067883       43776
      2.61614812        2.54912722       43488
      2.65490587        2.61826522       44640
      2.69366362        2.67857434       44928
      2.73242137        2.73054017       42336
      2.77117912        2.77464777       43776
      2.80993687        2.81133886       44640
      2.84869462        2.84101190       41760
      2.88745237        2.86401512       44064
      2.92621012        2.88063779       43776
      2.96496787        2.89112240       41760
      3.00372562        2.89565594       42912
      3.04248337        2.89438419       43200
      3.08124112        2.88739896       42624
      3.11999887        2.87475037       42336
      3.15875662        2.85643833       42336
      3.19751437        2.83241066       41760
      3.23627212        2.80256551       42624
      3.27502987        2.76674066       42048
      3.31378762        2.72473335       42336
      3.35254537        2.67628987       42624
      3.39130312        2.62113243       42048
      3.43006087        2.55896887       42336
      3.46881862        2.48950728       44352
      3.50757637        2.41247450       42912
      3.54633412        2.32762592       41472
      3.58509187        2.23476787       44352
      3.62384962        2.13375300       43488
      3.66260737        2.02451927       43488
      3.70136512        1.90708312       44064
      3.74012287        1.78157108       43200
      3.77888062        1.64823986       42912
      3.81763837        1.50747265       44928
      3.85639612        1.35980488       44928
      3.89515387        1.20590712       43776
      3.93391162        1.04659985       44352
      3.97266937        0.88283612       44352
      4.01142712        0.71572389       45216
      4.05018487        0.54650562       44928
      4.08894262        0.37657354       44352
      4.12770037        0.20744965       46080
      4.16645812        0.04073739       44640
      4.20521587       -0.12186138       44352
      4.24397362       -0.27860945       47232
      4.28273137       -0.42771674       45504
      4.32148912       -0.56735936       44352
      4.36024687       -0.69569575       46656
      4.39900462       -0.81090764       46656
      4.43776237       -0.91124887       45216
      4.47652012       -0.99511574       46944
      4.51527787       -1.06112990       46368
      4.55403562       -1.10816138       45792
      4.59279337       -1.13538404       47232
      4.63155112       -1.14225401       46944
      4.67030887       -1.12851745       47232
      4.70906662       -1.09419321       46656
      4.74782436       -1.03957122       46080
      4.78658211       -0.96523714       48960
      4.82533986       -0.87207915       47520
      4.86409761       -0.76131081       46656
      4.90285536       -0.63443869       48672
      4.94161311       -0.49324474       47520
      4.98037086       -0.33969674       46944
      5.01912861       -0.17589295       49824
      5.05788636       -0.00398898       48384
      5.09664411        0.17386836       46656
      5.13540186        0.35555142       49248
      5.17415961        0.53899993       48672
      5.21291736        0.72222927       49248
      5.25167511        0.90338344       48960
      5.29043286        1.08075811       48384
      5.32919061        1.25285539       49248
      5.36794836        1.41838552       49824
      5.40670611        1.57628419       48960
      5.44546386        1.72571509       50400
      5.48422161        1.86601896       48960
      5.52297936        1.99674488       48672
      5.56173711        2.11759987       52128
      5.60049486        2.22845045       49536
      5.63925261        2.32930863       49536
      5.67801036        2.42031284       51264
      5.71676811        2.50170374       49824
      5.75552586        2.57380159       50400
      5.79428361        2.63699035       51840
      5.83304136        2.69166875       50688
      5.87179911        2.73825261       50112
      5.91055686        2.77714150       51552
      5.94931461        2.80871051       51264
      5.98807236        2.83330007       51840
      6.02683011        2.85120606       50976
      6.06558786        2.86268120       50688
      6.10434561        2.86792003       51552
      6.14310336        2.86706915       51264
      6.18186111        2.86021243       50976
