# Directional plane-averaged electrostatic potential
# direction = a-b
# method = cubic
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.90264619        5184
      0.05813662        2.88429969        5184
      0.09689437        2.86033502        5184
      0.13565212        2.83059161        5184
      0.17440987        2.79484971        5184
      0.21316762        2.75283034        5184
      0.25192537        2.70419771        5184
      0.29068312        2.64856541        5184
      0.32944087        2.58550733        5184
      0.36819862        2.51457366        5184
      0.40695637        2.43531179        5184
      0.44571412        2.34729100        5184
      0.48447187        2.25012933        5184
      0.52322962        2.14352080        5184
      0.56198737        2.02726140        5184
      0.60074512        1.90127286        5184
      0.63950287        1.76562370        5184
      0.67826062        1.62054760        5184
      0.71701837        1.46645935        5184
      0.75577612        1.30396797        5184
      0.79453387        1.13388647        5184
      0.83329162        0.95723710        5184
      0.87204937        0.77525045        5184
      0.91080712        0.58935773        5184
      0.94956487        0.40117564        5184
      0.98832262        0.21248484        5184
      1.02708037        0.02520367        5184
      1.06583812       -0.15864098        5184
      1.10459587       -0.33694358        5184
      1.14335362       -0.50755015        5184
      1.18211137       -0.66828878        5184
      1.22086912       -0.81700221        5184
      1.25962687       -0.95158415        5184
      1.29838462       -1.07002095        5184
      1.33714237       -1.17043905        5184
      1.37590012       -1.25115705        5184
      1.41465787       -1.31073954        5184
      1.45341562       -1.34804879        5184
      1.49217337       -1.36228993        5184
      1.53093112       -1.35304563        5184
      1.56968887       -1.32029759        5184
      1.60844662       -1.26443324        5184
      1.64720437       -1.18623754        5184
      1.68596212       -1.08687095        5184
      1.72471987       -0.96783504        5184
      1.76347762       -0.83092795        5184
      1.80223537       -0.67819181        5184
      1.84099312       -0.51185485        5184
      1.87975087       -0.33427091        5184
      1.91850862       -0.14785934        5184
      1.95726637        0.04495173        5184
      1.99602412        0.24177614        5184
      2.03478187        0.44031304        5184
      2.07353962        0.63838236        5184
      2.11229737        0.83395326        5184
      2.15105512        1.02516740        5184
      2.18981287        1.21035894        5184
      2.22857062        1.38807278        5184
      2.26732837        1.55708129        5184
      2.30608612        1.71639838        5184
      2.34484387        1.86528872        5184
      2.38360162        2.00326938        5184
      2.42235937        2.13010158        5184
      2.46111712        2.24577145        5184
      2.49987487        2.35046056        5184
      2.53863262        2.44450843        5184
      2.57739037        2.52837067        5184
      2.61614812        2.60257666        5184
      2.65490587        2.66769060        5184
      2.69366362        2.72427847        5184
      2.73242137        2.77288269        5184
      2.77117912        2.81400442        5184
      2.80993687        2.84809286        5184
      2.84869462        2.87554002        5184
      2.88745237        2.89667932        5184
      2.92621012        2.91178640        5184
      2.96496787        2.92108083        5184
      3.00372562        2.92472796        5184
      3.04248337        2.92284011        5184
      3.08124112        2.91547710        5184
      3.11999887        2.90264588        5184
      3.15875662        2.88429937        5184
      3.19751437        2.86033468        5184
      3.23627212        2.83059127        5184
      3.27502987        2.79484937        5184
      3.31378762        2.75283000        5184
      3.35254537        2.70419737        5184
      3.39130312        2.64856507        5184
      3.43006087        2.58550699        5184
      3.46881862        2.51457331        5184
      3.50757637        2.43531142        5184
      3.54633412        2.34729060        5184
      3.58509187        2.25012889        5184
      3.62384962        2.14352028        5184
      3.66260737        2.02726079        5184
      3.70136512        1.90127215        5184
      3.74012287        1.76562286        5184
      3.77888062        1.62054664        5184
      3.81763837        1.46645826        5184
      3.85639612        1.30396676        5184
      3.89515387        1.13388516        5184
      3.93391162        0.95723569        5184
      3.97266937        0.77524898        5184
      4.01142712        0.58935620        5184
      4.05018487        0.40117406        5184
      4.08894262        0.21248323        5184
      4.12770037        0.02520204        5184
      4.16645812       -0.15864262        5184
      4.20521587       -0.33694522        5184
      4.24397362       -0.50755176        5184
      4.28273137       -0.66829034        5184
      4.32148912       -0.81700370        5184
      4.36024687       -0.95158554        5184
      4.39900462       -1.07002219        5184
      4.43776237       -1.17044013        5184
      4.47652012       -1.25115794        5184
      4.51527787       -1.31074023        5184
      4.55403562       -1.34804928        5184
      4.59279337       -1.36229021        5184
      4.63155112       -1.35304572        5184
      4.67030887       -1.32029750        5184
      4.70906662       -1.26443298        5184
      4.74782436       -1.18623714        5184
      4.78658211       -1.08687042        5184
      4.82533986       -0.96783443        5184
      4.86409761       -0.83092727        5184
      4.90285536       -0.67819110        5184
      4.94161311       -0.51185413        5184
      4.98037086       -0.33427021        5184
      5.01912861       -0.14785865        5184
      5.05788636        0.04495238        5184
      5.09664411        0.24177675        5184
      5.13540186        0.44031362        5184
      5.17415961        0.63838291        5184
      5.21291736        0.83395377        5184
      5.25167511        1.02516787        5184
      5.29043286        1.21035935        5184
      5.32919061        1.38807313        5184
      5.36794836        1.55708157        5184
      5.40670611        1.71639857        5184
      5.44546386        1.86528883        5184
      5.48422161        2.00326942        5184
      5.52297936        2.13010156        5184
      5.56173711        2.24577138        5184
      5.60049486        2.35046047        5184
      5.63925261        2.44450833        5184
      5.67801036        2.52837057        5184
      5.71676811        2.60257659        5184
      5.75552586        2.66769055        5184
      5.79428361        2.72427846        5184
      5.83304136        2.77288271        5184
      5.87179911        2.81400448        5184
      5.91055686        2.84809296        5184
      5.94931461        2.87554015        5184
      5.98807236        2.89667949        5184
      6.02683011        2.91178659        5184
      6.06558786        2.92108105        5184
      6.10434561        2.92472821        5184
      6.14310336        2.92284038        5184
      6.18186111        2.91547739        5184
