# Directional plane-averaged electrostatic potential
# direction = a-b
# method = nearest
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.90172824        5184
      0.05813662        2.88329147        5184
      0.09689437        2.85919042        5184
      0.13565212        2.82927051        5184
      0.17440987        2.79332096        5184
      0.21316762        2.75107512        5184
      0.25192537        2.70221301        5184
      0.29068312        2.64636673        5184
      0.32944087        2.58313074        5184
      0.36819862        2.51207685        5184
      0.40695637        2.43277261        5184
      0.44571412        2.34480430        5184
      0.48447187        2.24780328        5184
      0.52322962        2.14147142        5184
      0.56198737        2.02560896        5184
      0.60074512        1.90013779        5184
      0.63950287        1.76512176        5184
      0.67826062        1.62078642        5184
      0.71701837        1.46753275        5184
      0.75577612        1.30594904        5184
      0.79453387        1.13681894        5184
      0.83329162        0.96112501        5184
      0.87204937        0.78004760        5184
      0.91080712        0.59496032        5184
      0.94956487        0.40741856        5184
      0.98832262        0.21914601        5184
      1.02708037        0.03201686        5184
      1.06583812       -0.15196793        5184
      1.10459587       -0.33070573        5184
      1.14335362       -0.50202263        5184
      1.18211137       -0.66370608        5184
      1.22086912       -0.81354021        5184
      1.25962687       -0.94934707        5184
      1.29838462       -1.06903667        5184
      1.33714237       -1.17066324        5184
      1.37590012       -1.25248805        5184
      1.41465787       -1.31304104        5184
      1.45341562       -1.35117222        5184
      1.49217337       -1.36609267        5184
      1.53093112       -1.35739812        5184
      1.56968887       -1.32507885        5184
      1.60844662       -1.26951958        5184
      1.64720437       -1.19148890        5184
      1.68596212       -1.09211979        5184
      1.72471987       -0.97288417        5184
      1.76347762       -0.83555807        5184
      1.80223537       -0.68217746        5184
      1.84099312       -0.51498878        5184
      1.87975087       -0.33638758        5184
      1.91850862       -0.14885544        5184
      1.95726637        0.04510266        5184
      1.99602412        0.24301965        5184
      2.03478187        0.44251729        5184
      2.07353962        0.64134974        5184
      2.11229737        0.83743923        5184
      2.15105512        1.02890409        5184
      2.18981287        1.21408068        5184
      2.22857062        1.39154113        5184
      2.26732837        1.56010333        5184
      2.30608612        1.71883783        5184
      2.34484387        1.86706938        5184
      2.38360162        2.00437031        5184
      2.42235937        2.13054848        5184
      2.46111712        2.24562510        5184
      2.49987487        2.34980487        5184
      2.53863262        2.44344001        5184
      2.57739037        2.52699045        5184
      2.61614812        2.60098284        5184
      2.65490587        2.66597398        5184
      2.69366362        2.72251898        5184
      2.73242137        2.77114680        5184
      2.77117912        2.81234437        5184
      2.80993687        2.84654565        5184
      2.84869462        2.87412733        5184
      2.88745237        2.89540831        5184
      2.92621012        2.91065064        5184
      2.96496787        2.92006161        5184
      3.00372562        2.92379621        5184
      3.04248337        2.92195822        5184
      3.08124112        2.91460100        5184
      3.11999887        2.90172794        5184
      3.15875662        2.88329115        5184
      3.19751437        2.85919010        5184
      3.23627212        2.82927018        5184
      3.27502987        2.79332062        5184
      3.31378762        2.75107477        5184
      3.35254537        2.70221267        5184
      3.39130312        2.64636639        5184
      3.43006087        2.58313040        5184
      3.46881862        2.51207651        5184
      3.50757637        2.43277225        5184
      3.54633412        2.34480391        5184
      3.58509187        2.24780283        5184
      3.62384962        2.14147090        5184
      3.66260737        2.02560836        5184
      3.70136512        1.90013708        5184
      3.74012287        1.76512093        5184
      3.77888062        1.62078546        5184
      3.81763837        1.46753167        5184
      3.85639612        1.30594784        5184
      3.89515387        1.13681764        5184
      3.93391162        0.96112362        5184
      3.97266937        0.78004614        5184
      4.01142712        0.59495880        5184
      4.05018487        0.40741700        5184
      4.08894262        0.21914442        5184
      4.12770037        0.03201524        5184
      4.16645812       -0.15196955        5184
      4.20521587       -0.33070735        5184
      4.24397362       -0.50202423        5184
      4.28273137       -0.66370763        5184
      4.32148912       -0.81354168        5184
      4.36024687       -0.94934844        5184
      4.39900462       -1.06903790        5184
      4.43776237       -1.17066431        5184
      4.47652012       -1.25248893        5184
      4.51527787       -1.31304173        5184
      4.55403562       -1.35117270        5184
      4.59279337       -1.36609295        5184
      4.63155112       -1.35739820        5184
      4.67030887       -1.32507876        5184
      4.70906662       -1.26951932        5184
      4.74782436       -1.19148849        5184
      4.78658211       -1.09211926        5184
      4.82533986       -0.97288355        5184
      4.86409761       -0.83555738        5184
      4.90285536       -0.68217674        5184
      4.94161311       -0.51498805        5184
      4.98037086       -0.33638685        5184
      5.01912861       -0.14885474        5184
      5.05788636        0.04510333        5184
      5.09664411        0.24302029        5184
      5.13540186        0.44251789        5184
      5.17415961        0.64135030        5184
      5.21291736        0.83743975        5184
      5.25167511        1.02890456        5184
      5.29043286        1.21408110        5184
      5.32919061        1.39154148        5184
      5.36794836        1.56010361        5184
      5.40670611        1.71883802        5184
      5.44546386        1.86706949        5184
      5.48422161        2.00437035        5184
      5.52297936        2.13054846        5184
      5.56173711        2.24562503        5184
      5.60049486        2.34980478        5184
      5.63925261        2.44343991        5184
      5.67801036        2.52699036        5184
      5.71676811        2.60098277        5184
      5.75552586        2.66597394        5184
      5.79428361        2.72251897        5184
      5.83304136        2.77114683        5184
      5.87179911        2.81234443        5184
      5.91055686        2.84654575        5184
      5.94931461        2.87412746        5184
      5.98807236        2.89540847        5184
      6.02683011        2.91065083        5184
      6.06558786        2.92006182        5184
      6.10434561        2.92379645        5184
      6.14310336        2.92195849        5184
      6.18186111        2.91460129        5184
