# Directional plane-averaged electrostatic potential
# direction = a+b
# method = bin
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.83617219       42624
      0.05813662        2.80747023       42336
      0.09689437        2.77284395       41184
      0.13565212        2.73209235       42912
      0.17440987        2.68496901       43200
      0.21316762        2.63120821       42624
      0.25192537        2.57052187       42624
      0.29068312        2.50262315       43488
      0.32944087        2.42723046       42336
      0.36819862        2.34408954       43200
      0.40695637        2.25298016       44928
      0.44571412        2.15373820       42624
      0.48447187        2.04628081       43488
      0.52322962        1.93060095       44352
      0.56198737        1.80681689       44064
      0.60074512        1.67516455       43776
      0.63950287        1.53602530       44640
      0.67826062        1.38992799       43776
      0.71701837        1.23754558       44640
      0.75577612        1.07968812       44928
      0.79453387        0.91727943       44352
      0.83329162        0.75135928       45792
      0.87204937        0.58304718       43776
      0.91080712        0.41358864       44928
      0.94956487        0.24433590       46656
      0.98832262        0.07678403       44928
      1.02708037       -0.08742408       45216
      1.06583812       -0.24653169       46368
      1.10459587       -0.39868047       44352
      1.14335362       -0.54197424       46368
      1.18211137       -0.67451314       47520
      1.22086912       -0.79446115       45216
      1.25962687       -0.90005375       46080
      1.29838462       -0.98965801       46944
      1.33714237       -1.06179817       46080
      1.37590012       -1.11520139       47520
      1.41465787       -1.14885875       46944
      1.45341562       -1.16205346       46080
      1.49217337       -1.15441594       47808
      1.53093112       -1.12590402       46944
      1.56968887       -1.07680396       47520
      1.60844662       -1.00768277       48384
      1.64720437       -0.91936713       45792
      1.68596212       -0.81293114       47808
      1.72471987       -0.68970290       49824
      1.76347762       -0.55128073       46944
      1.80223537       -0.39950496       48096
      1.84099312       -0.23645211       48960
      1.87975087       -0.06433508       47232
      1.91850862        0.11456326       49248
      1.95726637        0.29798018       49536
      1.99602412        0.48373659       47808
      2.03478187        0.66976864       48960
      2.07353962        0.85415383       48672
      2.11229737        1.03510888       49824
      2.15105512        1.21103069       50112
      2.18981287        1.38048444       48672
      2.22857062        1.54226773       49248
      2.26732837        1.69540387       50688
      2.30608612        1.83915361       48960
      2.34484387        1.97302053       50400
      2.38360162        2.09670761       51264
      2.42235937        2.21010885       48672
      2.46111712        2.31326854       50400
      2.49987487        2.40636635       51264
      2.53863262        2.48966447       50688
      2.57739037        2.56350705       50688
      2.61614812        2.62828493       50976
      2.65490587        2.68441109       50400
      2.69366362        2.73231311       51840
      2.73242137        2.77240410       51552
      2.77117912        2.80508079       50976
      2.80993687        2.83070023       51552
      2.84869462        2.84958265       50400
      2.88745237        2.86199497       51552
      2.92621012        2.86815056       52128
      2.96496787        2.86821071       50976
      3.00372562        2.86227319       50400
      3.04248337        2.85038575       51840
      3.08124112        2.83253320       51264
      3.11999887        2.80865304       51264
      3.15875662        2.77862799       51840
      3.19751437        2.74229637       50400
      3.23627212        2.69945681       50976
      3.27502987        2.64986444       52128
      3.31378762        2.59325380       51552
      3.35254537        2.52933169       50400
      3.39130312        2.45780530       51552
      3.43006087        2.37838839       50976
      3.46881862        2.29083229       51552
      3.50757637        2.19493935       51840
      3.54633412        2.09059137       50400
      3.58509187        1.97777578       50976
      3.62384962        1.85657517       50688
      3.66260737        1.72720806       50688
      3.70136512        1.59000709       51264
      3.74012287        1.44543353       50400
      3.77888062        1.29408192       48672
      3.81763837        1.13667193       51264
      3.85639612        0.97405672       50400
      3.89515387        0.80722018       48960
      3.93391162        0.63728886       50688
      3.97266937        0.46550632       49248
      4.01142712        0.29327509       48672
      4.05018487        0.12212192       50112
      4.08894262       -0.04629622       49824
      4.12770037       -0.21021895       48672
      4.16645812       -0.36783233       48960
      4.20521587       -0.51728846       47808
      4.24397362       -0.65676279       49536
      4.28273137       -0.78445347       49248
      4.32148912       -0.89862875       47232
      4.36024687       -0.99762643       48960
      4.39900462       -1.07991429       48096
      4.43776237       -1.14413002       46944
      4.47652012       -1.18913687       49824
      4.51527787       -1.21407739       47808
      4.55403562       -1.21837587       45792
      4.59279337       -1.20176061       48384
      4.63155112       -1.16423170       48096
      4.67030887       -1.10606912       46368
      4.70906662       -1.02781402       47808
      4.74782436       -0.93029863       46080
      4.78658211       -0.81465838       46944
      4.82533986       -0.68234277       47520
      4.86409761       -0.53511144       46080
      4.90285536       -0.37496998       46944
      4.94161311       -0.20413477       46080
      4.98037086       -0.02492084       45216
      5.01912861        0.16031891       47520
      5.05788636        0.34926728       46368
      5.09664411        0.53970275       44352
      5.13540186        0.72952259       46368
      5.17415961        0.91677686       45216
      5.21291736        1.09968295       44928
      5.25167511        1.27667046       46656
      5.29043286        1.44637196       44928
      5.32919061        1.60767896       43776
      5.36794836        1.75972518       45792
      5.40670611        1.90188399       44352
      5.44546386        2.03375615       44928
      5.48422161        2.15512569       44640
      5.52297936        2.26595616       43776
      5.56173711        2.36634407       44640
      5.60049486        2.45652166       43776
      5.63925261        2.53681376       44064
      5.67801036        2.60763371       44352
      5.71676811        2.66944898       43488
      5.75552586        2.72275170       42624
      5.79428361        2.76804193       44928
      5.83304136        2.80578605       43200
      5.87179911        2.83641621       42336
      5.91055686        2.86030868       43488
      5.94931461        2.87778679       42624
      5.98807236        2.88911435       42624
      6.02683011        2.89450297       43200
      6.06558786        2.89411502       42912
      6.10434561        2.88805619       41184
      6.14310336        2.87638735       42336
      6.18186111        2.85910881       42624
