# Directional plane-averaged electrostatic potential
# direction = a+b
# method = cubic
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.81971870        5184
      0.05813662        2.78198359        5184
      0.09689437        2.73786860        5184
      0.13565212        2.68702073        5184
      0.17440987        2.62903930        5184
      0.21316762        2.56348854        5184
      0.25192537        2.48991526        5184
      0.29068312        2.40787107        5184
      0.32944087        2.31693804        5184
      0.36819862        2.21675578        5184
      0.40695637        2.10704851        5184
      0.44571412        1.98765036        5184
      0.48447187        1.85852829        5184
      0.52322962        1.71980223        5184
      0.56198737        1.57176271        5184
      0.60074512        1.41488588        5184
      0.63950287        1.24984571        5184
      0.67826062        1.07752240        5184
      0.71701837        0.89900582        5184
      0.75577612        0.71559251        5184
      0.79453387        0.52877550        5184
      0.83329162        0.34022708        5184
      0.87204937        0.15177542        5184
      0.91080712       -0.03462280        5184
      0.94956487       -0.21691193        5184
      0.98832262       -0.39296744        5184
      1.02708037       -0.56062606        5184
      1.06583812       -0.71771688        5184
      1.10459587       -0.86209485        5184
      1.14335362       -0.99167873        5184
      1.18211137       -1.10449469        5184
      1.22086912       -1.19872541        5184
      1.25962687       -1.27276310        5184
      1.29838462       -1.32526309        5184
      1.33714237       -1.35519390        5184
      1.37590012       -1.36187937        5184
      1.41465787       -1.34502941        5184
      1.45341562       -1.30475670        5184
      1.49217337       -1.24157862        5184
      1.53093112       -1.15640439        5184
      1.56968887       -1.05050889        5184
      1.60844662       -0.92549469        5184
      1.64720437       -0.78324471        5184
      1.68596212       -0.62586760        5184
      1.72471987       -0.45563873        5184
      1.76347762       -0.27493949        5184
      1.80223537       -0.08619795        5184
      1.84099312        0.10816609        5184
      1.87975087        0.30578966        5184
      1.91850862        0.50440736        5184
      1.95726637        0.70188443        5184
      1.99602412        0.89624331        5184
      2.03478187        1.08568568        5184
      2.07353962        1.26861176        5184
      2.11229737        1.44363814        5184
      2.15105512        1.60961380        5184
      2.18981287        1.76563289        5184
      2.22857062        1.91104187        5184
      2.26732837        2.04543806        5184
      2.30608612        2.16865793        5184
      2.34484387        2.28075440        5184
      2.38360162        2.38196444        5184
      2.42235937        2.47266974        5184
      2.46111712        2.55335425        5184
      2.49987487        2.62456261        5184
      2.53863262        2.68686283        5184
      2.57739037        2.74081570        5184
      2.61614812        2.78695187        5184
      2.65490587        2.82575660        5184
      2.69366362        2.85766097        5184
      2.73242137        2.88303810        5184
      2.77117912        2.90220260        5184
      2.80993687        2.91541178        5184
      2.84869462        2.92286756        5184
      2.88745237        2.92471806        5184
      2.92621012        2.92105863        5184
      2.96496787        2.91193212        5184
      3.00372562        2.89732819        5184
      3.04248337        2.87718195        5184
      3.08124112        2.85137211        5184
      3.11999887        2.81971912        5184
      3.15875662        2.78198400        5184
      3.19751437        2.73786902        5184
      3.23627212        2.68702114        5184
      3.27502987        2.62903971        5184
      3.31378762        2.56348895        5184
      3.35254537        2.48991567        5184
      3.39130312        2.40787150        5184
      3.43006087        2.31693849        5184
      3.46881862        2.21675626        5184
      3.50757637        2.10704904        5184
      3.54633412        1.98765096        5184
      3.58509187        1.85852896        5184
      3.62384962        1.71980297        5184
      3.66260737        1.57176354        5184
      3.70136512        1.41488679        5184
      3.74012287        1.24984668        5184
      3.77888062        1.07752344        5184
      3.81763837        0.89900692        5184
      3.85639612        0.71559365        5184
      3.89515387        0.52877668        5184
      3.93391162        0.34022828        5184
      3.97266937        0.15177665        5184
      4.01142712       -0.03462156        5184
      4.05018487       -0.21691068        5184
      4.08894262       -0.39296618        5184
      4.12770037       -0.56062482        5184
      4.16645812       -0.71771567        5184
      4.20521587       -0.86209369        5184
      4.24397362       -0.99167764        5184
      4.28273137       -1.10449368        5184
      4.32148912       -1.19872450        5184
      4.36024687       -1.27276230        5184
      4.39900462       -1.32526242        5184
      4.43776237       -1.35519335        5184
      4.47652012       -1.36187895        5184
      4.51527787       -1.34502910        5184
      4.55403562       -1.30475651        5184
      4.59279337       -1.24157854        5184
      4.63155112       -1.15640441        5184
      4.67030887       -1.05050898        5184
      4.70906662       -0.92549485        5184
      4.74782436       -0.78324492        5184
      4.78658211       -0.62586785        5184
      4.82533986       -0.45563900        5184
      4.86409761       -0.27493977        5184
      4.90285536       -0.08619824        5184
      4.94161311        0.10816579        5184
      4.98037086        0.30578936        5184
      5.01912861        0.50440706        5184
      5.05788636        0.70188413        5184
      5.09664411        0.89624301        5184
      5.13540186        1.08568538        5184
      5.17415961        1.26861147        5184
      5.21291736        1.44363787        5184
      5.25167511        1.60961355        5184
      5.29043286        1.76563268        5184
      5.32919061        1.91104168        5184
      5.36794836        2.04543790        5184
      5.40670611        2.16865779        5184
      5.44546386        2.28075428        5184
      5.48422161        2.38196432        5184
      5.52297936        2.47266960        5184
      5.56173711        2.55335410        5184
      5.60049486        2.62456244        5184
      5.63925261        2.68686264        5184
      5.67801036        2.74081548        5184
      5.71676811        2.78695163        5184
      5.75552586        2.82575634        5184
      5.79428361        2.85766069        5184
      5.83304136        2.88303780        5184
      5.87179911        2.90220227        5184
      5.91055686        2.91541144        5184
      5.94931461        2.92286721        5184
      5.98807236        2.92471769        5184
      6.02683011        2.92105825        5184
      6.06558786        2.91193173        5184
      6.10434561        2.89732778        5184
      6.14310336        2.87718154        5184
      6.18186111        2.85137170        5184
