# Directional plane-averaged electrostatic potential
# direction = a+b
# method = linear
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.81748617        5184
      0.05813662        2.77964365        5184
      0.09689437        2.73540166        5184
      0.13565212        2.68441015        5184
      0.17440987        2.62627313        5184
      0.21316762        2.56056130        5184
      0.25192537        2.48682951        5184
      0.29068312        2.40463860        5184
      0.32944087        2.31358040        5184
      0.36819862        2.21330425        5184
      0.40695637        2.10354351        5184
      0.44571412        1.98414057        5184
      0.48447187        1.85506964        5184
      0.52322962        1.71645685        5184
      0.56198737        1.56859792        5184
      0.60074512        1.41197304        5184
      0.63950287        1.24725880        5184
      0.67826062        1.07533623        5184
      0.71701837        0.89729384        5184
      0.75577612        0.71442439        5184
      0.79453387        0.52821478        5184
      0.83329162        0.34032913        5184
      0.87204937        0.15258603        5184
      0.91080712       -0.03306820        5184
      0.94956487       -0.21458862        5184
      0.98832262       -0.38986163        5184
      1.02708037       -0.55673540        5184
      1.06583812       -0.71305141        5184
      1.10459587       -0.85667867        5184
      1.14335362       -0.98555192        5184
      1.18211137       -1.09771515        5184
      1.22086912       -1.19137009        5184
      1.25962687       -1.26492805        5184
      1.29838462       -1.31706211        5184
      1.33714237       -1.34675568        5184
      1.37590012       -1.35334338        5184
      1.41465787       -1.33654096        5184
      1.45341562       -1.29646167        5184
      1.49217337       -1.23361815        5184
      1.53093112       -1.14891009        5184
      1.56968887       -1.04359858        5184
      1.60844662       -0.91926900        5184
      1.64720437       -0.77778447        5184
      1.68596212       -0.62123231        5184
      1.72471987       -0.45186604        5184
      1.76347762       -0.27204577        5184
      1.80223537       -0.08417993        5184
      1.84099312        0.10932903        5184
      1.87975087        0.30613269        5184
      1.91850862        0.50397758        5184
      1.95726637        0.70073859        5184
      1.99602412        0.89444621        5184
      2.03478187        1.08330918        5184
      2.07353962        1.26573415        5184
      2.11229737        1.44034337        5184
      2.15105512        1.60599018        5184
      2.18981287        1.76177107        5184
      2.22857062        1.90703178        5184
      2.26732837        2.04136537        5184
      2.30608612        2.16460025        5184
      2.34484387        2.27677795        5184
      2.38360162        2.37812166        5184
      2.42235937        2.46899815        5184
      2.46111712        2.54987668        5184
      2.49987487        2.62128863        5184
      2.53863262        2.68379101        5184
      2.57739037        2.73793621        5184
      2.61614812        2.78424919        5184
      2.65490587        2.82321178        5184
      2.69366362        2.85525342        5184
      2.73242137        2.88074681        5184
      2.77117912        2.90000680        5184
      2.80993687        2.91329127        5184
      2.84869462        2.92080260        5184
      2.88745237        2.92268923        5184
      2.92621012        2.91904658        5184
      2.96496787        2.90991724        5184
      3.00372562        2.89529040        5184
      3.04248337        2.87510058        5184
      3.08124112        2.84922591        5184
      3.11999887        2.81748658        5184
      3.15875662        2.77964406        5184
      3.19751437        2.73540207        5184
      3.23627212        2.68441056        5184
      3.27502987        2.62627354        5184
      3.31378762        2.56056171        5184
      3.35254537        2.48682993        5184
      3.39130312        2.40463904        5184
      3.43006087        2.31358085        5184
      3.46881862        2.21330474        5184
      3.50757637        2.10354404        5184
      3.54633412        1.98414117        5184
      3.58509187        1.85507030        5184
      3.62384962        1.71645759        5184
      3.66260737        1.56859874        5184
      3.70136512        1.41197394        5184
      3.74012287        1.24725977        5184
      3.77888062        1.07533727        5184
      3.81763837        0.89729493        5184
      3.85639612        0.71442553        5184
      3.89515387        0.52821596        5184
      3.93391162        0.34033033        5184
      3.97266937        0.15258726        5184
      4.01142712       -0.03306696        5184
      4.05018487       -0.21458737        5184
      4.08894262       -0.38986038        5184
      4.12770037       -0.55673416        5184
      4.16645812       -0.71305021        5184
      4.20521587       -0.85667752        5184
      4.24397362       -0.98555083        5184
      4.28273137       -1.09771415        5184
      4.32148912       -1.19136918        5184
      4.36024687       -1.26492726        5184
      4.39900462       -1.31706144        5184
      4.43776237       -1.34675512        5184
      4.47652012       -1.35334295        5184
      4.51527787       -1.33654066        5184
      4.55403562       -1.29646148        5184
      4.59279337       -1.23361806        5184
      4.63155112       -1.14891010        5184
      4.67030887       -1.04359867        5184
      4.70906662       -0.91926915        5184
      4.74782436       -0.77778468        5184
      4.78658211       -0.62123256        5184
      4.82533986       -0.45186631        5184
      4.86409761       -0.27204605        5184
      4.90285536       -0.08418021        5184
      4.94161311        0.10932873        5184
      4.98037086        0.30613239        5184
      5.01912861        0.50397728        5184
      5.05788636        0.70073828        5184
      5.09664411        0.89444590        5184
      5.13540186        1.08330888        5184
      5.17415961        1.26573387        5184
      5.21291736        1.44034310        5184
      5.25167511        1.60598994        5184
      5.29043286        1.76177086        5184
      5.32919061        1.90703159        5184
      5.36794836        2.04136520        5184
      5.40670611        2.16460010        5184
      5.44546386        2.27677782        5184
      5.48422161        2.37812153        5184
      5.52297936        2.46899801        5184
      5.56173711        2.54987653        5184
      5.60049486        2.62128846        5184
      5.63925261        2.68379081        5184
      5.67801036        2.73793600        5184
      5.71676811        2.78424895        5184
      5.75552586        2.82321151        5184
      5.79428361        2.85525313        5184
      5.83304136        2.88074650        5184
      5.87179911        2.90000648        5184
      5.91055686        2.91329092        5184
      5.94931461        2.92080224        5184
      5.98807236        2.92268886        5184
      6.02683011        2.91904619        5184
      6.06558786        2.90991685        5184
      6.10434561        2.89529000        5184
      6.14310336        2.87510017        5184
      6.18186111        2.84922550        5184
