# Directional plane-averaged electrostatic potential
# direction = a+b
# method = nearest
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.01937887        2.81826126        5184
      0.05813662        2.78030570        5184
      0.09689437        2.73594900        5184
      0.13565212        2.68485540        5184
      0.17440987        2.62664505        5184
      0.21316762        2.56090476        5184
      0.25192537        2.48720508        5184
      0.29068312        2.40512091        5184
      0.32944087        2.31425483        5184
      0.36819862        2.21426444        5184
      0.40695637        2.10488625        5184
      0.44571412        1.98595943        5184
      0.48447187        1.85744897        5184
      0.52322962        1.71946390        5184
      0.56198737        1.57227614        5184
      0.60074512        1.41633495        5184
      0.63950287        1.25227961        5184
      0.67826062        1.08094855        5184
      0.71701837        0.90338436        5184
      0.75577612        0.72083220        5184
      0.79453387        0.53473358        5184
      0.83329162        0.34671423        5184
      0.87204937        0.15856354        5184
      0.91080712       -0.02778738        5184
      0.94956487       -0.21029299        5184
      0.98832262       -0.38682038        5184
      1.02708037       -0.55517680        5184
      1.06583812       -0.71314258        5184
      1.10459587       -0.85851015        5184
      1.14335362       -0.98913158        5184
      1.18211137       -1.10297234        5184
      1.22086912       -1.19817044        5184
      1.25962687       -1.27309130        5184
      1.29838462       -1.32638158        5184
      1.33714237       -1.35701401        5184
      1.37590012       -1.36432139        5184
      1.41465787       -1.34802459        5184
      1.45341562       -1.30824322        5184
      1.49217337       -1.24549447        5184
      1.53093112       -1.16067932        5184
      1.56968887       -1.05505382        5184
      1.60844662       -0.93019258        5184
      1.64720437       -0.78794663        5184
      1.68596212       -0.63039360        5184
      1.72471987       -0.45978933        5184
      1.76347762       -0.27851647        5184
      1.80223537       -0.08902857        5184
      1.84099312        0.10620411        5184
      1.87975087        0.30475164        5184
      1.91850862        0.50427534        5184
      1.95726637        0.70257153        5184
      1.99602412        0.89760645        5184
      2.03478187        1.08754320        5184
      2.07353962        1.27076214        5184
      2.11229737        1.44587851        5184
      2.15105512        1.61175804        5184
      2.18981287        1.76752490        5184
      2.22857062        1.91256501        5184
      2.26732837        2.04651835        5184
      2.30608612        2.16926178        5184
      2.34484387        2.28088396        5184
      2.38360162        2.38165092        5184
      2.42235937        2.47196628        5184
      2.46111712        2.55232862        5184
      2.49987487        2.62329091        5184
      2.53863262        2.68542248        5184
      2.57739037        2.73928050        5184
      2.61614812        2.78538728        5184
      2.65490587        2.82421609        5184
      2.69366362        2.85618542        5184
      2.73242137        2.88165444        5184
      2.77117912        2.90092397        5184
      2.80993687        2.91423826        5184
      2.84869462        2.92178654        5184
      2.88745237        2.92370591        5184
      2.92621012        2.92008244        5184
      2.96496787        2.91095159        5184
      3.00372562        2.89629807        5184
      3.04248337        2.87605481        5184
      3.08124112        2.85010114        5184
      3.11999887        2.81826167        5184
      3.15875662        2.78030611        5184
      3.19751437        2.73594941        5184
      3.23627212        2.68485582        5184
      3.27502987        2.62664546        5184
      3.31378762        2.56090518        5184
      3.35254537        2.48720550        5184
      3.39130312        2.40512135        5184
      3.43006087        2.31425529        5184
      3.46881862        2.21426493        5184
      3.50757637        2.10488679        5184
      3.54633412        1.98596003        5184
      3.58509187        1.85744964        5184
      3.62384962        1.71946465        5184
      3.66260737        1.57227697        5184
      3.70136512        1.41633585        5184
      3.74012287        1.25228059        5184
      3.77888062        1.08094959        5184
      3.81763837        0.90338546        5184
      3.85639612        0.72083334        5184
      3.89515387        0.53473476        5184
      3.93391162        0.34671544        5184
      3.97266937        0.15856478        5184
      4.01142712       -0.02778612        5184
      4.05018487       -0.21029171        5184
      4.08894262       -0.38681910        5184
      4.12770037       -0.55517554        5184
      4.16645812       -0.71314135        5184
      4.20521587       -0.85850897        5184
      4.24397362       -0.98913046        5184
      4.28273137       -1.10297131        5184
      4.32148912       -1.19816951        5184
      4.36024687       -1.27309049        5184
      4.39900462       -1.32638089        5184
      4.43776237       -1.35701344        5184
      4.47652012       -1.36432095        5184
      4.51527787       -1.34802427        5184
      4.55403562       -1.30824301        5184
      4.59279337       -1.24549436        5184
      4.63155112       -1.16067931        5184
      4.67030887       -1.05505390        5184
      4.70906662       -0.93019272        5184
      4.74782436       -0.78794682        5184
      4.78658211       -0.63039383        5184
      4.82533986       -0.45978959        5184
      4.86409761       -0.27851675        5184
      4.90285536       -0.08902886        5184
      4.94161311        0.10620381        5184
      4.98037086        0.30475134        5184
      5.01912861        0.50427503        5184
      5.05788636        0.70257123        5184
      5.09664411        0.89760614        5184
      5.13540186        1.08754290        5184
      5.17415961        1.27076185        5184
      5.21291736        1.44587824        5184
      5.25167511        1.61175780        5184
      5.29043286        1.76752469        5184
      5.32919061        1.91256483        5184
      5.36794836        2.04651819        5184
      5.40670611        2.16926164        5184
      5.44546386        2.28088384        5184
      5.48422161        2.38165080        5184
      5.52297936        2.47196615        5184
      5.56173711        2.55232848        5184
      5.60049486        2.62329075        5184
      5.63925261        2.68542229        5184
      5.67801036        2.73928028        5184
      5.71676811        2.78538704        5184
      5.75552586        2.82421582        5184
      5.79428361        2.85618513        5184
      5.83304136        2.88165413        5184
      5.87179911        2.90092365        5184
      5.91055686        2.91423791        5184
      5.94931461        2.92178618        5184
      5.98807236        2.92370553        5184
      6.02683011        2.92008206        5184
      6.06558786        2.91095119        5184
      6.10434561        2.89629766        5184
      6.14310336        2.87605440        5184
      6.18186111        2.85010072        5184
