# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.04143590       0.03974915       3.12461910
    0     1       0.04143590       0.11924745       3.12282468
    0     2       0.04143590       0.19874575       3.11715507
    0     3       0.04143590       0.27824404       3.10710039
    0     4       0.04143590       0.35774234       3.09150202
    0     5       0.04143590       0.43724064       3.06874447
    0     6       0.04143590       0.51673894       3.03683274
    0     7       0.04143590       0.59623724       2.99302060
    0     8       0.04143590       0.67573553       2.93373395
    0     9       0.04143590       0.75523383       2.85446760
    0    10       0.04143590       0.83473213       2.75033089
    0    11       0.04143590       0.91423043       2.61430704
    0    12       0.04143590       0.99372873       2.43773056
    0    13       0.04143590       1.07322702       2.20823658
    0    14       0.04143590       1.15272532       1.91477042
    0    15       0.04143590       1.23222362       1.53654384
    0    16       0.04143590       1.31172192       1.04483690
    0    17       0.04143590       1.39122022       0.39160760
    0    18       0.04143590       1.47071852      -0.41780018
    0    19       0.04143590       1.55021681      -1.31276922
    0    20       0.04143590       1.62971511      -2.25388274
    0    21       0.04143590       1.70921341      -3.19645566
    0    22       0.04143590       1.78871171      -4.13988294
    0    23       0.04143590       1.86821001      -5.06933818
    0    24       0.04143590       1.94770830      -5.90300148
    0    25       0.04143590       2.02720660      -6.55484030
    0    26       0.04143590       2.10670490      -6.95797107
    0    27       0.04143590       2.18620320      -7.09357185
    0    28       0.04143590       2.26570150      -6.95797253
    0    29       0.04143590       2.34519979      -6.55484336
    0    30       0.04143590       2.42469809      -5.90300600
    0    31       0.04143590       2.50419639      -5.06934354
    0    32       0.04143590       2.58369469      -4.13988836
    0    33       0.04143590       2.66319299      -3.19646055
    0    34       0.04143590       2.74269129      -2.25388750
    0    35       0.04143590       2.82218958      -1.31277385
    0    36       0.04143590       2.90168788      -0.41780465
    0    37       0.04143590       2.98118618       0.39160350
    0    38       0.04143590       3.06068448       1.04483356
    0    39       0.04143590       3.14018278       1.53654106
    0    40       0.04143590       3.21968107       1.91476817
    0    41       0.04143590       3.29917937       2.20823473
    0    42       0.04143590       3.37867767       2.43772906
    0    43       0.04143590       3.45817597       2.61430583
    0    44       0.04143590       3.53767427       2.75032992
    0    45       0.04143590       3.61717256       2.85446683
    0    46       0.04143590       3.69667086       2.93373334
    0    47       0.04143590       3.77616916       2.99302011
    0    48       0.04143590       3.85566746       3.03683236
    0    49       0.04143590       3.93516576       3.06874418
    0    50       0.04143590       4.01466405       3.09150180
    0    51       0.04143590       4.09416235       3.10710023
    0    52       0.04143590       4.17366065       3.11715497
    0    53       0.04143590       4.25315895       3.12282463
    1     0       0.12430770       0.03974915       3.09550113
    1     1       0.12430770       0.11924745       3.09416944
    1     2       0.12430770       0.19874575       3.08979502
    1     3       0.12430770       0.27824404       3.08182353
    1     4       0.12430770       0.35774234       3.06912708
    1     5       0.12430770       0.43724064       3.05022567
    1     6       0.12430770       0.51673894       3.02313788
    1     7       0.12430770       0.59623724       2.98515570
    1     8       0.12430770       0.67573553       2.93301135
    1     9       0.12430770       0.75523383       2.86221525
    1    10       0.12430770       0.83473213       2.76844184
    1    11       0.12430770       0.91423043       2.64487581
    1    12       0.12430770       0.99372873       2.48437062
    1    13       0.12430770       1.07322702       2.27532284
    1    14       0.12430770       1.15272532       2.00814093
    1    15       0.12430770       1.23222362       1.66563033
    1    16       0.12430770       1.31172192       1.22560590
    1    17       0.12430770       1.39122022       0.64836069
    1    18       0.12430770       1.47071852      -0.08201581
    1    19       0.12430770       1.55021681      -0.90563356
    1    20       0.12430770       1.62971511      -1.77768718
    1    21       0.12430770       1.70921341      -2.65566848
    1    22       0.12430770       1.78871171      -3.51695089
    1    23       0.12430770       1.86821001      -4.35533049
    1    24       0.12430770       1.94770830      -5.10824311
    1    25       0.12430770       2.02720660      -5.70229363
    1    26       0.12430770       2.10670490      -6.07907813
    1    27       0.12430770       2.18620320      -6.20689446
    1    28       0.12430770       2.26570150      -6.07907985
    1    29       0.12430770       2.34519979      -5.70229703
    1    30       0.12430770       2.42469809      -5.10824784
    1    31       0.12430770       2.50419639      -4.35533596
    1    32       0.12430770       2.58369469      -3.51695629
    1    33       0.12430770       2.66319299      -2.65567359
    1    34       0.12430770       2.74269129      -1.77769238
    1    35       0.12430770       2.82218958      -0.90563868
    1    36       0.12430770       2.90168788      -0.08202086
    1    37       0.12430770       2.98118618       0.64835605
    1    38       0.12430770       3.06068448       1.22560207
    1    39       0.12430770       3.14018278       1.66562714
    1    40       0.12430770       3.21968107       2.00813829
    1    41       0.12430770       3.29917937       2.27532061
    1    42       0.12430770       3.37867767       2.48436875
    1    43       0.12430770       3.45817597       2.64487425
    1    44       0.12430770       3.53767427       2.76844054
    1    45       0.12430770       3.61717256       2.86221417
    1    46       0.12430770       3.69667086       2.93301045
    1    47       0.12430770       3.77616916       2.98515495
    1    48       0.12430770       3.85566746       3.02313727
    1    49       0.12430770       3.93516576       3.05022518
    1    50       0.12430770       4.01466405       3.06912671
    1    51       0.12430770       4.09416235       3.08182325
    1    52       0.12430770       4.17366065       3.08979484
    1    53       0.12430770       4.25315895       3.09416935
    2     0       0.20717951       0.03974915       3.05792345
    2     1       0.20717951       0.11924745       3.05704193
    2     2       0.20717951       0.19874575       3.05416929
    2     3       0.20717951       0.27824404       3.04876755
    2     4       0.20717951       0.35774234       3.03974027
    2     5       0.20717951       0.43724064       3.02548393
    2     6       0.20717951       0.51673894       3.00412366
    2     7       0.20717951       0.59623724       2.97304545
    2     8       0.20717951       0.67573553       2.92940469
    2     9       0.20717951       0.75523383       2.86859760
    2    10       0.20717951       0.83473213       2.78689966
    2    11       0.20717951       0.91423043       2.67808567
    2    12       0.20717951       0.99372873       2.53619162
    2    13       0.20717951       1.07322702       2.35106247
    2    14       0.20717951       1.15272532       2.11345621
    2    15       0.20717951       1.23222362       1.81106789
    2    16       0.20717951       1.31172192       1.42605001
    2    17       0.20717951       1.39122022       0.93207001
    2    18       0.20717951       1.47071852       0.30001366
    2    19       0.20717951       1.55021681      -0.43383632
    2    20       0.20717951       1.62971511      -1.21829735
    2    21       0.20717951       1.70921341      -2.01613506
    2    22       0.20717951       1.78871171      -2.78700791
    2    23       0.20717951       1.86821001      -3.51940339
    2    24       0.20717951       1.94770830      -4.17914513
    2    25       0.20717951       2.02720660      -4.70235782
    2    26       0.20717951       2.10670490      -5.03743533
    2    27       0.20717951       2.18620320      -5.15273004
    2    28       0.20717951       2.26570150      -5.03743709
    2    29       0.20717951       2.34519979      -4.70236116
    2    30       0.20717951       2.42469809      -4.17914965
    2    31       0.20717951       2.50419639      -3.51940846
    2    32       0.20717951       2.58369469      -2.78701300
    2    33       0.20717951       2.66319299      -2.01614033
    2    34       0.20717951       2.74269129      -1.21830282
    2    35       0.20717951       2.82218958      -0.43384181
    2    36       0.20717951       2.90168788       0.30000817
    2    37       0.20717951       2.98118618       0.93206511
    2    38       0.20717951       3.06068448       1.42604594
    2    39       0.20717951       3.14018278       1.81106443
    2    40       0.20717951       3.21968107       2.11345329
    2    41       0.20717951       3.29917937       2.35105995
    2    42       0.20717951       3.37867767       2.53618947
    2    43       0.20717951       3.45817597       2.67808381
    2    44       0.20717951       3.53767427       2.78689809
    2    45       0.20717951       3.61717256       2.86859624
    2    46       0.20717951       3.69667086       2.92940354
    2    47       0.20717951       3.77616916       2.97304447
    2    48       0.20717951       3.85566746       3.00412284
    2    49       0.20717951       3.93516576       3.02548326
    2    50       0.20717951       4.01466405       3.03973974
    2    51       0.20717951       4.09416235       3.04876715
    2    52       0.20717951       4.17366065       3.05416903
    2    53       0.20717951       4.25315895       3.05704179
    3     0       0.29005131       0.03974915       3.00895880
    3     1       0.29005131       0.11924745       3.00871594
    3     2       0.29005131       0.19874575       3.00782074
    3     3       0.29005131       0.27824404       3.00548189
    3     4       0.29005131       0.35774234       3.00079891
    3     5       0.29005131       0.43724064       2.99205913
    3     6       0.29005131       0.51673894       2.97759583
    3     7       0.29005131       0.59623724       2.95460871
    3     8       0.29005131       0.67573553       2.92065854
    3     9       0.29005131       0.75523383       2.87149376
    3    10       0.29005131       0.83473213       2.80336652
    3    11       0.29005131       0.91423043       2.71109157
    3    12       0.29005131       0.99372873       2.58899974
    3    13       0.29005131       1.07322702       2.42993233
    3    14       0.29005131       1.15272532       2.22452586
    3    15       0.29005131       1.23222362       1.96446457
    3    16       0.29005131       1.31172192       1.63518593
    3    17       0.29005131       1.39122022       1.22162763
    3    18       0.29005131       1.47071852       0.69720548
    3    19       0.29005131       1.55021681       0.06946372
    3    20       0.29005131       1.62971511      -0.61313410
    3    21       0.29005131       1.70921341      -1.31529959
    3    22       0.29005131       1.78871171      -1.99627768
    3    23       0.29005131       1.86821001      -2.62265097
    3    24       0.29005131       1.94770830      -3.17550590
    3    25       0.29005131       2.02720660      -3.61770985
    3    26       0.29005131       2.10670490      -3.90350684
    3    27       0.29005131       2.18620320      -4.00213320
    3    28       0.29005131       2.26570150      -3.90350844
    3    29       0.29005131       2.34519979      -3.61771283
    3    30       0.29005131       2.42469809      -3.17550986
    3    31       0.29005131       2.50419639      -2.62265547
    3    32       0.29005131       2.58369469      -1.99628261
    3    33       0.29005131       2.66319299      -1.31530498
    3    34       0.29005131       2.74269129      -0.61313971
    3    35       0.29005131       2.82218958       0.06945793
    3    36       0.29005131       2.90168788       0.69719984
    3    37       0.29005131       2.98118618       1.22162277
    3    38       0.29005131       3.06068448       1.63518179
    3    39       0.29005131       3.14018278       1.96446100
    3    40       0.29005131       3.21968107       2.22452276
    3    41       0.29005131       3.29917937       2.42992960
    3    42       0.29005131       3.37867767       2.58899735
    3    43       0.29005131       3.45817597       2.71108948
    3    44       0.29005131       3.53767427       2.80336470
    3    45       0.29005131       3.61717256       2.87149216
