# Directional plane-averaged electrostatic potential
# direction = a-b
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.20877056       64649
      0.06099981       -2.84276467       64267
      0.10166636       -2.27069984       64184
      0.14233290        0.16624733       64400
      0.18299944       -1.48589301       63483
      0.22366599       -3.20898829       64168
      0.26433253       -2.40408727       63896
      0.30499907        0.20834452       64690
      0.34566561       -1.44730401       63264
      0.38633216       -2.95712195       63403
      0.42699870       -2.02305680       63032
      0.46766524        0.39866823       64017
      0.50833179       -0.94800704       62426
      0.54899833       -2.20246201       62440
      0.58966487       -1.23135356       62168
      0.63033141        0.93824347       63826
      0.67099796       -0.25874033       62400
      0.71166450       -1.14462064       61675
      0.75233104       -0.27612448       61304
      0.79299758        1.43975470       63153
      0.83366413        0.61173703       61850
      0.87433067       -0.01702587       60424
      0.91499721        0.74012971       60864
      0.95566376        2.00963110       62538
      0.99633030        1.40058058       61975
      1.03699684        1.03620803       59508
      1.07766338        1.60504108       60371
      1.11832993        2.43341379       61494
      1.15899647        2.09985722       61138
      1.19966301        1.87049511       58544
      1.24032956        2.27426407       60000
      1.28099610        2.76164250       60810
      1.32166264        2.57305265       60535
      1.36232918        2.43555199       58356
      1.40299573        2.68430107       59507
      1.44366227        2.97813477       59766
      1.48432881        2.88247461       59410
      1.52499536        2.78625585       57680
      1.56566190        2.94577613       59136
      1.60632844        3.12171982       59082
      1.64699498        3.05829060       58807
      1.68766153        2.98773816       58218
      1.72832807        3.06982333       57917
      1.76899461        3.18639271       58038
      1.80966115        3.13975173       57682
      1.85032770        3.06199967       58036
      1.89099424        3.10017216       57052
      1.93166078        3.19191488       57354
      1.97232733        3.13121975       57079
      2.01299387        3.02089632       57944
      2.05366041        3.02790954       56463
      2.09432695        3.12321577       56310
      2.13499350        3.03621306       55954
      2.17566004        2.86336323       57283
      2.21632658        2.85488938       56077
      2.25699313        2.99299520       55626
      2.29765967        2.83845092       55351
      2.33832621        2.56513563       57080
      2.37899275        2.53944807       55778
      2.41965930        2.75925468       54403
      2.46032584        2.51239507       54253
      2.50099238        2.07587245       56392
      2.54165893        2.03204615       55707
      2.58232547        2.46182015       53404
      2.62299201        1.99095565       54295
      2.66365855        1.30741113       55544
      2.70432510        1.24342077       55202
      2.74499164        1.99665065       52387
      2.78565818        1.24751807       53457
      2.82632472        0.23944439       54596
      2.86699127        0.22411560       54336
      2.90765781        1.53917656       52183
      2.94832435        0.31888200       53431
      2.98899090       -0.96595667       53816
      3.02965744       -0.84059029       53474
      3.07032398        0.94355501       51523
      3.11099052       -0.54948695       52593
      3.15165707       -2.09610445       52868
      3.19232361       -1.75004917       52608
      3.23299015        0.58417323       51607
      3.27365670       -1.28514343       52279
      3.31432324       -2.91069890       52088
      3.35498978       -2.38420067       52322
      3.39565632        0.06438313       52126
      3.43632287       -1.57778439       51414
      3.47698941       -3.35685538       52868
      3.51765595       -2.60925740       53184
      3.55832250        0.08265031       53047
      3.59898904       -1.65804512       51991
      3.63965558       -3.18718667       53816
      3.68032212       -2.32384776       54050
      3.72098867        0.22895402       53251
      3.76165521       -1.21469797       52017
      3.80232175       -2.45427815       54596
      3.84298829       -1.53454778       54912
      3.88365484        0.80753967       53911
      3.92432138       -0.55863588       52883
      3.96498792       -1.35204456       55516
      4.00565447       -0.52810621       55778
      4.04632101        1.33317068       54115
      4.08698755        0.37894936       53430
      4.12765409       -0.16568121       55775
      4.16832064        0.58144795       56653
      4.20898718        1.94582099       54762
      4.24965372        1.24122297       55063
      4.29032027        0.94383436       55928
      4.33098681        1.51964442       57039
      4.37165335        2.38296938       55446
      4.41231989        2.01853405       55666
      4.45298644        1.82580418       56131
      4.49365298        2.23562536       57517
      4.53431952        2.73805466       56490
      4.57498607        2.53411077       56791
      4.61565261        2.41604619       56792
      4.65631915        2.66882599       57903
      4.69698569        2.96643881       57174
      4.73765224        2.87080729       57394
      4.77831878        2.78296424       57283
      4.81898532        2.93976334       58093
      4.85965186        3.12014035       58218
      4.90031841        3.05694553       58519
      4.94098495        2.99082776       58644
      4.98165149        3.06868275       57779
      5.02231804        3.18834123       58902
      5.06298458        3.14525239       59122
      5.10365112        3.06607560       59120
      5.14431766        3.10442306       57984
      5.18498421        3.19821225       59946
      5.22565075        3.13989547       60247
      5.26631729        3.02892061       59796
      5.30698384        3.03687061       58355
      5.34765038        3.13327662       60630
      5.38831692        3.05430239       60850
      5.42898346        2.87543300       59984
      5.46965001        2.87516567       58848
      5.51031655        3.01229875       61674
      5.55098309        2.86782991       61975
      5.59164964        2.58739715       60660
      5.63231618        2.57468295       59617
      5.67298272        2.79330724       61960
      5.71364926        2.56835977       62578
      5.75431581        2.10896194       60848
      5.79498235        2.09609311       60878
      5.83564889        2.51654022       62236
      5.87631544        2.07236610       63552
      5.91698198        1.37032659       61675
      5.95764852        1.34540913       61880
      5.99831506        2.07647759       62289
      6.03898161        1.35979428       63578
      6.07964815        0.33750928       62440
      6.12031469        0.35644322       62744
      6.16098123        1.63614050       62962
      6.20164778        0.43935388       64416
      6.24231432       -0.85298958       63403
      6.28298086       -0.70893270       63608
      6.32364741        1.02895784       63304
      6.36431395       -0.45559138       64291
      6.40498049       -2.01327852       64168
      6.44564703       -1.65870000       64184
      6.48631358        0.63384723       63881
