# Directional plane-averaged electrostatic potential
# direction = a+b
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -0.87975180       51758
      0.06099981       -2.86820504       52458
      0.10166636       -2.59453335       52692
      0.14233290       -0.15254316       52799
      0.18299944       -1.23375792       51195
      0.22366599       -3.34505508       53128
      0.26433253       -2.90939275       53390
      0.30499907       -0.13569189       53115
      0.34566561       -1.28663961       51991
      0.38633216       -3.17862364       54186
      0.42699870       -2.54520213       54420
      0.46766524        0.06344934       53663
      0.50833179       -0.94410262       52059
      0.54899833       -2.45922453       54856
      0.58966487       -1.77633653       55118
      0.63033141        0.65621124       53979
      0.67099796       -0.27600474       53143
      0.71166450       -1.35977651       55626
      0.75233104       -0.66304387       56148
      0.79299758        1.23352015       54527
      0.83366413        0.56906876       53980
      0.87433067       -0.17986561       55527
      0.91499721        0.45316567       56722
      0.95566376        1.87810595       54967
      0.99633030        1.38958550       55310
      1.03699684        0.95770952       56051
      1.07766338        1.46955505       57437
      1.11832993        2.34452534       55830
      1.15899647        2.09928166       55996
      1.19966301        1.83311125       56103
      1.24032956        2.18313538       57586
      1.28099610        2.72387223       56695
      1.32166264        2.58891225       57038
      1.36232918        2.42736508       56916
      1.40299573        2.64954854       58300
      1.44366227        2.95699179       57558
      1.48432881        2.89969478       57724
      1.52499536        2.79137867       57489
      1.56566190        2.91649209       57928
      1.60632844        3.11605258       58423
      1.64699498        3.07787369       58766
      1.68766153        3.00044784       59206
      1.72832807        3.05795789       57738
      1.76899461        3.18406517       59286
      1.80966115        3.15744854       59452
      1.85032770        3.07147351       59285
      1.89099424        3.08963925       57860
      1.93166078        3.19249002       60151
      1.97232733        3.15455639       60494
      2.01299387        3.03589755       60084
      2.05366041        3.02762599       58588
      2.09432695        3.12599006       61014
      2.13499350        3.06816692       61180
      2.17566004        2.88290466       60149
      2.21632658        2.85059099       58999
      2.25699313        2.99809336       61604
      2.29765967        2.89729004       62222
      2.33832621        2.60012729       60948
      2.37899275        2.55231209       60249
      2.41965930        2.77516229       61945
      2.46032584        2.60498708       62935
      2.50099238        2.12496381       60986
      2.54165893        2.04001020       61221
      2.58232547        2.47499113       61974
      2.62299201        2.15436235       63798
      2.66365855        1.39802091       61964
      2.70432510        1.28609299       62265
      2.74499164        2.02290049       62521
      2.78565818        1.46684842       63867
      2.82632472        0.37294560       62646
      2.86699127        0.24039802       62949
      2.90765781        1.53137628       62838
      2.94832435        0.63565102       64662
      2.98899090       -0.80300909       63692
      3.02965744       -0.83483696       63993
      3.07032398        0.87963725       63756
      3.11099052       -0.19608445       64360
      3.15165707       -1.94140863       64086
      3.19232361       -1.83990566       64101
      3.23299015        0.43787587       63990
      3.27365670       -0.83230730       64374
      3.31432324       -2.76530880       64268
      3.35498978       -2.44200501       64281
      3.39565632       -0.00958503       64564
      3.43632287       -1.12872134       63552
      3.47698941       -3.13917038       63798
      3.51765595       -2.63228857       63525
      3.55832250        0.04897662       64278
      3.59898904       -1.06516844       63222
      3.63965558       -2.89617863       63116
      3.68032212       -2.20728875       62841
      3.72098867        0.26760128       63961
      3.76165521       -0.64074571       62427
      3.80232175       -2.16983238       62070
      3.84298829       -1.44599334       61797
      3.88365484        0.83279053       63414
      3.92432138        0.00376284       62386
      3.96498792       -1.11833202       61360
      4.00565447       -0.41783093       61113
      4.04632101        1.35817726       63097
      4.08698755        0.80131280       62112
      4.12765409       -0.01554106       59793
      4.16832064        0.60469103       60452
      4.20898718        1.96608565       62167
      4.24965372        1.52941932       61934
      4.29032027        1.05143904       59220
      4.33098681        1.54275109       60316
      4.37165335        2.39765385       61302
      4.41231989        2.17468016       60892
      4.45298644        1.88126772       58421
      4.49365298        2.21726996       59588
      4.53431952        2.74961593       60439
      4.57498607        2.61789869       60206
      4.61565261        2.44710624       58356
      4.65631915        2.65972581       59452
      4.69698569        2.96639141       59574
      4.73765224        2.90877959       59164
      4.77831878        2.79447138       57845
      4.81898532        2.92016900       58436
      4.85965186        3.11667647       58711
      4.90031841        3.07550784       58478
      4.94098495        2.99500088       58355
      4.98165149        3.05804386       57725
      5.02231804        3.17996373       57846
      5.06298458        3.15174344       57436
      5.10365112        3.06393735       57831
      5.14431766        3.08547227       56722
      5.18498421        3.18549327       56983
      5.22565075        3.14320585       56750
      5.26631729        3.02637059       57779
      5.30698384        3.01697283       56573
      5.34765038        3.11267226       56118
      5.38831692        3.05221848       55708
      5.42898346        2.86505885       56967
      5.46965001        2.83015323       55858
      5.51031655        2.97660158       55255
      5.55098309        2.86581404       55022
      5.59164964        2.57436746       56915
      5.63231618        2.51365078       56107
      5.67298272        2.73579694       53992
      5.71364926        2.55586121       54075
      5.75431581        2.08111344       56008
      5.79498235        1.97629876       55556
      5.83564889        2.41313153       52965
      5.87631544        2.07887961       54007
      5.91698198        1.32637191       55338
      5.95764852        1.18232414       54996
      5.99831506        1.93276832       52511
      6.03898161        1.37100808       53211
      6.07964815        0.26522043       54280
      6.12031469        0.10949523       53966
      6.16098123        1.43047987       51963
      6.20164778        0.53867629       53143
      6.24231432       -0.90952431       53610
      6.28298086       -0.94809282       53268
      6.32364741        0.83930317       51798
      6.36431395       -0.29456723       52196
      6.40498049       -2.02834176       52552
      6.44564703       -1.93722566       52238
      6.48631358        0.39528116       51620
