# X-direction plane-averaged electrostatic potential
# ix   x(Angstrom)   V_avg(eV)
     0        0.00000000        0.13207040
     1        0.07732550       -0.08403644
     2        0.15465099       -0.24383237
     3        0.23197649       -0.33562050
     4        0.30930199       -0.35223855
     5        0.38662748       -0.29208006
     6        0.46395298       -0.15940562
     7        0.54127848        0.03657867
     8        0.61860397        0.28234917
     9        0.69592947        0.56227574
    10        0.77325497        0.86037133
    11        0.85058046        1.16204415
    12        0.92790596        1.45337506
    13        1.00523145        1.72299244
    14        1.08255695        1.96026833
    15        1.15988245        2.15620441
    16        1.23720794        2.30679886
    17        1.31453344        2.40797224
    18        1.39185894        2.46071103
    19        1.46918443        2.46901204
    20        1.54650993        2.43301627
    21        1.62383543        2.35033837
    22        1.70116092        2.21939631
    23        1.77848642        2.04198900
    24        1.85581192        1.81959617
    25        1.93313741        1.55973533
    26        2.01046291        1.27451337
    27        2.08778841        0.97525504
    28        2.16511390        0.67601145
    29        2.24243940        0.39047559
    30        2.31976490        0.13236689
    31        2.39709039       -0.08369473
    32        2.47441589       -0.24346872
    33        2.55174138       -0.33525921
    34        2.62906688       -0.35190088
    35        2.70639238       -0.29178355
    36        2.78371787       -0.15916711
    37        2.86104337        0.03674552
    38        2.93836887        0.28244123
    39        3.01569436        0.56230282
    40        3.09301986        0.86035224
    41        3.17034536        1.16199094
    42        3.24767085        1.45328832
    43        3.32499635        1.72286970
    44        3.40232185        1.96012087
    45        3.47964734        2.15605356
    46        3.55697284        2.30667492
    47        3.63429834        2.40789163
    48        3.71162383        2.46066337
    49        3.78894933        2.46898810
    50        3.86627483        2.43301757
    51        3.94360032        2.35036704
    52        4.02092582        2.21944018
    53        4.09825132        2.04201980
    54        4.17557681        1.81958344
    55        4.25290231        1.55967413
    56        4.33022780        1.27440913
    57        4.40755330        0.97511074
    58        4.48487880        0.67582542
    59        4.56220429        0.39023560
