# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    0     0       0.03866275       0.03801609      -7.62331369
    0     1       0.03866275       0.11404828      -7.50451301
    0     2       0.03866275       0.19008047      -7.15568486
    0     3       0.03866275       0.26611265      -6.60053584
    0     4       0.03866275       0.34214484      -5.88034288
    0     5       0.03866275       0.41817703      -5.04982951
    0     6       0.03866275       0.49420922      -4.15730836
    0     7       0.03866275       0.57024140      -3.23236730
    0     8       0.03866275       0.64627359      -2.29674010
    0     9       0.03866275       0.72230578      -1.37147755
    0    10       0.03866275       0.79833796      -0.48797603
    0    11       0.03866275       0.87437015       0.29796833
    0    12       0.03866275       0.95040234       0.93940281
    0    13       0.03866275       1.02643453       1.44152027
    0    14       0.03866275       1.10246671       1.83883717
    0    15       0.03866275       1.17849890       2.15911561
    0    16       0.03866275       1.25453109       2.41813029
    0    17       0.03866275       1.33056327       2.62521335
    0    18       0.03866275       1.40659546       2.79046796
    0    19       0.03866275       1.48262765       2.92244990
    0    20       0.03866275       1.55865984       3.02731109
    0    21       0.03866275       1.63469202       3.10996988
    0    22       0.03866275       1.71072421       3.17420760
    0    23       0.03866275       1.78675640       3.22401447
    0    24       0.03866275       1.86278858       3.26209462
    0    25       0.03866275       1.93882077       3.29071513
    0    26       0.03866275       2.01485296       3.31176285
    0    27       0.03866275       2.09088515       3.32667901
    0    28       0.03866275       2.16691733       3.33660078
    0    29       0.03866275       2.24294952       3.34219174
    0    30       0.03866275       2.31898171       3.34401559
    0    31       0.03866275       2.39501389       3.34219092
    0    32       0.03866275       2.47104608       3.33659915
    0    33       0.03866275       2.54707827       3.32667660
    0    34       0.03866275       2.62311046       3.31175968
    0    35       0.03866275       2.69914264       3.29071127
    0    36       0.03866275       2.77517483       3.26209011
    0    37       0.03866275       2.85120702       3.22400937
    0    38       0.03866275       2.92723920       3.17420196
    0    39       0.03866275       3.00327139       3.10996380
    0    40       0.03866275       3.07930358       3.02730454
    0    41       0.03866275       3.15533577       2.92244298
    0    42       0.03866275       3.23136795       2.79046062
    0    43       0.03866275       3.30740014       2.62520566
    0    44       0.03866275       3.38343233       2.41812218
    0    45       0.03866275       3.45946451       2.15910698
    0    46       0.03866275       3.53549670       1.83882820
    0    47       0.03866275       3.61152889       1.44151101
    0    48       0.03866275       3.68756108       0.93939371
    0    49       0.03866275       3.76359326       0.29795702
    0    50       0.03866275       3.83962545      -0.48799093
    0    51       0.03866275       3.91565764      -1.37149344
    0    52       0.03866275       3.99168982      -2.29675634
    0    53       0.03866275       4.06772201      -3.23238296
    0    54       0.03866275       4.14375420      -4.15732136
    0    55       0.03866275       4.21978639      -5.04984029
    0    56       0.03866275       4.29581857      -5.88035250
    0    57       0.03866275       4.37185076      -6.60054430
    0    58       0.03866275       4.44788295      -7.15569147
    0    59       0.03866275       4.52391513      -7.50451669
    1     0       0.11598824       0.03801609      -8.42131212
    1     1       0.11598824       0.11404828      -8.29315807
    1     2       0.11598824       0.19008047      -7.91507431
    1     3       0.11598824       0.26611265      -7.31079822
    1     4       0.11598824       0.34214484      -6.52414505
    1     5       0.11598824       0.41817703      -5.61653766
    1     6       0.11598824       0.49420922      -4.65178515
    1     7       0.11598824       0.57024140      -3.66852700
    1     8       0.11598824       0.64627359      -2.67939997
    1     9       0.11598824       0.72230578      -1.70200368
    1    10       0.11598824       0.79833796      -0.76551682
    1    11       0.11598824       0.87437015       0.08430849
    1    12       0.11598824       0.95040234       0.78699363
    1    13       0.11598824       1.02643453       1.33144001
    1    14       0.11598824       1.10246671       1.75735510
    1    15       0.11598824       1.17849890       2.09821611
    1    16       0.11598824       1.25453109       2.37320089
    1    17       0.11598824       1.33056327       2.59283708
    1    18       0.11598824       1.40659546       2.76732489
    1    19       0.11598824       1.48262765       2.90662857
    1    20       0.11598824       1.55865984       3.01737924
    1    21       0.11598824       1.63469202       3.10494408
    1    22       0.11598824       1.71072421       3.17305243
    1    23       0.11598824       1.78675640       3.22590969
    1    24       0.11598824       1.86278858       3.26650314
    1    25       0.11598824       1.93882077       3.29724225
    1    26       0.11598824       2.01485296       3.31991880
    1    27       0.11598824       2.09088515       3.33604338
    1    28       0.11598824       2.16691733       3.34684288
    1    29       0.11598824       2.24294952       3.35297247
    1    30       0.11598824       2.31898171       3.35504615
    1    31       0.11598824       2.39501389       3.35297168
    1    32       0.11598824       2.47104608       3.34684131
    1    33       0.11598824       2.54707827       3.33604106
    1    34       0.11598824       2.62311046       3.31991577
    1    35       0.11598824       2.69914264       3.29723856
    1    36       0.11598824       2.77517483       3.26649884
    1    37       0.11598824       2.85120702       3.22590485
    1    38       0.11598824       2.92723920       3.17304710
    1    39       0.11598824       3.00327139       3.10493835
    1    40       0.11598824       3.07930358       3.01737308
    1    41       0.11598824       3.15533577       2.90662208
    1    42       0.11598824       3.23136795       2.76731798
