# Y-direction plane-averaged electrostatic potential
# iy   y(Angstrom)   V_avg(eV)
     0        0.00000000       -0.36486470
     1        0.07603219       -0.32642296
     2        0.15206437       -0.21310188
     3        0.22809656       -0.03228629
     4        0.30412875        0.20332935
     5        0.38016094        0.47653769
     6        0.45619312        0.76969965
     7        0.53222531        1.06835811
     8        0.60825750        1.36255831
     9        0.68428968        1.64293603
    10        0.76032187        1.89638994
    11        0.83635406        2.11084405
    12        0.91238625        2.27516025
    13        0.98841843        2.38619214
    14        1.06445062        2.44998181
    15        1.14048281        2.47085429
    16        1.21651499        2.44998631
    17        1.29254718        2.38620108
    18        1.36857937        2.27517354
    19        1.44461156        2.11086152
    20        1.52064374        1.89641139
    21        1.59667593        1.64296123
    22        1.67270812        1.36258697
    23        1.74874030        1.06838993
    24        1.82477249        0.76973430
    25        1.90080468        0.47657482
    26        1.97683687        0.20336859
    27        2.05286905       -0.03224532
    28        2.12890124       -0.21305960
    29        2.20493343       -0.32637984
    30        2.28096561       -0.36482122
    31        2.35699780       -0.32638190
    32        2.43302999       -0.21306359
    33        2.50906218       -0.03225095
    34        2.58509436        0.20336174
    35        2.66112655        0.47656720
    36        2.73715874        0.76972625
    37        2.81319092        1.06838165
    38        2.88922311        1.36257852
    39        2.96525530        1.64295285
    40        3.04128749        1.89640326
    41        3.11731967        2.11085384
    42        3.19335186        2.27516654
    43        3.26938405        2.38619449
    44        3.34541623        2.44997979
    45        3.42144842        2.47084771
    46        3.49748061        2.44997501
    47        3.57351280        2.38618499
    48        3.64954498        2.27515246
    49        3.72557717        2.11083538
    50        3.80160936        1.89638067
    51        3.87764154        1.64292644
    52        3.95367373        1.36254862
    53        4.02970592        1.06834861
    54        4.10573811        0.76969047
    55        4.18177029        0.47652907
    56        4.25780248        0.20332166
    57        4.33383467       -0.03229256
    58        4.40986685       -0.21310630
    59        4.48589904       -0.32642524
