# Directional plane-averaged electrostatic potential
# direction = a-b
# method = bin
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.20438918       64649
      0.06099981       -1.32372386       64267
      0.10166636       -1.42040338       64184
      0.14233290       -1.49280712       64400
      0.18299944       -1.53974258       63483
      0.22366599       -1.56059657       64168
      0.26433253       -1.55524427       63896
      0.30499907       -1.52398568       64690
      0.34566561       -1.46747828       63264
      0.38633216       -1.38682232       63403
      0.42699870       -1.28346325       63032
      0.46766524       -1.15917548       64017
      0.50833179       -1.01600687       62426
      0.54899833       -0.85632925       62440
      0.58966487       -0.68264834       62168
      0.63033141       -0.49746571       63826
      0.67099796       -0.30315841       62400
      0.71166450       -0.10208313       61675
      0.75233104        0.10350782       61304
      0.79299758        0.31146230       63153
      0.83366413        0.51974007       61850
      0.87433067        0.72629244       60424
      0.91499721        0.92917508       60864
      0.95566376        1.12663726       62538
      0.99633030        1.31718738       61975
      1.03699684        1.49947925       59508
      1.07766338        1.67239280       60371
      1.11832993        1.83506341       61494
      1.15899647        1.98689863       61138
      1.19966301        2.12747077       58544
      1.24032956        2.25659160       60000
      1.28099610        2.37434160       60810
      1.32166264        2.48105367       60535
      1.36232918        2.57715871       58356
      1.40299573        2.66318796       59507
      1.44366227        2.73973309       59766
      1.48432881        2.80740337       59410
      1.52499536        2.86671724       57680
      1.56566190        2.91813999       59136
      1.60632844        2.96210555       59082
      1.64699498        2.99901868       58807
      1.68766153        3.02919393       58218
      1.72832807        3.05289416       57917
      1.76899461        3.07034133       58038
      1.80966115        3.08171096       57682
      1.85032770        3.08709055       58036
      1.89099424        3.08651509       57052
      1.93166078        3.07999038       57354
      1.97232733        3.06749143       57079
      2.01299387        3.04891676       57944
      2.05366041        3.02411093       56463
      2.09432695        2.99286851       56310
      2.13499350        2.95492696       55954
      2.17566004        2.90991271       57283
      2.21632658        2.85738669       56077
      2.25699313        2.79686768       55626
      2.29765967        2.72784260       55351
      2.33832621        2.64969030       57080
      2.37899275        2.56175483       55778
      2.41965930        2.46336573       54403
      2.46032584        2.35387683       54253
      2.50099238        2.23262814       56392
      2.54165893        2.09911455       55707
      2.58232547        1.95308405       53404
      2.62299201        1.79461796       54295
      2.66365855        1.62405678       55544
      2.70432510        1.44212645       55202
      2.74499164        1.24991803       52387
      2.78565818        1.04885608       53457
      2.82632472        0.84055567       54596
      2.86699127        0.62690689       54336
      2.90765781        0.41007222       52183
      2.94832435        0.19243613       53431
      2.98899090       -0.02359367       53816
      3.02965744       -0.23557227       53474
      3.07032398       -0.44112121       51523
      3.11099052       -0.63800889       52593
      3.15165707       -0.82427272       52868
      3.19232361       -0.99805157       52608
      3.23299015       -1.15748490       51607
      3.27365670       -1.30063940       52279
      3.31432324       -1.42561725       52088
      3.35498978       -1.53050794       52322
      3.39565632       -1.61351282       52126
      3.43632287       -1.67305051       51414
      3.47698941       -1.70795299       52868
      3.51765595       -1.71739967       53184
      3.55832250       -1.70091782       53047
      3.59898904       -1.65836891       51991
      3.63965558       -1.59011546       53816
      3.68032212       -1.49697950       54050
      3.72098867       -1.38028371       53251
      3.76165521       -1.24180930       52017
      3.80232175       -1.08384130       54596
      3.84298829       -0.90894167       54912
      3.88365484       -0.71977773       53911
      3.92432138       -0.51896701       52883
      3.96498792       -0.30916669       55516
      4.00565447       -0.09297533       55778
      4.04632101        0.12706802       54115
      4.08698755        0.34851397       53430
      4.12765409        0.56890481       55775
      4.16832064        0.78591308       56653
      4.20898718        0.99745346       54762
      4.24965372        1.20176577       55063
      4.29032027        1.39729343       55928
      4.33098681        1.58276032       57039
      4.37165335        1.75718261       55446
      4.41231989        1.91988476       55666
      4.45298644        2.07037831       56131
      4.49365298        2.20844636       57517
      4.53431952        2.33416851       56490
      4.57498607        2.44791304       56791
      4.61565261        2.55016165       56792
      4.65631915        2.64151784       57903
      4.69698569        2.72264785       57174
      4.73765224        2.79424207       57394
      4.77831878        2.85689208       57283
      4.81898532        2.91113944       58093
      4.85965186        2.95749101       58218
      4.90031841        2.99642711       58519
      4.94098495        3.02833205       58644
      4.98165149        3.05353881       57779
      5.02231804        3.07233396       58902
      5.06298458        3.08495321       59122
      5.10365112        3.09153824       59120
      5.14431766        3.09217464       57984
      5.18498421        3.08691641       59946
      5.22565075        3.07578379       60247
      5.26631729        3.05871877       59796
      5.30698384        3.03560685       58355
      5.34765038        3.00628253       60630
      5.38831692        2.97051978       60850
      5.42898346        2.92798157       59984
      5.46965001        2.87826325       58848
      5.51031655        2.82091766       61674
      5.55098309        2.75546141       61975
      5.59164964        2.68129970       60660
      5.63231618        2.59779479       59617
      5.67298272        2.50428500       61960
      5.71364926        2.40011764       62578
      5.75431581        2.28460841       60848
      5.79498235        2.15720057       60878
      5.83564889        2.01755711       62236
      5.87631544        1.86563299       63552
      5.91698198        1.70160107       61675
      5.95764852        1.52597800       61880
      5.99831506        1.33961583       62289
      6.03898161        1.14368311       63578
      6.07964815        0.93954589       62440
      6.12031469        0.72888020       62744
      6.16098123        0.51370144       62962
      6.20164778        0.29634583       64416
      6.24231432        0.07931203       63403
      6.28298086       -0.13470892       63608
      6.32364741       -0.34292739       63304
      6.36431395       -0.54256486       64291
      6.40498049       -0.73101516       64168
      6.44564703       -0.90576121       64184
      6.48631358       -1.06434700       63881
