# Directional plane-averaged electrostatic potential
# direction = a-b
# method = cubic
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.27708359        5184
      0.06099981       -1.40638361        5184
      0.10166636       -1.51342682        5184
      0.14233290       -1.59636915        5184
      0.18299944       -1.65373814        5184
      0.22366599       -1.68448364        5184
      0.26433253       -1.68801511        5184
      0.30499907       -1.66422431        5184
      0.34566561       -1.61349245        5184
      0.38633216       -1.53668110        5184
      0.42699870       -1.43510613        5184
      0.46766524       -1.31049473        5184
      0.50833179       -1.16492650        5184
      0.54899833       -1.00076187        5184
      0.58966487       -0.82056230        5184
      0.63033141       -0.62700898        5184
      0.67099796       -0.42282686        5184
      0.71166450       -0.21072018        5184
      0.75233104        0.00667643        5184
      0.79299758        0.22683070        5184
      0.83366413        0.44733230        5184
      0.87433067        0.66590524        5184
      0.91499721        0.88042026        5184
      0.95566376        1.08891363        5184
      0.99633030        1.28961558        5184
      1.03699684        1.48098739        5184
      1.07766338        1.66176166        5184
      1.11832993        1.83097762        5184
      1.15899647        1.98800275        5184
      1.19966301        2.13253369        5184
      1.24032956        2.26457373        5184
      1.28099610        2.38438847        5184
      1.32166264        2.49244584        5184
      1.36232918        2.58934918        5184
      1.40299573        2.67577247        5184
      1.44366227        2.75240526        5184
      1.48432881        2.81991154        5184
      1.52499536        2.87890347        5184
      1.56566190        2.92992799        5184
      1.60632844        2.97346271        5184
      1.64699498        3.00991750        5184
      1.68766153        3.03963838        5184
      1.72832807        3.06291200        5184
      1.76899461        3.07996932        5184
      1.80966115        3.09098842        5184
      1.85032770        3.09609617        5184
      1.89099424        3.09536913        5184
      1.93166078        3.08883351        5184
      1.97232733        3.07646450        5184
      2.01299387        3.05818480        5184
      2.05366041        3.03386246        5184
      2.09432695        3.00330802        5184
      2.13499350        2.96627106        5184
      2.17566004        2.92243640        5184
      2.21632658        2.87142040        5184
      2.25699313        2.81276852        5184
      2.29765967        2.74595578        5184
      2.33832621        2.67039246        5184
      2.37899275        2.58543764        5184
      2.41965930        2.49042329        5184
      2.46032584        2.38469023        5184
      2.50099238        2.26763586        5184
      2.54165893        2.13877110        5184
      2.58232547        1.99778135        5184
      2.62299201        1.84458472        5184
      2.66365855        1.67937983        5184
      2.70432510        1.50267680        5184
      2.74499164        1.31530801        5184
      2.78565818        1.11841840        5184
      2.82632472        0.91343963        5184
      2.86699127        0.70205444        5184
      2.90765781        0.48615858        5184
      2.94832435        0.26782665        5184
      2.98899090        0.04928498        5184
      3.02965744       -0.16710847        5184
      3.07032398       -0.37888079        5184
      3.11099052       -0.58346289        5184
      3.15165707       -0.77821627        5184
      3.19232361       -0.96047231        5184
      3.23299015       -1.12758549        5184
      3.27365670       -1.27699895        5184
      3.31432324       -1.40631791        5184
      3.35498978       -1.51338530        5184
      3.39565632       -1.59635337        5184
      3.43632287       -1.65374687        5184
      3.47698941       -1.68451408        5184
      3.51765595       -1.68806410        5184
      3.55832250       -1.66428917        5184
      3.59898904       -1.61357136        5184
      3.63965558       -1.53677305        5184
      3.68032212       -1.43521044        5184
      3.72098867       -1.31061028        5184
      3.76165521       -1.16505088        5184
      3.80232175       -1.00089067        5184
      3.84298829       -0.82068887        5184
      3.88365484       -0.62712493        5184
      3.92432138       -0.42292335        5184
      3.96498792       -0.21078981        5184
      4.00565447        0.00663771        5184
      4.04632101        0.22682237        5184
      4.08698755        0.44734928        5184
      4.12765409        0.66593919        5184
      4.16832064        0.88046183        5184
      4.20898718        1.08895483        5184
      4.24965372        1.28965140        5184
      4.29032027        1.48101619        5184
      4.33098681        1.66178446        5184
      4.37165335        1.83099677        5184
      4.41231989        1.98802058        5184
      4.45298644        2.13255169        5184
      4.49365298        2.26459236        5184
      4.53431952        2.38440740        5184
      4.57498607        2.49246440        5184
      4.61565261        2.58936670        5184
      4.65631915        2.67578849        5184
      4.69698569        2.75241954        5184
      4.73765224        2.81992406        5184
      4.77831878        2.87891432        5184
      4.81898532        2.92993729        5184
      4.85965186        2.97347061        5184
      4.90031841        3.00992411        5184
      4.94098495        3.03964383        5184
      4.98165149        3.06291639        5184
      5.02231804        3.07997273        5184
      5.06298458        3.09099091        5184
      5.10365112        3.09609779        5184
      5.14431766        3.09536990        5184
      5.18498421        3.08883344        5184
      5.22565075        3.07646359        5184
      5.26631729        3.05818304        5184
      5.30698384        3.03385983        5184
      5.34765038        3.00330448        5184
      5.38831692        2.96626658        5184
      5.42898346        2.92243092        5184
      5.46965001        2.87141381        5184
      5.51031655        2.81276066        5184
      5.55098309        2.74594641        5184
      5.59164964        2.67038122        5184
      5.63231618        2.58542414        5184
      5.67298272        2.49040713        5184
      5.71364926        2.38467119        5184
      5.75431581        2.26761407        5184
      5.79498235        2.13874721        5184
      5.83564889        1.99775656        5184
      5.87631544        1.84456076        5184
      5.91698198        1.67935877        5184
      5.95764852        1.50266100        5184
      5.99831506        1.31529979        5184
      6.03898161        1.11841974        5184
      6.07964815        0.91345140        5184
      6.12031469        0.70207548        5184
      6.16098123        0.48618490        5184
      6.20164778        0.26785125        5184
      6.24231432        0.04929890        5184
      6.28298086       -0.16711407        5184
      6.32364741       -0.37891198        5184
      6.36431395       -0.58352085        5184
      6.40498049       -0.77829651        5184
      6.44564703       -0.96056561        5184
      6.48631358       -1.12768017        5184
