# Directional plane-averaged electrostatic potential
# direction = a-b
# method = nearest
# lattice_coefficients(a,b,c) = 1.00000000 -1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.27331599        5184
      0.06099981       -1.40234253        5184
      0.10166636       -1.50916828        5184
      0.14233290       -1.59193782        5184
      0.18299944       -1.64917540        5184
      0.22366599       -1.67984086        5184
      0.26433253       -1.68336428        5184
      0.30499907       -1.65965852        5184
      0.34566561       -1.60911481        5184
      0.38633216       -1.53258675        5184
      0.42699870       -1.43136620        5184
      0.46766524       -1.30714909        5184
      0.50833179       -1.16198866        5184
      0.54899833       -0.99823137        5184
      0.58966487       -0.81843806        5184
      0.63033141       -0.62529588        5184
      0.67099796       -0.42153343        5184
      0.71166450       -0.20985039        5184
      0.75233104        0.00713123        5184
      0.79299758        0.22689524        5184
      0.83366413        0.44704336        5184
      0.87433067        0.66530344        5184
      0.91499721        0.87954207        5184
      0.95566376        1.08778858        5184
      0.99633030        1.28826927        5184
      1.03699684        1.47944765        5184
      1.07766338        1.66006413        5184
      1.11832993        1.82916789        5184
      1.15899647        1.98613320        5184
      1.19966301        2.13065703        5184
      1.24032956        2.26273587        5184
      1.28099610        2.38262395        5184
      1.32166264        2.49077646        5184
      1.36232918        2.58778542        5184
      1.40299573        2.67431659        5184
      1.44366227        2.75105437        5184
      1.48432881        2.81865983        5184
      1.52499536        2.87774335        5184
      1.56566190        2.92885065        5184
      1.60632844        2.97245860        5184
      1.64699498        3.00897673        5184
      1.68766153        3.03875125        5184
      1.72832807        3.06206943        5184
      1.76899461        3.07916290        5184
      1.80966115        3.09021016        5184
      1.85032770        3.09533843        5184
      1.89099424        3.09462442        5184
      1.93166078        3.08809456        5184
      1.97232733        3.07572419        5184
      2.01299387        3.05743611        5184
      2.05366041        3.03309811        5184
      2.09432695        3.00251997        5184
      2.13499350        2.96545006        5184
      2.17566004        2.92157218        5184
      2.21632658        2.87050222        5184
      2.25699313        2.81178650        5184
      2.29765967        2.74490232        5184
      2.33832621        2.66926350        5184
      2.37899275        2.58423311        5184
      2.41965930        2.48914753        5184
      2.46032584        2.38335161        5184
      2.50099238        2.26624720        5184
      2.54165893        2.13735025        5184
      2.58232547        1.99635278        5184
      2.62299201        1.84318075        5184
      2.66365855        1.67804055        5184
      2.70432510        1.50144774        5184
      2.74499164        1.31423608        5184
      2.78565818        1.11754585        5184
      2.82632472        0.91279916        5184
      2.86699127        0.70166706        5184
      2.90765781        0.48603651        5184
      2.94832435        0.26797985        5184
      2.98899090        0.04972850        5184
      3.02965744       -0.16635029        5184
      3.07032398       -0.37777565        5184
      3.11099052       -0.58197909        5184
      3.15165707       -0.77633431        5184
      3.19232361       -0.95819452        5184
      3.23299015       -1.12493867        5184
      3.27365670       -1.27402863        5184
      3.31432324       -1.40307690        5184
      3.35498978       -1.50992197        5184
      3.39565632       -1.59270612        5184
      3.43632287       -1.64994776        5184
      3.47698941       -1.68059922        5184
      3.51765595       -1.68408477        5184
      3.55832250       -1.66031668        5184
      3.59898904       -1.60969182        5184
      3.63965558       -1.53307353        5184
      3.68032212       -1.43176335        5184
      3.72098867       -1.30746269        5184
      3.76165521       -1.16222435        5184
      3.80232175       -0.99839011        5184
      3.84298829       -0.81851535        5184
      3.88365484       -0.62528485        5184
      3.92432138       -0.42142961        5184
      3.96498792       -0.20965531        5184
      4.00565447        0.00740918        5184
      4.04632101        0.22724305        5184
      4.08698755        0.44744704        5184
      4.12765409        0.66575117        5184
      4.16832064        0.88002536        5184
      4.20898718        1.08830098        5184
      4.24965372        1.28880402        5184
      4.29032027        1.47999569        5184
      4.33098681        1.66061342        5184
      4.37165335        1.82970470        5184
      4.41231989        1.98664433        5184
      4.45298644        2.13113198        5184
      4.49365298        2.26316812        5184
      4.53431952        2.38301069        5184
      4.57498607        2.49111751        5184
      4.61565261        2.58808188        5184
      4.65631915        2.67456996        5184
      4.69698569        2.75126634        5184
      4.73765224        2.81883249        5184
      4.77831878        2.87787933        5184
      4.81898532        2.92895319        5184
      4.85965186        2.97253108        5184
      4.90031841        3.00902240        5184
      4.94098495        3.03877287        5184
      4.98165149        3.06206926        5184
      5.02231804        3.07914288        5184
      5.06298458        3.09017224        5184
      5.10365112        3.09528449        5184
      5.14431766        3.09455620        5184
      5.18498421        3.08801345        5184
      5.22565075        3.07563112        5184
      5.26631729        3.05733161        5184
      5.30698384        3.03298264        5184
      5.34765038        3.00239418        5184
      5.38831692        2.96531491        5184
      5.42898346        2.92142874        5184
      5.46965001        2.87035133        5184
      5.51031655        2.81162851        5184
      5.55098309        2.74473725        5184
      5.59164964        2.66909144        5184
      5.63231618        2.58405507        5184
      5.67298272        2.48896602        5184
      5.71364926        2.38317095        5184
      5.75431581        2.26607319        5184
      5.79498235        2.13718976        5184
      5.83564889        1.99621340        5184
      5.87631544        1.84307079        5184
      5.91698198        1.67796908        5184
      5.95764852        1.50142472        5184
      5.99831506        1.31427165        5184
      6.03898161        1.11764891        5184
      6.07964815        0.91297548        5184
      6.12031469        0.70191784        5184
      6.16098123        0.48635832        5184
      6.20164778        0.26836605        5184
      6.24231432        0.05017153        5184
      6.28298086       -0.16585665        5184
      6.32364741       -0.37723570        5184
      6.36431395       -0.58139591        5184
      6.40498049       -0.77571131        5184
      6.44564703       -0.95753641        5184
      6.48631358       -1.12425089        5184
