# Directional plane-averaged electrostatic potential
# direction = a+b
# method = bin
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.29879787       51758
      0.06099981       -1.42805921       52458
      0.10166636       -1.53764550       52692
      0.14233290       -1.62537335       52799
      0.18299944       -1.68922855       51195
      0.22366599       -1.72766627       53128
      0.26433253       -1.73967229       53390
      0.30499907       -1.72478659       53115
      0.34566561       -1.68305228       51991
      0.38633216       -1.61506925       54186
      0.42699870       -1.52186261       54420
      0.46766524       -1.40483050       53663
      0.50833179       -1.26570855       52059
      0.54899833       -1.10667393       54856
      0.58966487       -0.93023667       55118
      0.63033141       -0.73911812       53979
      0.67099796       -0.53609502       53143
      0.71166450       -0.32401344       55626
      0.75233104       -0.10564460       56148
      0.79299758        0.11639901       54527
      0.83366413        0.33969443       53980
      0.87433067        0.56187854       55527
      0.91499721        0.78068345       56722
      0.95566376        0.99401438       54967
      0.99633030        1.20002887       55310
      1.03699684        1.39706392       56051
      1.07766338        1.58373703       57437
      1.11832993        1.75902430       55830
      1.15899647        1.92228532       55996
      1.19966301        2.07312545       56103
      1.24032956        2.21141322       57586
      1.28099610        2.33728369       56695
      1.32166264        2.45112160       57038
      1.36232918        2.55340555       56916
      1.40299573        2.64471547       58300
      1.44366227        2.72571260       57558
      1.48432881        2.79710457       57724
      1.52499536        2.85952147       57489
      1.56566190        2.91353143       57928
      1.60632844        2.95965499       58423
      1.64699498        2.99837174       58766
      1.68766153        3.03006089       59206
      1.72832807        3.05504414       57738
      1.76899461        3.07360842       59286
      1.80966115        3.08600108       59452
      1.85032770        3.09238261       59285
      1.89099424        3.09284608       57860
      1.93166078        3.08744052       60151
      1.97232733        3.07617376       60494
      2.01299387        3.05897633       60084
      2.05366041        3.03572480       58588
      2.09432695        3.00625918       61014
      2.13499350        2.97037104       61180
      2.17566004        2.92774369       60149
      2.21632658        2.87797400       58999
      2.25699313        2.82059706       61604
      2.29765967        2.75510191       62222
      2.33832621        2.68087378       60948
      2.37899275        2.59726480       60249
      2.41965930        2.50363361       61945
      2.46032584        2.39937035       62935
      2.50099238        2.28384030       60986
      2.54165893        2.15649694       61221
      2.58232547        2.01697669       61974
      2.62299201        1.86518004       63798
      2.66365855        1.70123262       61964
      2.70432510        1.52561485       62265
      2.74499164        1.33920146       62521
      2.78565818        1.14323514       63867
      2.82632472        0.93918876       62646
      2.86699127        0.72881422       62949
      2.90765781        0.51416871       62838
      2.94832435        0.29759394       64662
      2.98899090        0.08157917       63692
      3.02965744       -0.13121183       63993
      3.07032398       -0.33799674       63756
      3.11099052       -0.53599870       64360
      3.15165707       -0.72263161       64086
      3.19232361       -0.89546741       64101
      3.23299015       -1.05219328       63990
      3.27365670       -1.19059332       64374
      3.31432324       -1.30864207       64268
      3.35498978       -1.40447167       64281
      3.39565632       -1.47644291       64564
      3.43632287       -1.52327227       63552
      3.47698941       -1.54423648       63798
      3.51765595       -1.53916212       63525
      3.55832250       -1.50837704       64278
      3.59898904       -1.45262299       63222
      3.63965558       -1.37307857       63116
      3.68032212       -1.27121770       62841
      3.72098867       -1.14874094       63961
      3.76165521       -1.00753428       62427
      3.80232175       -0.84976277       62070
      3.84298829       -0.67777602       61797
      3.88365484       -0.49400465       63414
      3.92432138       -0.30084338       62386
      3.96498792       -0.10070369       61360
      4.00565447        0.10409203       61113
      4.04632101        0.31136780       63097
      4.08698755        0.51911097       62112
      4.12765409        0.72533843       59793
      4.16832064        0.92813597       60452
      4.20898718        1.12573125       62167
      4.24965372        1.31656042       61934
      4.29032027        1.49919008       59220
      4.33098681        1.67240677       60316
      4.37165335        1.83529424       61302
      4.41231989        1.98725784       60892
      4.45298644        2.12791025       58421
      4.49365298        2.25709486       59588
      4.53431952        2.37490672       60439
      4.57498607        2.48167373       60206
      4.61565261        2.57781431       58356
      4.65631915        2.66383562       59452
      4.69698569        2.74031947       59574
      4.73765224        2.80788398       59164
      4.77831878        2.86707335       57845
      4.81898532        2.91836818       58436
      4.85965186        2.96220821       58711
      4.90031841        2.99899597       58478
      4.94098495        3.02904075       58355
      4.98165149        3.05259557       57725
      5.02231804        3.06988129       57846
      5.06298458        3.08108185       57436
      5.10365112        3.08629891       57831
      5.14431766        3.08557088       56722
      5.18498421        3.07889690       56983
      5.22565075        3.06624009       56750
      5.26631729        3.04748965       57779
      5.30698384        3.02248356       56573
      5.34765038        2.99102430       56118
      5.38831692        2.95286892       55708
      5.42898346        2.90766763       56967
      5.46965001        2.85498666       55858
      5.51031655        2.79433332       55255
      5.55098309        2.72517336       55022
      5.59164964        2.64687227       56915
      5.63231618        2.55876848       56107
      5.67298272        2.46021694       53992
      5.71364926        2.35062144       54075
      5.75431581        2.22938263       56008
      5.79498235        2.09602614       55556
      5.83564889        1.95030350       52965
      5.87631544        1.79228134       54007
      5.91698198        1.62229909       55338
      5.95764852        1.44108983       54996
      5.99831506        1.24979959       52511
      6.03898161        1.04992972       53211
      6.07964815        0.84315850       54280
      6.12031469        0.63134456       53966
      6.16098123        0.41652139       51963
      6.20164778        0.20085786       53143
      6.24231432       -0.01348634       53610
      6.28298086       -0.22431194       53268
      6.32364741       -0.42940712       51798
      6.36431395       -0.62662559       52196
      6.40498049       -0.81402954       52552
      6.44564703       -0.98978046       52238
      6.48631358       -1.15202619       51620
