# Directional plane-averaged electrostatic potential
# direction = a+b
# method = cubic
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.44633415        5184
      0.06099981       -1.54517743        5184
      0.10166636       -1.61936100        5184
      0.14233290       -1.66755239        5184
      0.18299944       -1.68885734        5184
      0.22366599       -1.68285192        5184
      0.26433253       -1.64959948        5184
      0.30499907       -1.58965179        5184
      0.34566561       -1.50403358        5184
      0.38633216       -1.39421018        5184
      0.42699870       -1.26203854        5184
      0.46766524       -1.10970344        5184
      0.50833179       -0.93964264        5184
      0.54899833       -0.75446638        5184
      0.58966487       -0.55687791        5184
      0.63033141       -0.34960170        5184
      0.67099796       -0.13532452        5184
      0.71166450        0.08334792        5184
      0.75233104        0.30391951        5184
      0.79299758        0.52402134        5184
      0.83366413        0.74142448        5184
      0.87433067        0.95405475        5184
      0.91499721        1.16001444        5184
      0.95566376        1.35761321        5184
      0.99633030        1.54540580        5184
      1.03699684        1.72223066        5184
      1.07766338        1.88724096        5184
      1.11832993        2.03991983        5184
      1.15899647        2.18007381        5184
      1.19966301        2.30780279        5184
      1.24032956        2.42344978        5184
      1.28099610        2.52753745        5184
      1.32166264        2.62070090        5184
      1.36232918        2.70362539        5184
      1.40299573        2.77699566        5184
      1.44366227        2.84146005        5184
      1.48432881        2.89760900        5184
      1.52499536        2.94596536        5184
      1.56566190        2.98698274        5184
      1.60632844        3.02104819        5184
      1.64699498        3.04848652        5184
      1.68766153        3.06956451        5184
      1.72832807        3.08449440        5184
      1.76899461        3.09343621        5184
      1.80966115        3.09649917        5184
      1.85032770        3.09374228        5184
      1.89099424        3.08517404        5184
      1.93166078        3.07075150        5184
      1.97232733        3.05037855        5184
      2.01299387        3.02390349        5184
      2.05366041        2.99111600        5184
      2.09432695        2.95174347        5184
      2.13499350        2.90544716        5184
      2.17566004        2.85181880        5184
      2.21632658        2.79037892        5184
      2.25699313        2.72057884        5184
      2.29765967        2.64180884        5184
      2.33832621        2.55341516        5184
      2.37899275        2.45472821        5184
      2.41965930        2.34510282        5184
      2.46032584        2.22396966        5184
      2.50099238        2.09089415        5184
      2.54165893        1.94563730        5184
      2.58232547        1.78821095        5184
      2.62299201        1.61892032        5184
      2.66365855        1.43838809        5184
      2.70432510        1.24755774        5184
      2.74499164        1.04767735        5184
      2.78565818        0.84026916        5184
      2.82632472        0.62709217        5184
      2.86699127        0.41010516        5184
      2.90765781        0.19143562        5184
      2.94832435       -0.02664350        5184
      2.98899090       -0.24173120        5184
      3.02965744       -0.45131492        5184
      3.07032398       -0.65279236        5184
      3.11099052       -0.84350383        5184
      3.15165707       -1.02077797        5184
      3.19232361       -1.18199073        5184
      3.23299015       -1.32463442        5184
      3.27365670       -1.44639182        5184
      3.31432324       -1.54520987        5184
      3.35498978       -1.61936776        5184
      3.39565632       -1.66753539        5184
      3.43632287       -1.68881962        5184
      3.47698941       -1.68279656        5184
      3.51765595       -1.64952890        5184
      3.55832250       -1.58956750        5184
      3.59898904       -1.50393643        5184
      3.63965558       -1.39410094        5184
      3.68032212       -1.26191871        5184
      3.72098867       -1.10957609        5184
      3.76165521       -0.93951300        5184
      3.80232175       -0.75434182        5184
      3.84298829       -0.55676716        5184
      3.88365484       -0.34951332        5184
      3.92432138       -0.13526492        5184
      3.96498792        0.08337620        5184
      4.00565447        0.30391866        5184
      4.04632101        0.52399779        5184
      4.08698755        0.74138721        5184
      4.12765409        0.95401286        5184
      4.16832064        1.15997501        5184
      4.20898718        1.35758004        5184
      4.24965372        1.54537948        5184
      4.29032027        1.72220952        5184
      4.33098681        1.88722255        5184
      4.37165335        2.03990206        5184
      4.41231989        2.18005555        5184
      4.45298644        2.30778392        5184
      4.49365298        2.42343080        5184
      4.53431952        2.52751909        5184
      4.57498607        2.62068378        5184
      4.61565261        2.70360989        5184
      4.65631915        2.77698193        5184
      4.69698569        2.84144808        5184
      4.73765224        2.89759868        5184
      4.77831878        2.94595655        5184
      4.81898532        2.98697531        5184
      4.85965186        3.02104202        5184
      4.90031841        3.04848149        5184
      4.94098495        3.06956053        5184
      4.98165149        3.08449140        5184
      5.02231804        3.09343412        5184
      5.06298458        3.09649797        5184
      5.10365112        3.09374194        5184
      5.14431766        3.08517456        5184
      5.18498421        3.07075288        5184
      5.22565075        3.05038079        5184
      5.26631729        3.02390664        5184
      5.30698384        2.99112008        5184
      5.34765038        2.95174853        5184
      5.38831692        2.90545327        5184
      5.42898346        2.85182609        5184
      5.46965001        2.79038757        5184
      5.51031655        2.72058915        5184
      5.55098309        2.64182117        5184
      5.59164964        2.55342994        5184
      5.63231618        2.45474580        5184
      5.67298272        2.34512334        5184
      5.71364926        2.22399280        5184
      5.75431581        2.09091910        5184
      5.79498235        1.94566265        5184
      5.83564889        1.78823484        5184
      5.87631544        1.61894052        5184
      5.91698198        1.43840224        5184
      5.95764852        1.24756354        5184
      5.99831506        1.04767310        5184
      6.03898161        0.84025458        5184
      6.07964815        0.62706935        5184
      6.12031469        0.41007917        5184
      6.16098123        0.19141431        5184
      6.20164778       -0.02665091        5184
      6.24231432       -0.24171655        5184
      6.28298086       -0.45127366        5184
      6.32364741       -0.65272533        5184
      6.36431395       -0.84341737        5184
      6.40498049       -1.02068248        5184
      6.44564703       -1.18189811        5184
      6.48631358       -1.32455543        5184
