# Directional plane-averaged electrostatic potential
# direction = a+b
# method = nearest
# lattice_coefficients(a,b,c) = 1.00000000 1.00000000 0.00000000
# interpolation_samples = 72 72
# gaussian_smooth_sigma_angstrom = 0.15000000
# s(Angstrom)   V_avg(eV)   count
      0.02033327       -1.44253025        5184
      0.06099981       -1.54101149        5184
      0.10166636       -1.61488020        5184
      0.14233290       -1.66285120        5184
      0.18299944       -1.68406325        5184
      0.22366599       -1.67809480        5184
      0.26433253       -1.64498167        5184
      0.30499907       -1.58523289        5184
      0.34566561       -1.49983778        5184
      0.38633216       -1.39025029        5184
      0.42699870       -1.25834083        5184
      0.46766524       -1.10631943        5184
      0.50833179       -0.93664113        5184
      0.54899833       -0.75191017        5184
      0.58966487       -0.55480036        5184
      0.63033141       -0.34799500        5184
      0.67099796       -0.13414651        5184
      0.71166450        0.08415266        5184
      0.75233104        0.30439696        5184
      0.79299758        0.52419468        5184
      0.83366413        0.74129557        5184
      0.87433067        0.95361820        5184
      0.91499721        1.15927433        5184
      0.95566376        1.35659499        5184
      0.99633030        1.54415763        5184
      1.03699684        1.72081450        5184
      1.07766338        1.88572033        5184
      1.11832993        2.03834971        5184
      1.15899647        2.17849604        5184
      1.19966301        2.30624743        5184
      1.24032956        2.42193869        5184
      1.28099610        2.52608792        5184
      1.32166264        2.61932701        5184
      1.36232918        2.70233633        5184
      1.40299573        2.77579426        5184
      1.44366227        2.84034246        5184
      1.48432881        2.89656608        5184
      1.52499536        2.94498566        5184
      1.56566190        2.98605511        5184
      1.60632844        3.02016344        5184
      1.64699498        3.04763757        5184
      1.68766153        3.06874503        5184
      1.72832807        3.08369756        5184
      1.76899461        3.09265414        5184
      1.80966115        3.09572322        5184
      1.85032770        3.09296413        5184
      1.89099424        3.08438648        5184
      1.93166078        3.06994834        5184
      1.97232733        3.04955358        5184
      2.01299387        3.02304904        5184
      2.05366041        2.99022190        5184
      2.09432695        2.95079720        5184
      2.13499350        2.90443548        5184
      2.17566004        2.85073057        5184
      2.21632658        2.78920666        5184
      2.25699313        2.71931898        5184
      2.29765967        2.64045965        5184
      2.33832621        2.55197414        5184
      2.37899275        2.45319123        5184
      2.41965930        2.34346655        5184
      2.46032584        2.22223806        5184
      2.50099238        2.08908655        5184
      2.54165893        1.94379272        5184
      2.58232547        1.78638621        5184
      2.62299201        1.61717954        5184
      2.66365855        1.43678818        5184
      2.70432510        1.24613663        5184
      2.74499164        1.04645152        5184
      2.78565818        0.83924301        5184
      2.82632472        0.62627495        5184
      2.86699127        0.40952551        5184
      2.90765781        0.19114575        5184
      2.94832435       -0.02657919        5184
      2.98899090       -0.24125811        5184
      3.02965744       -0.45040836        5184
      3.07032398       -0.65146475        5184
      3.11099052       -0.84179398        5184
      3.15165707       -1.01872750        5184
      3.19232361       -1.17962184        5184
      3.23299015       -1.32194209        5184
      3.27365670       -1.44335685        5184
      3.31432324       -1.54182635        5184
      3.35498978       -1.61566819        5184
      3.39565632       -1.66359932        5184
      3.43632287       -1.68475940        5184
      3.47698941       -1.67872691        5184
      3.51765595       -1.64553774        5184
      3.55832250       -1.58570267        5184
      3.59898904       -1.50021486        5184
      3.63965558       -1.39053337        5184
      3.68032212       -1.25853310        5184
      3.72098867       -1.10642658        5184
      3.76165521       -0.93666928        5184
      3.80232175       -0.75186532        5184
      3.84298829       -0.55468963        5184
      3.88365484       -0.34782859        5184
      3.92432138       -0.13393855        5184
      3.96498792        0.08438612        5184
      4.00565447        0.30464211        5184
      4.04632101        0.52444445        5184
      4.08698755        0.74155206        5184
      4.12765409        0.95389098        5184
      4.16832064        1.15957541        5184
      4.20898718        1.35693230        5184
      4.24965372        1.54453022        5184
      4.29032027        1.72121149        5184
      4.33098681        1.88612388        5184
      4.37165335        2.03874033        5184
      4.41231989        2.17885792        5184
      4.45298644        2.30657141        5184
      4.49365298        2.42222242        5184
      4.53431952        2.52633353        5184
      4.57498607        2.61953811        5184
      4.61565261        2.70251573        5184
      4.65631915        2.77594326        5184
      4.69698569        2.84046136        5184
      4.73765224        2.89665538        5184
      4.77831878        2.94504687        5184
      4.81898532        2.98609094        5184
      4.85965186        3.02017723        5184
      4.90031841        3.04763262        5184
      4.94098495        3.06872399        5184
      4.98165149        3.08366227        5184
      5.02231804        3.09260581        5184
      5.06298458        3.09566271        5184
      5.10365112        3.09289218        5184
      5.14431766        3.08430384        5184
      5.18498421        3.06985574        5184
      5.22565075        3.04945183        5184
      5.26631729        3.02293909        5184
      5.30698384        2.99010490        5184
      5.34765038        2.95067445        5184
      5.38831692        2.90430816        5184
      5.42898346        2.85059941        5184
      5.46965001        2.78907177        5184
      5.51031655        2.71918008        5184
      5.55098309        2.64031686        5184
      5.59164964        2.55182901        5184
      5.63231618        2.45304750        5184
      5.67298272        2.34333027        5184
      5.71364926        2.22211648        5184
      5.75431581        2.08898648        5184
      5.79498235        1.94371879        5184
      5.83564889        1.78634023        5184
      5.87631544        1.61716144        5184
      5.91698198        1.43679797        5184
      5.95764852        1.24617688        5184
      5.99831506        1.04652883        5184
      6.03898161        0.83936757        5184
      6.07964815        0.62645863        5184
      6.12031469        0.40977902        5184
      6.16098123        0.19147646        5184
      6.20164778       -0.02616811        5184
      6.24231432       -0.24076723        5184
      6.28298086       -0.44984087        5184
      6.32364741       -0.65082574        5184
      6.36431395       -0.84109071        5184
      6.40498049       -1.01797019        5184
      6.44564703       -1.17882427        5184
      6.48631358       -1.32112099        5184
