# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
     0        0.00000000      -15.29585188
     1        0.08041325      -15.66656557
     2        0.16082649      -15.61178230
     3        0.24123974      -15.13957434
     4        0.32165298      -14.28875067
     5        0.40206623      -13.12510702
     6        0.48247947      -11.72941873
     7        0.56289272      -10.18404673
     8        0.64330596       -8.56180259
     9        0.72371921       -6.93271788
    10        0.80413246       -5.36429784
    11        0.88454570       -3.91466609
    12        0.96495895       -2.64759531
    13        1.04537219       -1.58481698
    14        1.12578544       -0.72230372
    15        1.20619868       -0.04767510
    16        1.28661193        0.46738834
    17        1.36702517        0.84360507
    18        1.44743842        1.09336372
    19        1.52785167        1.22400171
    20        1.60826491        1.24007885
    21        1.68867816        1.14224389
    22        1.76909140        0.92685474
    23        1.84950465        0.58748135
    24        1.92991789        0.11338409
    25        2.01033114       -0.51316620
    26        2.09074439       -1.32015783
    27        2.17115763       -2.32586337
    28        2.25157088       -3.53500205
    29        2.33198412       -4.93850653
    30        2.41239737       -6.47968673
    31        2.49281061       -8.09756722
    32        2.57322386       -9.72923170
    33        2.65363710      -11.30315561
    34        2.73405035      -12.74944352
    35        2.81446360      -13.98716708
    36        2.89487684      -14.93430527
    37        2.97529009      -15.51883398
    38        3.05570333      -15.69415718
    39        3.13611658      -15.44269848
    40        3.21652982      -14.78049164
    41        3.29694307      -13.75256292
    42        3.37735631      -12.43276194
    43        3.45776956      -10.90990353
    44        3.53818281       -9.27448186
    45        3.61859605       -7.60322252
    46        3.69900930       -5.96424933
    47        3.77942254       -4.41376157
    48        3.85983579       -3.00750457
    49        3.94024903       -1.78636935
    50        4.02066228       -0.76268757
    51        4.10107552        0.06428466
    52        4.18148877        0.73037005
    53        4.26190202        1.27210013
    54        4.34231526        1.71277896
    55        4.42272851        2.07014950
    56        4.50314175        2.35846221
    57        4.58355500        2.59096629
    58        4.66396824        2.77791696
    59        4.74438149        2.92823248
    60        4.82479473        3.04860266
    61        4.90520798        3.14516708
    62        4.98562123        3.22239136
    63        5.06603447        3.28426442
    64        5.14644772        3.33365062
    65        5.22686096        3.37321936
    66        5.30727421        3.40477234
    67        5.38768745        3.43006354
    68        5.46810070        3.45022342
    69        5.54851395        3.46639815
    70        5.62892719        3.47929440
    71        5.70934044        3.48965462
    72        5.78975368        3.49792099
    73        5.87016693        3.50456772
    74        5.95058017        3.50987772
    75        6.03099342        3.51414705
    76        6.11140666        3.51756477
    77        6.19181991        3.52030739
    78        6.27223316        3.52251029
    79        6.35264640        3.52426931
    80        6.43305965        3.52568981
    81        6.51347289        3.52681290
    82        6.59388614        3.52772741
    83        6.67429938        3.52843774
    84        6.75471263        3.52902346
    85        6.83512587        3.52946505
    86        6.91553912        3.52983618
    87        6.99595237        3.53010274
    88        7.07636561        3.53033349
    89        7.15677886        3.53048668
    90        7.23719210        3.53062612
    91        7.31760535        3.53070749
    92        7.39801859        3.53078847
    93        7.47843184        3.53082612
    94        7.55884508        3.53087082
    95        7.63925833        3.53088383
    96        7.71967158        3.53090708
    97        7.80008482        3.53090808
    98        7.88049807        3.53091947
    99        7.96091131        3.53091633
   100        8.04132456        3.53092151
   101        8.12173780        3.53091848
   102        8.20215105        3.53092019
   103        8.28256429        3.53091888
   104        8.36297754        3.53091819
   105        8.44339079        3.53091899
   106        8.52380403        3.53091627
   107        8.60421728        3.53091900
   108        8.68463052        3.53091450
   109        8.76504377        3.53091886
   110        8.84545701        3.53091290
   111        8.92587026        3.53091854
   112        9.00628351        3.53091148
   113        9.08669675        3.53091803
   114        9.16711000        3.53091025
   115        9.24752324        3.53091731
   116        9.32793649        3.53090920
   117        9.40834973        3.53091637
   118        9.48876298        3.53090833
   119        9.56917622        3.53091524
   120        9.64958947        3.53090761
   121        9.73000272        3.53091391
   122        9.81041596        3.53090703
   123        9.89082921        3.53091243
   124        9.97124245        3.53090656
   125       10.05165570        3.53091080
   126       10.13206894        3.53090615
   127       10.21248219        3.53090894
   128       10.29289543        3.53090555
   129       10.37330868        3.53090688
   130       10.45372193        3.53090496
   131       10.53413517        3.53090480
   132       10.61454842        3.53090436
   133       10.69496166        3.53090274
   134       10.77537491        3.53090371
   135       10.85578815        3.53090073
   136       10.93620140        3.53090295
   137       11.01661464        3.53089865
   138       11.09702789        3.53090195
   139       11.17744114        3.53089664
   140       11.25785438        3.53090085
   141       11.33826763        3.53089476
   142       11.41868087        3.53089961
   143       11.49909412        3.53089301
   144       11.57950736        3.53089823
   145       11.65992061        3.53089141
   146       11.74033385        3.53089670
   147       11.82074710        3.53088996
   148       11.90116035        3.53089503
   149       11.98157359        3.53088864
   150       12.06198684        3.53089323
   151       12.14240008        3.53088745
   152       12.22281333        3.53089131
   153       12.30322657        3.53088637
   154       12.38363982        3.53088928
   155       12.46405307        3.53088538
   156       12.54446631        3.53088718
   157       12.62487956        3.53088445
   158       12.70529280        3.53088503
   159       12.78570605        3.53088356
   160       12.86611929        3.53088286
   161       12.94653254        3.53088267
   162       13.02694578        3.53088070
   163       13.10735903        3.53088177
   164       13.18777228        3.53087858
   165       13.26818552        3.53088081
   166       13.34859877        3.53087651
   167       13.42901201        3.53087977
   168       13.50942526        3.53087454
   169       13.58983850        3.53087864
   170       13.67025175        3.53087268
   171       13.75066499        3.53087738
   172       13.83107824        3.53087094
   173       13.91149149        3.53087600
   174       13.99190473        3.53086934
   175       14.07231798        3.53087447
   176       14.15273122        3.53086788
   177       14.23314447        3.53087281
   178       14.31355771        3.53086656
   179       14.39397096        3.53087101
   180       14.47438420        3.53086537
   181       14.55479745        3.53086908
   182       14.63521070        3.53086430
   183       14.71562394        3.53086705
   184       14.79603719        3.53086332
   185       14.87645043        3.53086492
   186       14.95686368        3.53086243
   187       15.03727692        3.53086274
   188       15.11769017        3.53086158
   189       15.19810341        3.53086052
   190       15.27851666        3.53086074
   191       15.35892991        3.53085830
   192       15.43934315        3.53085988
   193       15.51975640        3.53085600
   194       15.60016964        3.53085881
   195       15.68058289        3.53085369
   196       15.76099613        3.53085765
   197       15.84140938        3.53085147
   198       15.92182262        3.53085638
   199       16.00223587        3.53084936
   200       16.08264912        3.53085497
   201       16.16306236        3.53084739
   202       16.24347561        3.53085331
   203       16.32388885        3.53084532
   204       16.40430210        3.53085129
   205       16.48471534        3.53084338
   206       16.56512859        3.53084907
   207       16.64554184        3.53084158
   208       16.72595508        3.53084665
   209       16.80636833        3.53083994
   210       16.88678157        3.53084404
   211       16.96719482        3.53083843
   212       17.04760806        3.53084127
   213       17.12802131        3.53083705
   214       17.20843455        3.53083835
   215       17.28884780        3.53083577
   216       17.36926105        3.53083532
   217       17.44967429        3.53083456
   218       17.53008754        3.53083222
   219       17.61050078        3.53083340
   220       17.69091403        3.53082910
   221       17.77132727        3.53083223
   222       17.85174052        3.53082602
   223       17.93215376        3.53083102
   224       18.01256701        3.53082302
   225       18.09298026        3.53082970
   226       18.17339350        3.53082001
   227       18.25380675        3.53082770
   228       18.33421999        3.53081580
   229       18.41463324        3.53082269
   230       18.49504648        3.53080659
   231       18.57545973        3.53080849
   232       18.65587297        3.53078337
   233       18.73628622        3.53077262
   234       18.81669947        3.53072987
   235       18.89711271        3.53069429
   236       18.97752596        3.53062017
   237       19.05793920        3.53054150
   238       19.13835245        3.53041522
   239       19.21876569        3.53026673
   240       19.29917894        3.53005728
   241       19.37959218        3.52979966
   242       19.46000543        3.52946059
   243       19.54041868        3.52903575
   244       19.62083192        3.52849700
   245       19.70124517        3.52781692
   246       19.78165841        3.52697072
   247       19.86207166        3.52590041
   248       19.94248490        3.52457978
   249       20.02289815        3.52291014
