# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.15947617 5.5866955952e-06 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.5866955952e-06 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5057090758e-11
0.31895233 1.1173404211e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1173404211e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0114205419e-11
0.47842850 1.6760138868e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6760138868e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5171367885e-11
0.63790467 2.2346912587e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2346912587e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.0228602058e-11
0.79738083 2.7933738390e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.7933738390e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.5285931843e-11
0.95685700 3.3520629296e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.3520629296e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.0343381143e-11
1.11633317 3.9107598329e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9107598329e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0540097386e-10
1.27580934 4.4694658511e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.4694658511e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2045873390e-10
1.43528550 5.0281822863e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.0281822863e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3551668517e-10
1.59476167 5.5869104411e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.5869104411e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5057485158e-10
1.75423784 6.1456516176e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.1456516176e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6563325702e-10
1.91371400 6.7044071185e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.7044071185e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8069192542e-10
2.07319017 7.2631782463e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2631782463e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9575088067e-10
2.23266634 7.8219663036e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.8219663036e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1081014669e-10
2.39214250 8.3807725931e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3807725931e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2586974739e-10
2.55161867 8.9395984179e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.9395984179e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4092970668e-10
2.71109484 9.4984450807e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.4984450807e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5599004848e-10
2.87057101 1.0057313885e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0057313885e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.7105079669e-10
3.03004717 1.0616206133e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0616206133e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.8611197525e-10
3.18952334 1.1175123129e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1175123129e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0117360806e-10
3.34899951 1.1734066177e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1734066177e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.1623571905e-10
3.50847567 1.2293036580e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2293036580e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.3129833214e-10
3.66795184 1.2852035641e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2852035641e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.4636147125e-10
3.82742801 1.3411064665e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3411064665e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.6142516031e-10
3.98690417 1.3970124956e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3970124956e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7648942326e-10
4.14638034 1.4529217818e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4529217818e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9155428401e-10
4.30585651 1.5088344555e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5088344555e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0661976651e-10
4.46533268 1.5647506474e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5647506474e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.2168589468e-10
4.62480884 1.6206704877e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6206704877e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.3675269248e-10
4.78428501 1.6765941072e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6765941072e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.5182018384e-10
4.94376118 1.7325216362e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7325216362e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6688839269e-10
5.10323734 1.7884532053e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7884532053e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.8195734300e-10
5.26271351 1.8443889452e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8443889452e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9702705871e-10
5.42218968 1.9003289864e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9003289864e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.1209756377e-10
5.58166584 1.9562734597e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9562734597e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.2716888214e-10
5.74114201 2.0122224955e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0122224955e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.4224103777e-10
5.90061818 2.0681762246e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0681762246e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.5731405464e-10
6.06009434 2.1241347778e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1241347778e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.7238795669e-10
6.21957051 2.1800982857e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1800982857e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.8746276792e-10
6.37904668 2.2360668792e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2360668792e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.0253851228e-10
6.53852285 2.2920406890e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.2920406890e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.1761521375e-10
6.69799901 2.3480198459e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3480198459e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3269289632e-10
6.85747518 2.4040044809e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4040044809e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.4777158397e-10
7.01695135 2.4599947248e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4599947248e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.6285130069e-10
7.17642751 2.5159907085e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5159907085e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.7793207046e-10
7.33590368 2.5719925631e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5719925631e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.9301391729e-10
7.49537985 2.6280004194e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.6280004194e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0809686518e-10
7.65485601 2.6840144085e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.6840144085e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2318093813e-10
7.81433218 2.7400346615e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.7400346615e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.3826616015e-10
7.97380835 2.7960613095e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.7960613095e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.5335255525e-10
8.13328452 2.8520944836e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.8520944836e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.6844014747e-10
8.29276068 2.9081343150e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9081343150e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.8352896081e-10
8.45223685 2.9641809349e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9641809349e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.9861901930e-10
8.61171302 3.0202344745e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0202344745e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.1371034699e-10
8.77118918 3.0762950652e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0762950652e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.2880296791e-10
8.93066535 3.1323628383e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.1323628383e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.4389690610e-10
9.09014152 3.1884379252e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.1884379252e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5899218561e-10
9.24961768 3.2445204573e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2445204573e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.7408883050e-10
9.40909385 3.3006105660e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.3006105660e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.8918686482e-10
9.56857002 3.3567083828e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.3567083828e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.0428631264e-10
9.72804618 3.4128140394e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.4128140394e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.1938719804e-10
9.88752235 3.4689276673e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.4689276673e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.3448954508e-10
10.04699852 3.5250493981e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.5250493981e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.4959337786e-10
10.20647469 3.5811793636e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.5811793636e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.6469872045e-10
10.36595085 3.6373176955e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.6373176955e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.7980559695e-10
10.52542702 3.6934645255e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.6934645255e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.9491403147e-10
10.68490319 3.7496199856e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7496199856e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0100240481e-09
10.84437935 3.8057842076e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.8057842076e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251356710e-09
11.00385552 3.8619573234e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.8619573234e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0402489242e-09
11.16333169 3.9181394651e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9181394651e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0553638319e-09
11.32280785 3.9743307646e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9743307646e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0704804182e-09
11.48228402 4.0305313541e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0305313541e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0855987073e-09
