# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 8.5813459826e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813459826e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
0.15947617 8.5813459937e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813459937e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
0.31895233 8.5813460271e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813460271e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
0.47842850 8.5813460828e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813460828e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
0.63790467 8.5813461607e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813461607e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
0.79738083 8.5813462609e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813462609e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
0.95685700 8.5813463833e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813463833e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
1.11633317 8.5813465280e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813465280e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
1.27580934 8.5813466950e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813466950e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
1.43528550 8.5813468843e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813468843e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
1.59476167 8.5813470958e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813470958e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
1.75423784 8.5813473295e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813473295e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
1.91371400 8.5813475856e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813475856e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
2.07319017 8.5813478639e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813478639e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
2.23266634 8.5813481644e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813481644e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
2.39214250 8.5813484873e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813484873e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
2.55161867 8.5813488324e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813488324e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
2.71109484 8.5813491997e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813491997e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
2.87057101 8.5813495894e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5813495894e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.0235409042e+01
