# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.313857174159265176e-07 1.313857174159264911e-07 5.199451161261844402e-13 2.627719547769691453e-07
1.594761669665930581e-01 1.315015984592328945e-07 1.315015984592328945e-07 5.203235459393896366e-13 2.630037172420117088e-07
3.189523339331861163e-01 1.316176328729993473e-07 1.316176328729993473e-07 5.207023890383529384e-13 2.632357864483877235e-07
4.784285008997791744e-01 1.317338209279854634e-07 1.317338209279854899e-07 5.210816460250800779e-13 2.634681629376169990e-07
6.379046678663722325e-01 1.318501628955484647e-07 1.318501628955484647e-07 5.214613175026728624e-13 2.637008472524144559e-07
7.973808348329652906e-01 1.319666590476447962e-07 1.319666590476448227e-07 5.218414040753315974e-13 2.639338399366936722e-07
9.568570017995583488e-01 1.320833096568320048e-07 1.320833096568319784e-07 5.222219063483586210e-13 2.641671415355703771e-07
1.116333168766151296e+00 1.322001149962699576e-07 1.322001149962699576e-07 5.226028249281596159e-13 2.644007525953648341e-07
1.275809335732744465e+00 1.323170753397226676e-07 1.323170753397226941e-07 5.229841604222460338e-13 2.646346736636057575e-07
1.435285502699337634e+00 1.324341909615600413e-07 1.324341909615600413e-07 5.233659134392386284e-13 2.648689052890335427e-07
1.594761669665930581e+00 1.325514621367590167e-07 1.325514621367590167e-07 5.237480845888685669e-13 2.651034480216026477e-07
1.754237836632523528e+00 1.326688891409056011e-07 1.326688891409056011e-07 5.241306744819803579e-13 2.653383024124856698e-07
1.913714003599116698e+00 1.327864722501964069e-07 1.327864722501964334e-07 5.245136837305349817e-13 2.655734690140765220e-07
2.073190170565709867e+00 1.329042117414401074e-07 1.329042117414400809e-07 5.248971129476111020e-13 2.658089483799931329e-07
2.232666337532302592e+00 1.330221078920591832e-07 1.330221078920591567e-07 5.252809627474079942e-13 2.660447410650810994e-07
2.392142504498895761e+00 1.331401609800916434e-07 1.331401609800916434e-07 5.256652337452490791e-13 2.662808476254170219e-07
2.551618671465488930e+00 1.332583712841924284e-07 1.332583712841924284e-07 5.260499265575823276e-13 2.665172686183114161e-07
2.711094838432082099e+00 1.333767390836354211e-07 1.333767390836354476e-07 5.264350418019847026e-13 2.667540046023126306e-07
2.870571005398675268e+00 1.334952646583146386e-07 1.334952646583146386e-07 5.268205800971633716e-13 2.669910561372093878e-07
3.030047172365267993e+00 1.336139482887461644e-07 1.336139482887461644e-07 5.272065420629585332e-13 2.672284237840343837e-07
3.189523339331861163e+00 1.337327902560698950e-07 1.337327902560698950e-07 5.275929283203463460e-13 2.674661081050680999e-07
3.348999506298454332e+00 1.338517908420509168e-07 1.338517908420509168e-07 5.279797394914406446e-13 2.677041096638413444e-07
3.508475673265047057e+00 1.339709503290814119e-07 1.339709503290814119e-07 5.283669761994960703e-13 2.679424290251390106e-07
3.667951840231640226e+00 1.340902690001822722e-07 1.340902690001822722e-07 5.287546390689105951e-13 2.681810667550036238e-07
3.827428007198233395e+00 1.342097471390047150e-07 1.342097471390047150e-07 5.291427287252275412e-13 2.684200234207381475e-07
3.986904174164826564e+00 1.343293850298319230e-07 1.343293850298319495e-07 5.295312457951380047e-13 2.686592995909096358e-07
4.146380341131419733e+00 1.344491829575810835e-07 1.344491829575810835e-07 5.299201909064847932e-13 2.688988958353530983e-07
4.305856508098012903e+00 1.345691412078045789e-07 1.345691412078045789e-07 5.303095646882630320e-13 2.691388127251738294e-07
4.465332675064605183e+00 1.346892600666919723e-07 1.346892600666919723e-07 5.306993677706236978e-13 2.693790508327516962e-07
4.624808842031198353e+00 1.348095398210718335e-07 1.348095398210718600e-07 5.310896007848767494e-13 2.696196107317445266e-07
4.784285008997791522e+00 1.349299807584131159e-07 1.349299807584131159e-07 5.314802643634922378e-13 2.698604929970905981e-07
4.943761175964384691e+00 1.350505831668271414e-07 1.350505831668271414e-07 5.318713591401036390e-13 2.701016982050134014e-07
5.103237342930977860e+00 1.351713473350692681e-07 1.351713473350692416e-07 5.322628857495110846e-13 2.703432269330242880e-07
5.262713509897571029e+00 1.352922735525404786e-07 1.352922735525404521e-07 5.326548448276829779e-13 2.705850797599258055e-07
5.422189676864164198e+00 1.354133621092892061e-07 1.354133621092892326e-07 5.330472370117583158e-13 2.708272572658154027e-07
5.581665843830757368e+00 1.355346132960133201e-07 1.355346132960133201e-07 5.334400629400509302e-13 2.710697600320895596e-07
5.741142010797350537e+00 1.356560274040613701e-07 1.356560274040613966e-07 5.338333232520500934e-13 2.713125886414460105e-07
5.900618177763942818e+00 1.357776047254346769e-07 1.357776047254346769e-07 5.342270185884239516e-13 2.715557436778879262e-07
6.060094344730535987e+00 1.358993455527891322e-07 1.358993455527891322e-07 5.346211495910229577e-13 2.717992257267278318e-07
6.219570511697129156e+00 1.360212501794366816e-07 1.360212501794366816e-07 5.350157169028812854e-13 2.720430353745902532e-07
6.379046678663722325e+00 1.361433188993473091e-07 1.361433188993473091e-07 5.354107211682195548e-13 2.722871732094157941e-07
6.538522845630315494e+00 1.362655520071508641e-07 1.362655520071508641e-07 5.358061630324487711e-13 2.725316398204647353e-07
6.697999012596908663e+00 1.363879497981384638e-07 1.363879497981384638e-07 5.362020431421707280e-13 2.727764357983200526e-07
6.857475179563501833e+00 1.365105125682648493e-07 1.365105125682648493e-07 5.365983621451830567e-13 2.730215617348918634e-07
7.016951346530094114e+00 1.366332406141496297e-07 1.366332406141496297e-07 5.369951206904800337e-13 2.732670182234199683e-07
7.176427513496687283e+00 1.367561342330793467e-07 1.367561342330793467e-07 5.373923194282561146e-13 2.735128058584781387e-07
7.335903680463280452e+00 1.368791937230094067e-07 1.368791937230094067e-07 5.377899590099085596e-13 2.737589252359778228e-07
7.495379847429873621e+00 1.370024193825654840e-07 1.370024193825654575e-07 5.381880400880398571e-13 2.740053769531710045e-07
7.654856014396466790e+00 1.371258115110456646e-07 1.371258115110456646e-07 5.385865633164601468e-13 2.742521616086546500e-07
7.814332181363059959e+00 1.372493704084222729e-07 1.372493704084222729e-07 5.389855293501911577e-13 2.744992798023738843e-07
7.973808348329653128e+00 1.373730963753434065e-07 1.373730963753434065e-07 5.393849388454671171e-13 2.747467321356256440e-07
8.133284515296246298e+00 1.374969897131350015e-07 1.374969897131350279e-07 5.397847924597386882e-13 2.749945192110624892e-07
8.292760682262839467e+00 1.376210507238027375e-07 1.376210507238027375e-07 5.401850908516755958e-13 2.752426416326963088e-07
8.452236849229432636e+00 1.377452797100335206e-07 1.377452797100334941e-07 5.405858346811684438e-13 2.754911000059017091e-07
8.611713016196025805e+00 1.378696769751977067e-07 1.378696769751976802e-07 5.409870246093325520e-13 2.757398949374200370e-07
8.771189183162618974e+00 1.379942428233508217e-07 1.379942428233507952e-07 5.413886612985099757e-13 2.759890270353629267e-07
8.930665350129210367e+00 1.381189775592353354e-07 1.381189775592353089e-07 5.417907454122727370e-13 2.762384969092160059e-07
9.090141517095803536e+00 1.382438814882825670e-07 1.382438814882825670e-07 5.421932776154247430e-13 2.764883051698427604e-07
9.249617684062396705e+00 1.383689549166147236e-07 1.383689549166147236e-07 5.425962585740055222e-13 2.767384524294880275e-07
9.409093851028989874e+00 1.384941981510464616e-07 1.384941981510464616e-07 5.429996889552925467e-13 2.769889393017818613e-07
9.568570017995583044e+00 1.386196114990870044e-07 1.386196114990870044e-07 5.434035694278035545e-13 2.772397664017434499e-07
9.728046184962176213e+00 1.387451952689419955e-07 1.387451952689420219e-07 5.438079006613001850e-13 2.774909343457846623e-07
9.887522351928769382e+00 1.388709497695153773e-07 1.388709497695153773e-07 5.442126833267900989e-13 2.777424437517140719e-07
1.004699851889536255e+01 1.389968753104111124e-07 1.389968753104111124e-07 5.446179180965297050e-13 2.779942952387403447e-07
1.020647468586195572e+01 1.391229722019354857e-07 1.391229722019354857e-07 5.450236056440279969e-13 2.782464894274766332e-07
1.036595085282854889e+01 1.392492407550985873e-07 1.392492407550985873e-07 5.454297466440479667e-13 2.784990269399438055e-07
1.052542701979514206e+01 1.393756812816164563e-07 1.393756812816164563e-07 5.458363417726097352e-13 2.787519083995746811e-07
1.068490318676173523e+01 1.395022940939130924e-07 1.395022940939130924e-07 5.462433917069944902e-13 2.790051344312178947e-07
1.084437935372832840e+01 1.396290795051220972e-07 1.396290795051220708e-07 5.466508971257458995e-13 2.792587056611413377e-07
1.100385552069492157e+01 1.397560378290889243e-07 1.397560378290889243e-07 5.470588587086734437e-13 2.795126227170365524e-07
1.116333168766151474e+01 1.398831693803725463e-07 1.398831693803725463e-07 5.474672771368558489e-13 2.797668862280222254e-07
1.132280785462810790e+01 1.400104744742475730e-07 1.400104744742475730e-07 5.478761530926423996e-13 2.800214968246482645e-07
1.148228402159470107e+01 1.401379534267062364e-07 1.401379534267062100e-07 5.482854872596580883e-13 2.802764551388996629e-07
1.164176018856129247e+01 1.402656065544601376e-07 1.402656065544601376e-07 5.486952803228043221e-13 2.805317618042005758e-07
1.180123635552788564e+01 1.403934341749424440e-07 1.403934341749424440e-07 5.491055329682623562e-13 2.807874174554178674e-07
1.196071252249447880e+01 1.405214366063097684e-07 1.405214366063097684e-07 5.495162458834973329e-13 2.810434227288653987e-07
1.212018868946107197e+01 1.406496141674441016e-07 1.406496141674441016e-07 5.499274197572594926e-13 2.812997782623079452e-07
1.227966485642766514e+01 1.407779671779548768e-07 1.407779671779549033e-07 5.503390552795882137e-13 2.815564846949650615e-07
1.243914102339425831e+01 1.409064959581810079e-07 1.409064959581809814e-07 5.507511531418147382e-13 2.818135426675151049e-07
