# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.995866706324874914e-04
1.594761669665930581e-01 2.998688535841403913e-04
3.189523339331861163e-01 3.001514456443575367e-04
4.784285008997791744e-01 3.004344476258948775e-04
6.379046678663722325e-01 3.007178603435828215e-04
7.973808348329652906e-01 3.010016846143330656e-04
9.568570017995583488e-01 3.012859212571455340e-04
1.116333168766151296e+00 3.015705710931140164e-04
1.275809335732744465e+00 3.018556349454337576e-04
1.435285502699337634e+00 3.021411136394076911e-04
1.594761669665930581e+00 3.024270080024528363e-04
1.754237836632523528e+00 3.027133188641072917e-04
1.913714003599116698e+00 3.030000470560369023e-04
2.073190170565709867e+00 3.032871934120418196e-04
2.232666337532302592e+00 3.035747587680634398e-04
2.392142504498895761e+00 3.038627439621912891e-04
2.551618671465488930e+00 3.041511498346691493e-04
2.711094838432082099e+00 3.044399772279028638e-04
2.870571005398675268e+00 3.047292269864665176e-04
3.030047172365267993e+00 3.050188999571093224e-04
3.189523339331861163e+00 3.053089969887630970e-04
3.348999506298454332e+00 3.055995189325485021e-04
3.508475673265047057e+00 3.058904666417823037e-04
3.667951840231640226e+00 3.061818409719846922e-04
3.827428007198233395e+00 3.064736427808855703e-04
3.986904174164826564e+00 3.067658729284319799e-04
4.146380341131419733e+00 3.070585322767955291e-04
4.305856508098012903e+00 3.073516216903787886e-04
4.465332675064605183e+00 3.076451420358229899e-04
4.624808842031198353e+00 3.079390941820147470e-04
4.784285008997791522e+00 3.082334790000933753e-04
4.943761175964384691e+00 3.085282973634582634e-04
5.103237342930977860e+00 3.088235501477759755e-04
5.262713509897571029e+00 3.091192382309874607e-04
5.422189676864164198e+00 3.094153624933152630e-04
5.581665843830757368e+00 3.097119238172710027e-04
5.741142010797350537e+00 3.100089230876628570e-04
5.900618177763942818e+00 3.103063611916022824e-04
6.060094344730535987e+00 3.106042390185123625e-04
6.219570511697129156e+00 3.109025574601344223e-04
6.379046678663722325e+00 3.112013174105356713e-04
6.538522845630315494e+00 3.115005197661172812e-04
6.697999012596908663e+00 3.118001654256208907e-04
6.857475179563501833e+00 3.121002552901370086e-04
7.016951346530094114e+00 3.124007902631121148e-04
7.176427513496687283e+00 3.127017712503561957e-04
7.335903680463280452e+00 3.130031991600510386e-04
7.495379847429873621e+00 3.133050749027568990e-04
7.654856014396466790e+00 3.136073993914209037e-04
7.814332181363059959e+00 3.139101735413847485e-04
7.973808348329653128e+00 3.142133982703920704e-04
8.133284515296246298e+00 3.145170744985960917e-04
8.292760682262839467e+00 3.148212031485683477e-04
8.452236849229432636e+00 3.151257851453056254e-04
8.611713016196025805e+00 3.154308214162379869e-04
8.771189183162618974e+00 3.157363128912371716e-04
8.930665350129210367e+00 3.160422605026235897e-04
9.090141517095803536e+00 3.163486651851753748e-04
9.249617684062396705e+00 3.166555278761355946e-04
9.409093851028989874e+00 3.169628495152205442e-04
9.568570017995583044e+00 3.172706310446274987e-04
9.728046184962176213e+00 3.175788734090437661e-04
9.887522351928769382e+00 3.178875775556534093e-04
1.004699851889536255e+01 3.181967444341464077e-04
1.020647468586195572e+01 3.185063749967265178e-04
1.036595085282854889e+01 3.188164701981192960e-04
1.052542701979514206e+01 3.191270309955804470e-04
1.068490318676173523e+01 3.194380583489047688e-04
1.084437935372832840e+01 3.197495532204330370e-04
1.100385552069492157e+01 3.200615165750618171e-04
1.116333168766151474e+01 3.203739493802508368e-04
1.132280785462810790e+01 3.206868526060317683e-04
1.148228402159470107e+01 3.210002272250169560e-04
1.164176018856129247e+01 3.213140742124070059e-04
1.180123635552788564e+01 3.216283945460001641e-04
1.196071252249447880e+01 3.219431892062008275e-04
1.212018868946107197e+01 3.222584591760271878e-04
1.227966485642766514e+01 3.225742054411208804e-04
1.243914102339425831e+01 3.228904289897553334e-04
1.259861719036085148e+01 3.232071308128438986e-04
1.275809335732744465e+01 3.235243119039491757e-04
1.291756952429403782e+01 3.238419732592919030e-04
1.307704569126063099e+01 3.241601158777588179e-04
1.323652185822722416e+01 3.244787407609122515e-04
1.339599802519381733e+01 3.247978489129990198e-04
1.355547419216041050e+01 3.251174413409586633e-04
1.371495035912700367e+01 3.254375190544328794e-04
1.387442652609359683e+01 3.257580830657744132e-04
1.403390269306018823e+01 3.260791343900558935e-04
1.419337886002678140e+01 3.264006740450788317e-04
1.435285502699337457e+01 3.267227030513830547e-04
1.451233119395996773e+01 3.270452224322550525e-04
1.467180736092656090e+01 3.273682332137380080e-04
1.483128352789315407e+01 3.276917364246404157e-04
1.499075969485974724e+01 3.280157330965452977e-04
1.515023586182634041e+01 3.283402242638194194e-04
1.530971202879293358e+01 3.286652109636228848e-04
1.546918819575952675e+01 3.289906942359181892e-04
1.562866436272611992e+01 3.293166751234797066e-04
1.578814052969271309e+01 3.296431546719028505e-04
1.594761669665930626e+01 3.299701339296136696e-04
1.610709286362589765e+01 3.302976139478783343e-04
1.626656903059249260e+01 3.306255957808124611e-04
1.642604519755908399e+01 3.309540804853910328e-04
1.658552136452567893e+01 3.312830691214574516e-04
1.674499753149227033e+01 3.316125627517336224e-04
1.690447369845886527e+01 3.319425624418290599e-04
1.706394986542545666e+01 3.322730692602514596e-04
1.722342603239205161e+01 3.326040842784154256e-04
1.738290219935864300e+01 3.329356085706528250e-04
1.754237836632523795e+01 3.332676432142227621e-04
1.770185453329182934e+01 3.336001892893205776e-04
1.786133070025842073e+01 3.339332478790888533e-04
