# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 1.688206032871177173e-04
2.548558853934743684e-01 1.690402715334194685e-04
5.097117707869487369e-01 1.692603691986225634e-04
7.645676561804231053e-01 1.694808974038018333e-04
1.019423541573897474e+00 1.697018572736969566e-04
1.274279426967371842e+00 1.699232499367266352e-04
1.529135312360846211e+00 1.701450765250028785e-04
1.783991197754320579e+00 1.703673381743460739e-04
2.038847083147794947e+00 1.705900360242988646e-04
2.293702968541269094e+00 1.708131712181414638e-04
2.548558853934743684e+00 1.710367449029060209e-04
2.803414739328218275e+00 1.712607582293914201e-04
3.058270624721692421e+00 1.714852123521784326e-04
3.313126510115166568e+00 1.717101084296444619e-04
3.567982395508641158e+00 1.719354476239783969e-04
3.822838280902115748e+00 1.721612311011960078e-04
4.077694166295589895e+00 1.723874600311549896e-04
4.332550051689064041e+00 1.726141355875699507e-04
4.587405937082538188e+00 1.728412589480280803e-04
4.842261822476013222e+00 1.730688312940041910e-04
5.097117707869487369e+00 1.732968538108763318e-04
5.351973593262961515e+00 1.735253276879412650e-04
5.606829478656436549e+00 1.737542541184298886e-04
5.861685364049910696e+00 1.739836342995230935e-04
6.116541249443384842e+00 1.742134694323675106e-04
6.371397134836858989e+00 1.744437607220908804e-04
6.626253020230333135e+00 1.746745093778184234e-04
6.881108905623808170e+00 1.749057166126886432e-04
7.135964791017282316e+00 1.751373836438690742e-04
7.390820676410756462e+00 1.753695116925728153e-04
7.645676561804231497e+00 1.756021019840741434e-04
7.900532447197705643e+00 1.758351557477253716e-04
8.155388332591179790e+00 1.760686742169726522e-04
8.410244217984654824e+00 1.763026586293725919e-04
8.665100103378128082e+00 1.765371102266087859e-04
8.919955988771603117e+00 1.767720302545083518e-04
9.174811874165076375e+00 1.770074199630581116e-04
9.429667759558551410e+00 1.772432806064219929e-04
9.684523644952026444e+00 1.774796134429574819e-04
9.939379530345499703e+00 1.777164197352321573e-04
1.019423541573897474e+01 1.779537007500413899e-04
1.044909130113244977e+01 1.781914577584244161e-04
1.070394718652592303e+01 1.784296920356822811e-04
1.095880307191939806e+01 1.786684048613947258e-04
1.121365895731287310e+01 1.789075975194369644e-04
1.146851484270634636e+01 1.791472712979978721e-04
1.172337072809982139e+01 1.793874274895968174e-04
1.197822661349329465e+01 1.796280673911012260e-04
1.223308249888676968e+01 1.798691923037444161e-04
1.248793838428024472e+01 1.801108035331431894e-04
1.274279426967371798e+01 1.803529023893151785e-04
1.299765015506719301e+01 1.805954901866974949e-04
1.325250604046066627e+01 1.808385682441636974e-04
1.350736192585414130e+01 1.810821378850426564e-04
1.376221781124761634e+01 1.813262004371362539e-04
1.401707369664108960e+01 1.815707572327371919e-04
1.427192958203456463e+01 1.818158096086480192e-04
1.452678546742803967e+01 1.820613589061991031e-04
1.478164135282151292e+01 1.823074064712668432e-04
1.503649723821498796e+01 1.825539536542926454e-04
1.529135312360846299e+01 1.828010018103012175e-04
1.554620900900193625e+01 1.830485522989193261e-04
1.580106489439541129e+01 1.832966064843947703e-04
1.605592077978888454e+01 1.835451657356150295e-04
1.631077666518235958e+01 1.837942314261264000e-04
1.656563255057583461e+01 1.840438049341530224e-04
1.682048843596930965e+01 1.842938876426158555e-04
1.707534432136278113e+01 1.845444809391522730e-04
1.733020020675625616e+01 1.847955862161351727e-04
1.758505609214973120e+01 1.850472048706923022e-04
1.783991197754320623e+01 1.852993383047260188e-04
1.809476786293668127e+01 1.855519879249329675e-04
1.834962374833015275e+01 1.858051551428233528e-04
1.860447963372362779e+01 1.860588413747412404e-04
1.885933551911710282e+01 1.863130480418841812e-04
1.911419140451057785e+01 1.865677765703233233e-04
1.936904728990405289e+01 1.868230283910234156e-04
1.962390317529752792e+01 1.870788049398630008e-04
1.987875906069099941e+01 1.873351076576549614e-04
2.013361494608447444e+01 1.875919379901665228e-04
2.038847083147794947e+01 1.878492973881399080e-04
2.064332671687142451e+01 1.881071873073129907e-04
2.089818260226489954e+01 1.883656092084400318e-04
2.115303848765837103e+01 1.886245645573120884e-04
2.140789437305184606e+01 1.888840548247784005e-04
2.166275025844532109e+01 1.891440814867670177e-04
2.191760614383879613e+01 1.894046460243060492e-04
2.217246202923227116e+01 1.896657499235447522e-04
2.242731791462574620e+01 1.899273946757749714e-04
2.268217380001921768e+01 1.901895817774523897e-04
2.293702968541269271e+01 1.904523127302182393e-04
2.319188557080616775e+01 1.907155890409204435e-04
2.344674145619964278e+01 1.909794122216360056e-04
2.370159734159311782e+01 1.912437837896923136e-04
2.395645322698658930e+01 1.915087052676890406e-04
2.421130911238006433e+01 1.917741781835205885e-04
2.446616499777353937e+01 1.920402040703980695e-04
2.472102088316701440e+01 1.923067844668710719e-04
2.497587676856048944e+01 1.925739209168507806e-04
2.523073265395396092e+01 1.928416149696318509e-04
2.548558853934743595e+01 1.931098681799154205e-04
2.574044442474091099e+01 1.933786821078314444e-04
2.599530031013438602e+01 1.936480583189615441e-04
2.625015619552786106e+01 1.939179983843621828e-04
2.650501208092133254e+01 1.941885038805874603e-04
2.675986796631480757e+01 1.944595763897121257e-04
2.701472385170828261e+01 1.947312174993552668e-04
2.726957973710175764e+01 1.950034288027031870e-04
2.752443562249523268e+01 1.952762118985331492e-04
2.777929150788870771e+01 1.955495683912370115e-04
2.803414739328217919e+01 1.958234998908446188e-04
2.828900327867565423e+01 1.960980080130480076e-04
2.854385916406912926e+01 1.963730943792253670e-04
2.879871504946260430e+01 1.966487606164645115e-04
2.905357093485607933e+01 1.969250083575877636e-04
2.930842682024955081e+01 1.972018392411759957e-04
2.956328270564302585e+01 1.974792549115929167e-04
2.981813859103650088e+01 1.977572570190096830e-04
3.007299447642997592e+01 1.980358472194299437e-04
3.032785036182345095e+01 1.983150271747137201e-04
3.058270624721692599e+01 1.985947985526034538e-04
3.083756213261039747e+01 1.988751630267481571e-04
3.109241801800387250e+01 1.991561222767289732e-04
3.134727390339734754e+01 1.994376779880845736e-04
3.160212978879082257e+01 1.997198318523360136e-04
3.185698567418429761e+01 2.000025855670128883e-04
3.211184155957776909e+01 2.002859408356788117e-04
3.236669744497124412e+01 2.005698993679568953e-04
3.262155333036471916e+01 2.008544628795560941e-04
3.287640921575819419e+01 2.011396330922971465e-04
3.313126510115166923e+01 2.014254117341384321e-04
3.338612098654514426e+01 2.017118005392029686e-04
3.364097687193861930e+01 2.019988012478039178e-04
3.389583275733209433e+01 2.022864156064721507e-04
3.415068864272556226e+01 2.025746453679823508e-04
3.440554452811903730e+01 2.028634922913798470e-04
3.466040041351251233e+01 2.031529581420078820e-04
3.491525629890598736e+01 2.034430446915347444e-04
3.517011218429946240e+01 2.037337537179804937e-04
3.542496806969293743e+01 2.040250870057451233e-04
3.567982395508641247e+01 2.043170463456356106e-04
3.593467984047988750e+01 2.046096335348934563e-04
3.618953572587336254e+01 2.049028503772230630e-04
3.644439161126683757e+01 2.051966986828189759e-04
3.669924749666030550e+01 2.054911802683945601e-04
3.695410338205378054e+01 2.057862969572100541e-04
3.720895926744725557e+01 2.060820505791006237e-04
3.746381515284073060e+01 2.063784429705054456e-04
3.771867103823420564e+01 2.066754759744958967e-04
3.797352692362768067e+01 2.069731514408045567e-04
3.822838280902115571e+01 2.072714712258542100e-04
3.848323869441463074e+01 2.075704371927869843e-04
3.873809457980810578e+01 2.078700512114931627e-04
3.899295046520158081e+01 2.081703151586413792e-04
3.924780635059505585e+01 2.084712309177072682e-04
3.950266223598852378e+01 2.087728003790039312e-04
3.975751812138199881e+01 2.090750254397114808e-04
4.001237400677547384e+01 2.093779080039068023e-04
4.026722989216894888e+01 2.096814499825939656e-04
4.052208577756242391e+01 2.099856532937348266e-04
4.077694166295589895e+01 2.102905198622786803e-04
4.103179754834937398e+01 2.105960516201938924e-04
4.128665343374284902e+01 2.109022505064978774e-04
4.154150931913632405e+01 2.112091184672883508e-04
4.179636520452979909e+01 2.115166574557745540e-04
4.205122108992327412e+01 2.118248694323080460e-04
4.230607697531674205e+01 2.121337563644147951e-04
4.256093286071021708e+01 2.124433202268263235e-04
4.281578874610369212e+01 2.127535630015112025e-04
4.307064463149716715e+01 2.130644866777077419e-04
4.332550051689064219e+01 2.133760932519553500e-04
4.358035640228411722e+01 2.136883847281268974e-04
4.383521228767759226e+01 2.140013631174614869e-04
4.409006817307106729e+01 2.143150304385967085e-04
4.434492405846454233e+01 2.146293887176013010e-04
4.459977994385801736e+01 2.149444399880083556e-04
4.485463582925149240e+01 2.152601862908481403e-04
4.510949171464496033e+01 2.155766296746814119e-04
4.536434760003843536e+01 2.158937721956330805e-04
4.561920348543191039e+01 2.162116159174253319e-04
4.587405937082538543e+01 2.165301629114117798e-04
4.612891525621886046e+01 2.168494152566113203e-04
4.638377114161233550e+01 2.171693750397421757e-04
4.663862702700581053e+01 2.174900443552561552e-04
4.689348291239928557e+01 2.178114253053734309e-04
4.714833879779276060e+01 2.181335200001167712e-04
4.740319468318623564e+01 2.184563305573467235e-04
4.765805056857970357e+01 2.187798591027964167e-04
4.791290645397317860e+01 2.191041077701068253e-04
4.816776233936665363e+01 2.194290787008624393e-04
4.842261822476012867e+01 2.197547740446262029e-04
4.867747411015360370e+01 2.200811959589758890e-04
4.893232999554707874e+01 2.204083466095398244e-04
4.918718588094055377e+01 2.207362281700328034e-04
4.944204176633402881e+01 2.210648428222928695e-04
4.969689765172750384e+01 2.213941927563174467e-04
4.995175353712097888e+01 2.217242801703001476e-04
5.020660942251445391e+01 2.220551072706679081e-04
5.046146530790792184e+01 2.223866762721175513e-04
5.071632119330139687e+01 2.227189893976537353e-04
5.097117707869487191e+01 2.230520488786260865e-04
5.122603296408834694e+01 2.233858569547666323e-04
5.148088884948182198e+01 2.237204158742282626e-04
5.173574473487529701e+01 2.240557278936225146e-04
5.199060062026877205e+01 2.243917952780576553e-04
5.224545650566224708e+01 2.247286203011776584e-04
5.250031239105572212e+01 2.250662052452005041e-04
5.275516827644919715e+01 2.254045524009570475e-04
5.301002416184266508e+01 2.257436640679307547e-04
5.326488004723614011e+01 2.260835425542958123e-04
5.351973593262961515e+01 2.264241901769580294e-04
5.377459181802309018e+01 2.267656092615938140e-04
5.402944770341656522e+01 2.271078021426898284e-04
5.428430358881004025e+01 2.274507711635839172e-04
5.453915947420351529e+01 2.277945186765051690e-04
5.479401535959699032e+01 2.281390470426139776e-04
5.504887124499046536e+01 2.284843586320437837e-04
5.530372713038394039e+01 2.288304558239414612e-04
5.555858301577741543e+01 2.291773410065086258e-04
5.581343890117088336e+01 2.295250165770433765e-04
5.606829478656435839e+01 2.298734849419815224e-04
5.632315067195783342e+01 2.302227485169389750e-04
5.657800655735130846e+01 2.305728097267537068e-04
5.683286244274478349e+01 2.309236710055278727e-04
