# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.670898610517188887e-04
1.300000000000000044e-01 2.672928676782595114e-04
2.600000000000000089e-01 2.674961129242826516e-04
3.900000000000000133e-01 2.676995971758371951e-04
5.200000000000000178e-01 2.679033208197773193e-04
6.500000000000000222e-01 2.681072842437649318e-04
7.800000000000000266e-01 2.683114878362714601e-04
9.100000000000000311e-01 2.685159319865802361e-04
1.040000000000000036e+00 2.687206170847881775e-04
1.169999999999999929e+00 2.689255435218082806e-04
1.300000000000000044e+00 2.691307116893716265e-04
1.430000000000000160e+00 2.693361219800293870e-04
1.560000000000000053e+00 2.695417747871549385e-04
1.689999999999999947e+00 2.697476705049461389e-04
1.820000000000000062e+00 2.699538095284273334e-04
1.950000000000000178e+00 2.701601922534516858e-04
2.080000000000000071e+00 2.703668190767029669e-04
2.209999999999999964e+00 2.705736903956980485e-04
2.339999999999999858e+00 2.707808066087890177e-04
2.470000000000000195e+00 2.709881681151651823e-04
2.600000000000000089e+00 2.711957753148552396e-04
2.729999999999999982e+00 2.714036286087297156e-04
2.860000000000000320e+00 2.716117283985028624e-04
2.990000000000000213e+00 2.718200750867350978e-04
3.120000000000000107e+00 2.720286690768350109e-04
3.250000000000000000e+00 2.722375107730616930e-04
3.379999999999999893e+00 2.724466005805269066e-04
3.510000000000000231e+00 2.726559389051972531e-04
3.640000000000000124e+00 2.728655261538965042e-04
3.770000000000000018e+00 2.730753627343077161e-04
3.900000000000000355e+00 2.732854490549758313e-04
4.030000000000000249e+00 2.734957855253093055e-04
4.160000000000000142e+00 2.737063725555828717e-04
4.290000000000000036e+00 2.739172105569395461e-04
4.419999999999999929e+00 2.741282999413931221e-04
4.549999999999999822e+00 2.743396411218302841e-04
4.679999999999999716e+00 2.745512345120128305e-04
4.810000000000000497e+00 2.747630805265802753e-04
4.940000000000000391e+00 2.749751795810517459e-04
5.070000000000000284e+00 2.751875320918284766e-04
5.200000000000000178e+00 2.754001384761964105e-04
5.330000000000000071e+00 2.756129991523277719e-04
5.459999999999999964e+00 2.758261145392843189e-04
5.589999999999999858e+00 2.760394850570189692e-04
5.720000000000000639e+00 2.762531111263785656e-04
5.850000000000000533e+00 2.764669931691058269e-04
5.980000000000000426e+00 2.766811316078421671e-04
6.110000000000000320e+00 2.768955268661297013e-04
6.240000000000000213e+00 2.771101793684138475e-04
6.370000000000000107e+00 2.773250895400456578e-04
6.500000000000000000e+00 2.775402578072839327e-04
6.629999999999999893e+00 2.777556845972980939e-04
6.759999999999999787e+00 2.779713703381702446e-04
6.890000000000000568e+00 2.781873154588976630e-04
7.020000000000000462e+00 2.784035203893952420e-04
7.150000000000000355e+00 2.786199855604980366e-04
7.280000000000000249e+00 2.788367114039633785e-04
7.410000000000000142e+00 2.790536983524736950e-04
7.540000000000000036e+00 2.792709468396385687e-04
7.669999999999999929e+00 2.794884572999974484e-04
7.800000000000000711e+00 2.797062301690222508e-04
7.930000000000000604e+00 2.799242658831195833e-04
8.060000000000000497e+00 2.801425648796332379e-04
8.189999999999999503e+00 2.803611275968466302e-04
8.320000000000000284e+00 2.805799544739856185e-04
8.450000000000001066e+00 2.807990459512206723e-04
8.580000000000000071e+00 2.810184024696694744e-04
8.710000000000000853e+00 2.812380244713995770e-04
8.839999999999999858e+00 2.814579123994307330e-04
8.970000000000000639e+00 2.816780666977375521e-04
9.099999999999999645e+00 2.818984878112519945e-04
9.230000000000000426e+00 2.821191761858660814e-04
9.359999999999999432e+00 2.823401322684340633e-04
9.490000000000000213e+00 2.825613565067755105e-04
9.620000000000000995e+00 2.827828493496774807e-04
9.750000000000000000e+00 2.830046112468972302e-04
9.880000000000000782e+00 2.832266426491649781e-04
1.000999999999999979e+01 2.834489440081862377e-04
1.014000000000000057e+01 2.836715157766445269e-04
1.026999999999999957e+01 2.838943584082041869e-04
1.040000000000000036e+01 2.841174723575126595e-04
1.053000000000000114e+01 2.843408580802033597e-04
1.066000000000000014e+01 2.845645160328982241e-04
1.079000000000000092e+01 2.847884466732103666e-04
1.091999999999999993e+01 2.850126504597468437e-04
1.105000000000000071e+01 2.852371278521112562e-04
1.117999999999999972e+01 2.854618793109064056e-04
1.131000000000000050e+01 2.856869052977370049e-04
1.144000000000000128e+01 2.859122062752123342e-04
1.157000000000000028e+01 2.861377827069488977e-04
1.170000000000000107e+01 2.863636350575734591e-04
1.183000000000000007e+01 2.865897637927253185e-04
1.196000000000000085e+01 2.868161693790592399e-04
1.208999999999999986e+01 2.870428522842483781e-04
1.222000000000000064e+01 2.872698129769867188e-04
1.234999999999999964e+01 2.874970519269918969e-04
1.248000000000000043e+01 2.877245696050081242e-04
1.261000000000000121e+01 2.879523664828088458e-04
1.274000000000000021e+01 2.881804430331996129e-04
1.287000000000000099e+01 2.884087997300206849e-04
1.300000000000000000e+01 2.886374370481500657e-04
