mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
4,96.39246046009605,-0.8928724535862623,0.001279982481813039,0.0,0.7972212183731522,1.6383551537482665e-06,0.0,0.797222856728306
5,96.39246046009605,-0.0012799824818170763,-0.8928724535862624,0.0,1.638355153758602e-06,0.7972212183731524,0.0,0.7972228567283062
6,105.18167002053136,-5.289137996935395e-15,1.0581813203458523e-14,0.0,2.797498075062576e-29,1.1197477067288913e-28,0.0,1.399497514235149e-28
7,105.18167002053136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,228.14424947274694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,286.16185487561535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,312.76867483103933,0.0,0.0,-1.310917392338988,0.0,0.0,1.7185044095368525,1.7185044095368525
11,455.51264506127103,8.131516293641283e-20,1.637578961322106e-14,0.0,6.612155723375367e-39,2.681664854564787e-28,0.0,2.6816648546309088e-28
12,455.51264506127103,8.184425359658576e-15,-8.196568423990414e-15,0.0,6.698481846782241e-29,6.718373392915669e-29,0.0,1.341685523969791e-28
13,456.8184894798121,-1.193901242191989,0.08105051614264386,0.0,1.4254001761075743,0.006569186166988972,0.0,1.4319693622745633
14,456.8184894798121,-0.08105051614264916,-1.1939012421919808,0.0,0.006569186166989832,1.4254001761075548,0.0,1.4319693622745446
15,597.1318152106415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,662.7961856398671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,670.4616028432578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,670.4616028432578,0.0,3.2959746043559335e-17,0.0,0.0,1.0863448592559252e-33,0.0,1.0863448592559252e-33
