# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.23682053 1.3301732935e-02 6.0124757779e-17 0.0000000000e+00 6.0124757779e-17 1.3301732935e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5775671284e-04
0.47364107 2.6604422808e-02 1.2024951556e-16 0.0000000000e+00 1.2024951556e-16 2.6604422808e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.1551519840e-04
0.71046160 3.9909026728e-02 1.8038590111e-16 0.0000000000e+00 1.8038590111e-16 3.9909026728e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.7327722946e-04
0.94728214 5.3216502148e-02 2.4052840654e-16 0.0000000000e+00 2.4052840654e-16 5.3216502148e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0310445788e-03
1.18410267 6.6527807041e-02 3.0070151137e-16 0.0000000000e+00 3.0070151137e-16 6.6527807041e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2888190194e-03
1.42092321 7.9843900067e-02 3.6089175186e-16 0.0000000000e+00 3.6089175186e-16 7.9843900067e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.5466023243e-03
1.65774374 9.3165740749e-02 4.2110157597e-16 0.0000000000e+00 4.2110157597e-16 9.3165740749e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8043962666e-03
1.89456427 1.0649428965e-01 4.8133098369e-16 0.0000000000e+00 4.8133098369e-16 1.0649428965e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.0622026197e-03
2.13138481 1.1983050853e-01 5.4161914225e-16 0.0000000000e+00 5.4161914225e-16 1.1983050853e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3200231573e-03
2.36820534 1.3317536054e-01 6.0194646805e-16 0.0000000000e+00 6.0194646805e-16 1.3317536054e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5778596530e-03
2.60502588 1.4652981040e-01 6.6229337746e-16 0.0000000000e+00 6.6229337746e-16 1.4652981040e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.8357138811e-03
2.84184641 1.5989482455e-01 7.2271862133e-16 0.0000000000e+00 7.2271862133e-16 1.5989482455e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0935876160e-03
3.07866695 1.7327137133e-01 7.8314876111e-16 0.0000000000e+00 7.8314876111e-16 1.7327137133e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.3514826323e-03
3.31548748 1.8666042117e-01 8.4369150667e-16 0.0000000000e+00 8.4369150667e-16 1.8666042117e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.6094007052e-03
3.55230801 2.0006294677e-01 9.0427341946e-16 0.0000000000e+00 9.0427341946e-16 2.0006294677e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.8673436102e-03
3.78912855 2.1347992327e-01 9.6489449948e-16 0.0000000000e+00 9.6489449948e-16 2.1347992327e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.1253131233e-03
4.02594908 2.2691232840e-01 1.0256330812e-15 0.0000000000e+00 1.0256330812e-15 2.2691232840e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.3833110207e-03
4.26276962 2.4036114271e-01 1.0864108301e-15 0.0000000000e+00 1.0864108301e-15 2.4036114271e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6413390795e-03
4.49959015 2.5382734973e-01 1.1472277463e-15 0.0000000000e+00 1.1472277463e-15 2.5382734973e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.8993990769e-03
4.73641069 2.6731193613e-01 1.2082013314e-15 0.0000000000e+00 1.2082013314e-15 2.6731193613e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.1574927910e-03
4.97323122 2.8081589193e-01 1.2692532509e-15 0.0000000000e+00 1.2692532509e-15 2.8081589193e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.4156220003e-03
5.21005175 2.9434021066e-01 1.3303835049e-15 0.0000000000e+00 1.3303835049e-15 2.9434021066e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6737884839e-03
5.44687229 3.0788588959e-01 1.3916018852e-15 0.0000000000e+00 1.3916018852e-15 3.0788588959e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.9319940215e-03
5.68369282 3.2145392984e-01 1.4529573508e-15 0.0000000000e+00 1.4529573508e-15 3.2145392984e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.1902403937e-03
5.92051336 3.3504533664e-01 1.5143226082e-15 0.0000000000e+00 1.5143226082e-15 3.3504533664e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.4485293815e-03
6.15733389 3.4866111949e-01 1.5759326608e-15 0.0000000000e+00 1.5759326608e-15 3.4866111949e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.7068627670e-03
6.39415443 3.6230229233e-01 1.6376112560e-15 0.0000000000e+00 1.6376112560e-15 3.6230229233e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.9652423326e-03
6.63097496 3.7596987377e-01 1.6992898512e-15 0.0000000000e+00 1.6992898512e-15 3.7596987377e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2236698620e-03
6.86779549 3.8966488725e-01 1.7612719925e-15 0.0000000000e+00 1.7612719925e-15 3.8966488725e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.4821471392e-03
7.10461603 4.0338836127e-01 1.8232737173e-15 0.0000000000e+00 1.8232737173e-15 4.0338836127e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.7406759496e-03
7.34143656 4.1714132954e-01 1.8854125275e-15 0.0000000000e+00 1.8854125275e-15 4.1714132954e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.9992580790e-03
7.57825710 4.3092483123e-01 1.9477471738e-15 0.0000000000e+00 1.9477471738e-15 4.3092483123e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.2578953145e-03
7.81507763 4.4473991111e-01 2.0101993219e-15 0.0000000000e+00 2.0101993219e-15 4.4473991111e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5165894439e-03
8.05189817 4.5858761983e-01 2.0728081388e-15 0.0000000000e+00 2.0728081388e-15 4.5858761983e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.7753422560e-03
8.28871870 4.7246901405e-01 2.1355736247e-15 0.0000000000e+00 2.1355736247e-15 4.7246901405e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.0341555409e-03
