# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 7.5363637934e+01 3.1452100258e-13 -2.0000000000e-08 3.1452100258e-13 7.5363637934e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089309333e+01
0.23682053 7.5364028994e+01 3.1444078810e-13 -2.0000000000e-08 3.1444078810e-13 7.5364028994e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089316958e+01
0.47364107 7.5365202202e+01 3.1448089534e-13 -2.0000000000e-08 3.1448089534e-13 7.5365202202e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089339834e+01
0.71046160 7.5367157641e+01 3.1448089534e-13 -2.0000000000e-08 3.1448089534e-13 7.5367157641e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089377960e+01
0.94728214 7.5369895451e+01 3.1448089534e-13 -2.0000000000e-08 3.1448089534e-13 7.5369895451e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089431338e+01
1.18410267 7.5373415826e+01 3.1452100258e-13 -2.0000000000e-08 3.1452100258e-13 7.5373415826e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089499967e+01
1.42092321 7.5377719018e+01 3.1456110983e-13 -2.0000000000e-08 3.1456110983e-13 7.5377719018e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089583848e+01
1.65774374 7.5382805332e+01 3.1460121707e-13 -2.0000000000e-08 3.1460121707e-13 7.5382805332e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089682981e+01
1.89456427 7.5388675132e+01 3.1460121707e-13 -2.0000000000e-08 3.1460121707e-13 7.5388675132e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089797367e+01
2.13138481 7.5395328834e+01 3.1460121707e-13 -2.0000000000e-08 3.1460121707e-13 7.5395328834e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8089927007e+01
2.36820534 7.5402766915e+01 3.1468143156e-13 -2.0000000000e-08 3.1468143156e-13 7.5402766915e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8090071902e+01
2.60502588 7.5410989903e+01 3.1468143156e-13 -2.0000000000e-08 3.1468143156e-13 7.5410989903e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8090232053e+01
2.84184641 7.5419998386e+01 3.1476164604e-13 -2.0000000000e-08 3.1476164604e-13 7.5419998386e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8090407461e+01
3.07866695 7.5429793007e+01 3.1480175329e-13 -2.0000000000e-08 3.1480175329e-13 7.5429793007e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8090598126e+01
3.31548748 7.5440374463e+01 3.1480175329e-13 -2.0000000000e-08 3.1480175329e-13 7.5440374463e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8090804051e+01
3.55230801 7.5451743513e+01 3.1488196777e-13 -2.0000000000e-08 3.1488196777e-13 7.5451743513e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8091025237e+01
3.78912855 7.5463900966e+01 3.1492207502e-13 -2.0000000000e-08 3.1492207502e-13 7.5463900966e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8091261685e+01
4.02594908 7.5476847694e+01 3.1504239675e-13 -2.0000000000e-08 3.1504239675e-13 7.5476847694e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8091513397e+01
4.26276962 7.5490584621e+01 3.1508250399e-13 -2.0000000000e-08 3.1508250399e-13 7.5490584621e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8091780375e+01
4.49959015 7.5505112732e+01 3.1512261123e-13 -2.0000000000e-08 3.1512261123e-13 7.5505112732e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8092062620e+01
4.73641069 7.5520433066e+01 3.1520282572e-13 -2.0000000000e-08 3.1520282572e-13 7.5520433066e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8092360135e+01
4.97323122 7.5536546722e+01 3.1528304021e-13 -2.0000000000e-08 3.1528304021e-13 7.5536546722e+01 2.0000000000e-08 -2.0000000000e-08 2.0000000000e-08 1.8092672921e+01
