# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.177939581639809123e-04 1.177939581639808039e-04 2.236367862101626316e-05 2.579515949489779659e-04
2.368205342810859315e-01 1.183399487608494452e-04 1.183399487608493639e-04 2.239757799541068772e-05 2.590774755171094935e-04
4.736410685621718630e-01 1.188899261359509490e-04 1.188899261359508541e-04 2.243155450221067404e-05 2.602114067741124873e-04
7.104616028432577668e-01 1.194439295836239993e-04 1.194439295836239044e-04 2.246560837558364391e-05 2.613534675428315205e-04
9.472821371243437261e-01 1.200019988843080638e-04 1.200019988843079689e-04 2.249973985058629868e-05 2.625037376192022941e-04
1.184102671405429685e+00 1.205641743117759302e-04 1.205641743117758489e-04 2.253394916316866467e-05 2.636622977867204235e-04
1.420923205686515534e+00 1.211304966404931491e-04 1.211304966404930543e-04 2.256823655017814882e-05 2.648292298311643624e-04
1.657743739967601604e+00 1.217010071531048152e-04 1.217010071531047068e-04 2.260260224936367214e-05 2.660046165555732213e-04
1.894564274248687452e+00 1.222757476480539312e-04 1.222757476480538499e-04 2.263704649937976602e-05 2.671885417954875607e-04
2.131384808529773522e+00 1.228547604473330466e-04 1.228547604473329653e-04 2.267156953979072268e-05 2.683810904344567346e-04
2.368205342810859371e+00 1.234380884043718692e-04 1.234380884043717879e-04 2.270617161107475914e-05 2.695823484198184229e-04
2.605025877091945219e+00 1.240257749120641151e-04 1.240257749120640067e-04 2.274085295462820500e-05 2.707924027787563166e-04
2.841846411373031067e+00 1.246178639109357797e-04 1.246178639109356983e-04 2.277561381276972067e-05 2.720113416346411580e-04
3.078666945654116915e+00 1.252143998974584202e-04 1.252143998974583389e-04 2.281045442874450198e-05 2.732392542236612102e-04
3.315487479935203208e+00 1.258154279325094022e-04 1.258154279325092938e-04 2.284537504672856623e-05 2.744762309117472487e-04
3.552308014216289056e+00 1.264209936499831213e-04 1.264209936499830400e-04 2.288037591183300428e-05 2.757223632117991249e-04
3.789128548497374904e+00 1.270311432655556118e-04 1.270311432655555305e-04 2.291545727010830039e-05 2.769777438012194291e-04
4.025949082778461197e+00 1.276459235856058233e-04 1.276459235856057420e-04 2.295061936854864195e-05 2.782424665397602173e-04
4.262769617059547045e+00 1.282653820162968979e-04 1.282653820162968437e-04 2.298586245509627322e-05 2.795166264876900114e-04
4.499590151340632893e+00 1.288895665728208642e-04 1.288895665728207558e-04 2.302118677864585587e-05 2.808003199242874691e-04
4.736410685621718741e+00 1.295185258888092951e-04 1.295185258888092137e-04 2.305659258904888708e-05 2.820936443666673620e-04
4.973231219902804590e+00 1.301523092259147276e-04 1.301523092259146191e-04 2.309208013711808719e-05 2.833966985889474271e-04
5.210051754183890438e+00 1.307909664835650403e-04 1.307909664835649318e-04 2.312764967463184831e-05 2.847095826417618374e-04
5.446872288464976286e+00 1.314345482088951245e-04 1.314345482088950703e-04 2.316330145433871004e-05 2.860323978721288811e-04
5.683692822746062134e+00 1.320831056068596718e-04 1.320831056068595634e-04 2.319903572996183857e-05 2.873652469436810907e-04
5.920513357027147983e+00 1.327366905505297605e-04 1.327366905505296521e-04 2.323485275620354310e-05 2.887082338572629693e-04
6.157333891308233831e+00 1.333953555915786901e-04 1.333953555915785817e-04 2.327075278874980911e-05 2.900614639719071046e-04
6.394154425589320567e+00 1.340591539709599087e-04 1.340591539709598274e-04 2.330673608427488253e-05 2.914250440261945780e-04
6.630974959870406416e+00 1.347281396297809921e-04 1.347281396297808837e-04 2.334280290044581660e-05 2.927990821600076924e-04
6.867795494151492264e+00 1.354023672203787413e-04 1.354023672203786600e-04 2.337895349592711364e-05 2.941836879366845048e-04
7.104616028432578112e+00 1.360818921175987887e-04 1.360818921175986531e-04 2.341518813038535659e-05 2.955789723655828085e-04
7.341436562713663960e+00 1.367667704302842104e-04 1.367667704302841019e-04 2.345150706449386431e-05 2.969850479250621834e-04
7.578257096994749809e+00 1.374570590129780255e-04 1.374570590129779442e-04 2.348791055993738755e-05 2.984020285858933843e-04
7.815077631275835657e+00 1.381528154778436735e-04 1.381528154778436193e-04 2.352439887941679811e-05 2.998300298351040671e-04
8.051898165556922393e+00 1.388540982068080514e-04 1.388540982068079430e-04 2.356097228665387966e-05 3.012691687002698503e-04
8.288718699838007353e+00 1.395609663639323420e-04 1.395609663639322607e-04 2.359763104639603045e-05 3.027195637742605789e-04
8.525539234119094090e+00 1.402734799080152678e-04 1.402734799080152135e-04 2.363437542442108468e-05 3.041813352404515490e-04
8.762359768400179050e+00 1.409916996054337308e-04 1.409916996054336224e-04 2.367120568754212695e-05 3.056546048984095038e-04
8.999180302681265786e+00 1.417156870432256636e-04 1.417156870432256094e-04 2.370812210361233398e-05 3.071394961900635935e-04
9.236000836962350746e+00 1.424455046424212708e-04 1.424455046424211624e-04 2.374512494152984329e-05 3.086361342263722494e-04
9.472821371243437483e+00 1.431812156716269165e-04 1.431812156716268623e-04 2.378221447124263216e-05 3.101446458144964348e-04
9.709641905524522443e+00 1.439228842608679469e-04 1.439228842608678656e-04 2.381939096375348800e-05 3.116651594854893004e-04
9.946462439805609179e+00 1.446705754156958948e-04 1.446705754156957593e-04 2.385665469112489403e-05 3.131978055225165584e-04
1.018328297408669592e+01 1.454243550315651096e-04 1.454243550315650283e-04 2.389400592648404371e-05 3.147427159896141850e-04
1.042010350836778088e+01 1.461842899084866705e-04 1.461842899084865892e-04 2.393144494402783487e-05 3.163000247610011284e-04
1.065692404264886761e+01 1.469504477659631090e-04 1.469504477659630277e-04 2.396897201902791462e-05 3.178698675509540107e-04
1.089374457692995257e+01 1.477228972582119359e-04 1.477228972582118004e-04 2.400658742783571412e-05 3.194523819442594945e-04
1.113056511121103931e+01 1.485017079896840434e-04 1.485017079896839621e-04 2.404429144788754094e-05 3.210477074272555871e-04
1.136738564549212427e+01 1.492869505308830553e-04 1.492869505308829468e-04 2.408208435770973241e-05 3.226559854194757616e-04
1.160420617977321101e+01 1.500786964344924274e-04 1.500786964344923461e-04 2.411996643692372426e-05 3.242773593059084707e-04
1.184102671405429597e+01 1.508770182518176723e-04 1.508770182518175910e-04 2.415793796625128530e-05 3.259119744698865825e-04
1.207784724833538270e+01 1.516819895495503197e-04 1.516819895495502384e-04 2.419599922751969107e-05 3.275599783266202897e-04
1.231466778261646766e+01 1.524936849268602828e-04 1.524936849268602014e-04 2.423415050366695513e-05 3.292215203573874800e-04
1.255148831689755440e+01 1.533121800328256549e-04 1.533121800328255736e-04 2.427239207874707730e-05 3.308967521443983159e-04
1.278830885117864113e+01 1.541375515842053853e-04 1.541375515842053040e-04 2.431072423793534604e-05 3.325858274063460082e-04
1.302512938545972609e+01 1.549698773835648082e-04 1.549698773835646998e-04 2.434914726753365785e-05 3.342889020346631861e-04
1.326194991974081283e+01 1.558092363377599349e-04 1.558092363377598535e-04 2.438766145497583323e-05 3.360061341304955776e-04
1.349877045402189779e+01 1.566557084767900487e-04 1.566557084767899674e-04 2.442626708883301398e-05 3.377376840424129996e-04
1.373559098830298453e+01 1.575093749730269795e-04 1.575093749730268982e-04 2.446496445881905714e-05 3.394837144048728941e-04
1.397241152258406949e+01 1.583703181608282936e-04 1.583703181608281851e-04 2.450375385579597965e-05 3.412443901774524549e-04
1.420923205686515622e+01 1.592386215565454589e-04 1.592386215565453505e-04 2.454263557177941330e-05 3.430198786848702159e-04
1.444605259114624118e+01 1.601143698789333819e-04 1.601143698789333006e-04 2.458160989994409684e-05 3.448103496578108166e-04
1.468287312542732792e+01 1.609976490699733772e-04 1.609976490699732959e-04 2.462067713462942243e-05 3.466159752745761463e-04
1.491969365970841288e+01 1.618885463161166729e-04 1.618885463161165374e-04 2.465983757134496498e-05 3.484369302035781549e-04
1.515651419398949962e+01 1.627871500699594823e-04 1.627871500699594009e-04 2.469909150677607941e-05 3.502733916466950134e-04
1.539333472827058635e+01 1.636935500723602670e-04 1.636935500723601586e-04 2.473843923878952153e-05 3.521255393835099235e-04
1.563015526255167131e+01 1.646078373750071619e-04 1.646078373750070535e-04 2.477788106643908928e-05 3.539935558164532844e-04
1.586697579683275805e+01 1.655301043634492477e-04 1.655301043634491663e-04 2.481741728997131482e-05 3.558776260168696848e-04
1.610379633111384479e+01 1.664604447805996957e-04 1.664604447805996144e-04 2.485704821083117348e-05 3.577779377720305344e-04
1.634061686539492797e+01 1.673989537507236875e-04 1.673989537507236062e-04 2.489677413166780975e-05 3.596946816331151068e-04
1.657743739967601471e+01 1.683457278039221386e-04 1.683457278039220302e-04 2.493659535634036486e-05 3.616280509641845472e-04
1.681425793395710144e+01 1.693008649011220170e-04 1.693008649011219628e-04 2.497651218992372641e-05 3.635782419921677129e-04
1.705107846823818818e+01 1.702644644595868609e-04 1.702644644595867796e-04 2.501652493871438986e-05 3.655454538578880642e-04
1.728789900251927136e+01 1.712366273789589087e-04 1.712366273789588003e-04 2.505663391023635388e-05 3.675298886681540493e-04
1.752471953680035810e+01 1.722174560678451727e-04 1.722174560678450914e-04 2.509683941324700554e-05 3.695317515489372154e-04
1.776154007108144484e+01 1.732070544709616601e-04 1.732070544709615517e-04 2.513714175774306306e-05 3.715512506996662885e-04
1.799836060536253157e+01 1.742055280968481557e-04 1.742055280968480473e-04 2.517754125496655932e-05 3.735885974486627555e-04
1.823518113964361831e+01 1.752129840461674976e-04 1.752129840461674162e-04 2.521803821741085908e-05 3.756440063097458136e-04
1.847200167392470149e+01 1.762295310406043357e-04 1.762295310406042273e-04 2.525863295882665947e-05 3.777176950400351987e-04
1.870882220820578823e+01 1.772552794523758681e-04 1.772552794523757868e-04 2.529932579422810549e-05 3.798098846989797061e-04
1.894564274248687497e+01 1.782903413343723360e-04 1.782903413343722276e-04 2.534011703989887850e-05 3.819207997086434387e-04
1.918246327676796170e+01 1.793348304509397191e-04 1.793348304509396107e-04 2.538100701339835927e-05 3.840506679152777027e-04
1.941928381104904489e+01 1.803888623093221136e-04 1.803888623093220323e-04 2.542199603356778756e-05 3.861997206522118893e-04
1.965610434533013162e+01 1.814525541917801370e-04 1.814525541917800285e-04 2.546308442053646918e-05 3.883681928040966279e-04
1.989292487961121836e+01 1.825260251883998079e-04 1.825260251883996994e-04 2.550427249572809150e-05 3.905563228725276157e-04
2.012974541389230509e+01 1.836093962306124990e-04 1.836093962306123905e-04 2.554556058186689322e-05 3.927643530430917590e-04
2.036656594817339183e+01 1.847027901254395983e-04 1.847027901254395170e-04 2.558694900298409162e-05 3.949925292538631629e-04
2.060338648245447501e+01 1.858063315904833184e-04 1.858063315904832371e-04 2.562843808442417441e-05 3.972411012653907130e-04
2.084020701673556175e+01 1.869201472896802685e-04 1.869201472896801872e-04 2.567002815285131335e-05 3.995103227322117250e-04
2.107702755101664849e+01 1.880443658698364930e-04 1.880443658698364117e-04 2.571171953625579841e-05 4.018004512759286895e-04
2.131384808529773522e+01 1.891791179979659303e-04 1.891791179979658490e-04 2.575351256396049210e-05 4.041117485598922613e-04
2.155066861957881841e+01 1.903245363994498574e-04 1.903245363994497490e-04 2.579540756662731778e-05 4.064444803655269242e-04
2.178748915385990514e+01 1.914807558970394363e-04 1.914807558970393279e-04 2.583740487626386988e-05 4.087989166703426443e-04
2.202430968814099188e+01 1.926479134507221534e-04 1.926479134507220450e-04 2.587950482622986491e-05 4.111753317276740363e-04
2.226113022242207862e+01 1.938261481984750547e-04 1.938261481984749463e-04 2.592170775124387708e-05 4.135740041481938815e-04
2.249795075670316180e+01 1.950156014979253225e-04 1.950156014979252141e-04 2.596401398738991124e-05 4.159952169832404614e-04
2.273477129098424854e+01 1.962164169689439440e-04 1.962164169689438627e-04 2.600642387212412837e-05 4.184392578100118876e-04
2.297159182526533527e+01 1.974287405371940468e-04 1.974287405371939925e-04 2.604893774428156420e-05 4.209064188186696035e-04
2.320841235954642201e+01 1.986527204786601118e-04 1.986527204786600576e-04 2.609155594408288858e-05 4.233969969014030445e-04
2.344523289382750875e+01 1.998885074651823510e-04 1.998885074651822425e-04 2.613427881314123589e-05 4.259112937435058192e-04
2.368205342810859193e+01 2.011362546110224037e-04 2.011362546110223224e-04 2.617710669446900848e-05 4.284496159165137176e-04
2.391887396238967867e+01 2.023961175204881376e-04 2.023961175204880291e-04 2.622003993248479180e-05 4.310122749734609788e-04
2.415569449667076540e+01 2.036682543366428403e-04 2.036682543366427590e-04 2.626307887302026619e-05 4.335995875463058316e-04
2.439251503095185214e+01 2.049528257911304894e-04 2.049528257911304081e-04 2.630622386332716274e-05 4.362118754455880805e-04
2.462933556523293532e+01 2.062499952551420635e-04 2.062499952551419822e-04 2.634947525208428687e-05 4.388494657623682885e-04
