mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
4,96.39246046009605,2.9724626148199357e-29,0.75,0.0,0.0,4.748805515486509e-16,0.0,0.0,-4.68199155660709e-16,4.748805515486509e-16,-4.68199155660709e-16,0.0
5,96.39246046009605,1.4446342224825507e-29,0.75,0.0,0.0,-1.9058241313221758e-21,0.0,0.0,4.649058915617843e-16,-1.9058241313221758e-21,4.649058915617843e-16,0.0
6,105.18167002053136,0.0913230577374944,0.75,0.0,0.0,3.159932162661466e-05,0.0,0.0,0.03998032836554606,3.159932162661466e-05,0.03998032836554606,0.0
7,105.18167002053136,0.0913230577374944,0.75,0.0,0.0,-0.03998032836554606,0.0,0.0,3.159932162739437e-05,-0.03998032836554606,3.159932162739437e-05,0.0
8,228.14424947274694,0.11574593630909168,0.75,0.08697498469058779,0.0,0.0,0.0,-0.08697498469058779,0.0,0.0,0.0,0.0
9,286.16185487561535,1.0,0.29992613942167556,-0.012366166395748755,0.0,0.0,0.0,-0.012366166395748758,0.0,0.0,0.0,-0.40014225908615597
10,312.76867483103933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,455.51264506127103,0.0645124886359015,0.75,0.0,0.0,0.00048228829588980706,0.0,0.0,-0.10852179699129647,0.00048228829588980706,-0.10852179699129647,0.0
12,455.51264506127103,0.06451248863590008,0.75,0.0,0.0,-0.10852179699129524,0.0,0.0,-0.0004822882958885694,-0.10852179699129524,-0.0004822882958885694,0.0
13,456.8184894798121,6.052812547839527e-31,0.75,0.0,0.0,-3.3306690738754696e-16,0.0,0.0,2.168404344971009e-19,-3.3306690738754696e-16,2.168404344971009e-19,0.0
14,456.8184894798121,1.6646725712326107e-29,0.75,0.0,0.0,7.797582024515748e-16,0.0,0.0,-1.5629858518551032e-15,7.797582024515748e-16,-1.5629858518551032e-15,0.0
15,597.1318152106415,0.05162117560524027,0.75,-0.11631766195801761,0.0,0.0,0.0,0.11631766195801761,0.0,0.0,0.0,0.0
16,662.7961856398671,2.2934579824714672e-35,0.3333333333333333,-3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,670.4616028432578,0.11105548842061633,0.7499999999999999,0.0,0.0,0.18385058800751497,0.0,0.0,0.0,0.18385058800751497,0.0,0.0
18,670.4616028432578,0.11105548842061633,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,0.18385058800751497,0.0,0.18385058800751497,0.0
