# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.15200000 8.6360415522e-03 -2.8105547366e-18 0.0000000000e+00 -2.8105547366e-18 8.6360415522e-03 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6435376953e-04
0.30400000 1.7272340431e-02 -5.7777783927e-18 0.0000000000e+00 -5.7777783927e-18 1.7272340431e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2870800320e-04
0.45600000 2.5909153984e-02 -8.7453080428e-18 0.0000000000e+00 -8.7453080428e-18 2.5909153984e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9306316515e-04
0.60800000 3.4546739594e-02 -1.1555556785e-17 0.0000000000e+00 -1.1555556785e-17 3.4546739594e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.5741971954e-04
0.76000000 4.3185354703e-02 -1.4365805528e-17 0.0000000000e+00 -1.4365805528e-17 4.3185354703e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.2177813051e-04
0.91200000 5.1825256832e-02 -1.6863940408e-17 0.0000000000e+00 -1.6863940408e-17 5.1825256832e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.8613886224e-04
1.06400000 6.0466703594e-02 -1.9363299263e-17 0.0000000000e+00 -1.9363299263e-17 6.0466703594e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1505023789e-03
1.21600000 6.9109952719e-02 -2.2484437893e-17 0.0000000000e+00 -2.2484437893e-17 6.9109952719e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.3148691448e-03
1.36800000 7.7755262073e-02 -2.5608024475e-17 0.0000000000e+00 -2.5608024475e-17 7.7755262073e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4792396240e-03
1.52000000 8.6402889673e-02 -2.8734059008e-17 0.0000000000e+00 -2.8734059008e-17 8.6402889673e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6436142809e-03
1.67200000 9.5053093711e-02 -3.1230969912e-17 0.0000000000e+00 -3.1230969912e-17 9.5053093711e-02 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8079935797e-03
1.82400000 1.0370613257e-01 -3.4981232171e-17 0.0000000000e+00 -3.4981232171e-17 1.0370613257e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.9723779848e-03
1.97600000 1.1236226485e-01 -3.7478143075e-17 0.0000000000e+00 -3.7478143075e-17 1.1236226485e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1367679604e-03
2.12800000 1.2102174936e-01 -3.9975053979e-17 0.0000000000e+00 -3.9975053979e-17 1.2102174936e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3011639711e-03
2.28000000 1.2968484520e-01 -4.2471964882e-17 0.0000000000e+00 -4.2471964882e-17 1.2968484520e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4655664812e-03
2.43200000 1.3835181170e-01 -4.4968875786e-17 0.0000000000e+00 -4.4968875786e-17 1.3835181170e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.6299759553e-03
2.58400000 1.4702290851e-01 -4.8719138046e-17 0.0000000000e+00 -4.8719138046e-17 1.4702290851e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.7943928578e-03
2.73600000 1.5569839555e-01 -4.9962697594e-17 0.0000000000e+00 -4.9962697594e-17 1.5569839555e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9588176533e-03
2.88800000 1.6437853312e-01 -5.4966311209e-17 0.0000000000e+00 -5.4966311209e-17 1.6437853312e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.1232508065e-03
3.04000000 1.7306358183e-01 -5.7463222112e-17 0.0000000000e+00 -5.7463222112e-17 1.7306358183e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2876927821e-03
3.19200000 1.8175380266e-01 -5.8711677564e-17 0.0000000000e+00 -5.8711677564e-17 1.8175380266e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.4521440449e-03
3.34400000 1.9044945700e-01 -6.2452148016e-17 0.0000000000e+00 -6.2452148016e-17 1.9044945700e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.6166050596e-03
3.49600000 1.9915080662e-01 -6.4958850727e-17 0.0000000000e+00 -6.4958850727e-17 1.9915080662e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7810762912e-03
3.64800000 2.0785811374e-01 -6.9962464342e-17 0.0000000000e+00 -6.9962464342e-17 2.0785811374e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9455582046e-03
3.80000000 2.1657164101e-01 -7.2459375246e-17 0.0000000000e+00 -7.2459375246e-17 2.1657164101e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.1100512649e-03
3.95200000 2.2529165155e-01 -7.4956286150e-17 0.0000000000e+00 -7.4956286150e-17 2.2529165155e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.2745559372e-03
4.10400000 2.3401840898e-01 -7.7462988861e-17 0.0000000000e+00 -7.7462988861e-17 2.3401840898e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.4390726867e-03
4.25600000 2.4275217740e-01 -7.9959899765e-17 0.0000000000e+00 -7.9959899765e-17 2.4275217740e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6036019787e-03
4.40800000 2.5149322147e-01 -8.4953721572e-17 0.0000000000e+00 -8.4953721572e-17 2.5149322147e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.7681442786e-03
4.56000000 2.6024180637e-01 -8.4943929765e-17 0.0000000000e+00 -8.4943929765e-17 2.6024180637e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9327000518e-03
4.71200000 2.6899819786e-01 -8.9947543380e-17 0.0000000000e+00 -8.9947543380e-17 2.6899819786e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.0972697640e-03
4.86400000 2.7776266229e-01 -8.9937751572e-17 0.0000000000e+00 -8.9937751572e-17 2.7776266229e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.2618538807e-03
5.01600000 2.8653546661e-01 -9.4951156995e-17 0.0000000000e+00 -9.4951156995e-17 2.8653546661e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.4264528677e-03
5.16800000 2.9531687839e-01 -9.7448067899e-17 0.0000000000e+00 -9.7448067899e-17 2.9531687839e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.5910671910e-03
5.32000000 3.0410716587e-01 -9.9935186995e-17 0.0000000000e+00 -9.9935186995e-17 3.0410716587e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.7556973165e-03
5.47200000 3.1290659796e-01 -1.0494859242e-16 0.0000000000e+00 -1.0494859242e-16 3.1290659796e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.9203437102e-03
5.62400000 3.2171544424e-01 -1.0492900880e-16 0.0000000000e+00 -1.0492900880e-16 3.2171544424e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.0850068385e-03
5.77600000 3.3053397502e-01 -1.0993262242e-16 0.0000000000e+00 -1.0993262242e-16 3.3053397502e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.2496871675e-03
5.92800000 3.3936246133e-01 -1.1243932513e-16 0.0000000000e+00 -1.1243932513e-16 3.3936246133e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.4143851639e-03
6.08000000 3.4820117497e-01 -1.1242953332e-16 0.0000000000e+00 -1.1242953332e-16 3.4820117497e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.5791012940e-03
6.23200000 3.5705038849e-01 -1.1744293874e-16 0.0000000000e+00 -1.1744293874e-16 3.5705038849e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.7438360247e-03
6.38400000 3.6591037527e-01 -1.1991047422e-16 0.0000000000e+00 -1.1991047422e-16 3.6591037527e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.9085898228e-03
6.53600000 3.7478140947e-01 -1.2241717694e-16 0.0000000000e+00 -1.2241717694e-16 3.7478140947e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0733631551e-03
6.68800000 3.8366376612e-01 -1.2743058236e-16 0.0000000000e+00 -1.2743058236e-16 3.8366376612e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2381564889e-03
6.84000000 3.9255772110e-01 -1.2991770145e-16 0.0000000000e+00 -1.2991770145e-16 3.9255772110e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.4029702914e-03
6.99200000 4.0146355117e-01 -1.3242440417e-16 0.0000000000e+00 -1.3242440417e-16 4.0146355117e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.5678050299e-03
7.14400000 4.1038153400e-01 -1.3493110688e-16 0.0000000000e+00 -1.3493110688e-16 4.1038153400e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.7326611721e-03
7.29600000 4.1931194818e-01 -1.3491152326e-16 0.0000000000e+00 -1.3491152326e-16 4.1931194818e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.8975391855e-03
7.44800000 4.2825507325e-01 -1.3990534507e-16 0.0000000000e+00 -1.3990534507e-16 4.2825507325e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.0624395381e-03
7.60000000 4.3721118973e-01 -1.4491875049e-16 0.0000000000e+00 -1.4491875049e-16 4.3721118973e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.2273626978e-03
7.75200000 4.4618057913e-01 -1.4991257230e-16 0.0000000000e+00 -1.4991257230e-16 4.4618057913e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.3923091328e-03
7.90400000 4.5516352397e-01 -1.4991257230e-16 0.0000000000e+00 -1.4991257230e-16 4.5516352397e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.5572793115e-03
8.05600000 4.6416030781e-01 -1.5490639411e-16 0.0000000000e+00 -1.5490639411e-16 4.6416030781e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.7222737022e-03
8.20800000 4.7317121529e-01 -1.5490639411e-16 0.0000000000e+00 -1.5490639411e-16 4.7317121529e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.8872927738e-03
8.36000000 4.8219653210e-01 -1.5990021591e-16 0.0000000000e+00 -1.5990021591e-16 4.8219653210e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.0523369950e-03
8.51200000 4.9123654507e-01 -1.5990021591e-16 0.0000000000e+00 -1.5990021591e-16 4.9123654507e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.2174068348e-03
8.66400000 5.0029154216e-01 -1.6491362134e-16 0.0000000000e+00 -1.6491362134e-16 5.0029154216e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.3825027625e-03
8.81600000 5.0936181246e-01 -1.6489403772e-16 0.0000000000e+00 -1.6489403772e-16 5.0936181246e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.5476252475e-03
8.96800000 5.1844764626e-01 -1.6990744314e-16 0.0000000000e+00 -1.6990744314e-16 5.1844764626e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.7127747592e-03
9.12000000 5.2754933504e-01 -1.7490126495e-16 0.0000000000e+00 -1.7490126495e-16 5.2754933504e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.8779517676e-03
