mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
4,96.1323383959179,1.072716497221383e-09,0.75,0.0,7.764999999999938e-08,-3.9388185e-06,7.764999999999938e-08,0.0,6.422502499999999e-07,-3.9388185e-06,6.422502499999999e-07,0.0
5,96.1323383959179,1.0852960356287e-09,0.75,0.0,-4.55249999999967e-08,4.0883984999999993e-07,-4.55249999999967e-08,0.0,3.99379825e-06,4.0883984999999993e-07,3.99379825e-06,0.0
6,105.18164978653334,0.09160554909146552,0.75,0.0,-3.426749999999975e-08,0.03998898,-3.426749999999975e-08,0.0,-0.0007708867500000001,0.03998898,-0.0007708867500000001,0.0
7,105.18164978653334,0.0916041541444681,0.75,0.0,-2.2845000000000493e-08,-0.0007709082499999999,-2.2845000000000493e-08,0.0,-0.039988675,-0.0007709082499999999,-0.039988675,0.0
8,228.14415586799055,0.1157746632250048,0.7499999999999999,0.08695000000000785,2.8405000000000902e-15,1.931399999999996e-08,2.8405000000000902e-15,-0.08695000000000785,1.931425000000004e-08,1.931399999999996e-08,1.931425000000004e-08,0.0
9,286.1582786348815,1.0,0.3000307057718826,-0.012324999999990816,2.5522250000000215e-14,9.743024999999997e-08,2.5522250000000215e-14,-0.012324999999990816,-9.743100000000005e-08,9.743024999999997e-08,-9.743100000000005e-08,-0.40010000000001433
10,313.27761338479036,5.8551484042206745e-09,0.75,2.500000000349445e-05,-4.705499999999737e-15,-3.098074999999998e-08,-4.705499999999737e-15,-2.500000000349445e-05,-3.0980499999999984e-08,-3.098074999999998e-08,-3.0980499999999984e-08,0.0
11,455.5069844785756,0.06442673591662025,0.75,0.0,-3.3939999999999575e-08,-0.108428225,-3.3939999999999575e-08,0.0,0.00406994675,-0.108428225,0.00406994675,0.0
12,455.5069844785756,0.06442670097066272,0.75,0.0,6.00200000000003e-08,-0.00406982825,6.00200000000003e-08,0.0,-0.1084282,-0.00406982825,-0.1084282,0.0
13,456.72800598939693,1.0937403086062685e-10,0.75,0.0,-1.2180000000000576e-07,-4.445931999999999e-06,-1.2180000000000576e-07,0.0,-5.2863275e-07,-4.445931999999999e-06,-5.2863275e-07,0.0
14,456.72800598939693,9.989740328871257e-11,0.7500000000000001,0.0,2.4500000000041016e-09,-4.0940869999999995e-07,2.4500000000041016e-09,0.0,4.26085e-06,-4.0940869999999995e-07,4.26085e-06,0.0
15,597.1245996555391,0.05154066602926556,0.75,-0.116325000000006,2.6887500000002747e-15,-4.059250000000005e-08,2.6887500000002747e-15,0.116325000000006,-4.059224999999997e-08,-4.059250000000005e-08,-4.059224999999997e-08,0.0
16,662.7879025028709,4.5083375221838774e-17,0.75,0.0,-1.1053145525e-10,2.5862499999999713e-09,-1.1053145525e-10,0.0,-2.616500000000019e-09,2.5862499999999713e-09,-2.616500000000019e-09,0.0
17,670.4533078780789,0.1108504519688665,0.75,0.0,1.2714532499999998e-08,0.0,1.2714532499999998e-08,0.0,0.183859575,0.0,0.183859575,0.0
18,670.4533078780789,0.1108503615326496,0.75,0.0,-1.27145225e-08,0.18385949999999998,-1.27145225e-08,0.0,0.0,0.18385949999999998,0.0,0.0
