# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 5.153793716098398507e-04
1.519999999999999962e-01 5.164105693208260756e-04
3.039999999999999925e-01 5.174455244603066214e-04
4.559999999999999609e-01 5.184842572486705447e-04
6.079999999999999849e-01 5.195267880486446497e-04
7.600000000000000089e-01 5.205731373665187451e-04
9.119999999999999218e-01 5.216233258533828267e-04
1.064000000000000057e+00 5.226773743063786812e-04
1.215999999999999970e+00 5.237353036699620053e-04
1.367999999999999883e+00 5.247971350371781864e-04
1.520000000000000018e+00 5.258628896509519616e-04
1.671999999999999931e+00 5.269325889053884599e-04
1.823999999999999844e+00 5.280062543470890983e-04
1.975999999999999979e+00 5.290839076764801635e-04
2.128000000000000114e+00 5.301655707491554877e-04
2.279999999999999805e+00 5.312512655772319179e-04
2.431999999999999940e+00 5.323410143307200732e-04
2.584000000000000075e+00 5.334348393389084370e-04
2.735999999999999766e+00 5.345327630917611102e-04
2.887999999999999901e+00 5.356348082413316114e-04
3.040000000000000036e+00 5.367409976031902287e-04
3.191999999999999726e+00 5.378513541578652498e-04
3.343999999999999861e+00 5.389659010523019725e-04
3.495999999999999996e+00 5.400846616013334255e-04
3.647999999999999687e+00 5.412076592891691944e-04
3.799999999999999822e+00 5.423349177708972589e-04
3.951999999999999957e+00 5.434664608740046943e-04
4.104000000000000092e+00 5.446023125999105170e-04
4.256000000000000227e+00 5.457424971255179363e-04
4.407999999999999474e+00 5.468870388047807020e-04
4.559999999999999609e+00 5.480359621702861469e-04
4.711999999999999744e+00 5.491892919348564462e-04
4.863999999999999879e+00 5.503470529931646198e-04
5.016000000000000014e+00 5.515092704233686425e-04
5.168000000000000149e+00 5.526759694887632256e-04
5.320000000000000284e+00 5.538471756394482961e-04
5.471999999999999531e+00 5.550229145140152557e-04
5.623999999999999666e+00 5.562032119412512387e-04
5.775999999999999801e+00 5.573880939418616922e-04
5.927999999999999936e+00 5.585775867302114964e-04
6.080000000000000071e+00 5.597717167160832152e-04
6.232000000000000206e+00 5.609705105064561638e-04
6.383999999999999453e+00 5.621739949073024977e-04
6.535999999999999588e+00 5.633821969254048777e-04
6.687999999999999723e+00 5.645951437701911572e-04
6.839999999999999858e+00 5.658128628555898851e-04
6.991999999999999993e+00 5.670353818019068437e-04
7.144000000000000128e+00 5.682627284377189322e-04
7.295999999999999375e+00 5.694949308017920129e-04
7.447999999999999510e+00 5.707320171450170785e-04
7.599999999999999645e+00 5.719740159323678883e-04
7.751999999999999780e+00 5.732209558448801787e-04
7.903999999999999915e+00 5.744728657816523419e-04
8.055999999999999162e+00 5.757297748618663783e-04
8.208000000000000185e+00 5.769917124268351960e-04
8.359999999999999432e+00 5.782587080420658471e-04
8.512000000000000455e+00 5.795307914993510622e-04
8.663999999999999702e+00 5.808079928188795418e-04
8.815999999999998948e+00 5.820903422513730267e-04
8.967999999999999972e+00 5.833778702802433188e-04
9.119999999999999218e+00 5.846706076237757552e-04
9.272000000000000242e+00 5.859685852373349097e-04
9.423999999999999488e+00 5.872718343155955553e-04
9.576000000000000512e+00 5.885803862947984553e-04
9.727999999999999758e+00 5.898942728550302236e-04
9.879999999999999005e+00 5.912135259225295312e-04
1.003200000000000003e+01 5.925381776720174904e-04
1.018399999999999928e+01 5.938682605290559026e-04
1.033600000000000030e+01 5.952038071724293595e-04
1.048799999999999955e+01 5.965448505365568335e-04
1.064000000000000057e+01 5.978914238139273378e-04
1.079199999999999982e+01 5.992435604575650776e-04
1.094399999999999906e+01 6.006012941835202953e-04
1.109600000000000009e+01 6.019646589733898242e-04
1.124799999999999933e+01 6.033336890768653971e-04
1.140000000000000036e+01 6.047084190143098194e-04
1.155199999999999960e+01 6.060888835793633907e-04
1.170399999999999885e+01 6.074751178415796005e-04
1.185599999999999987e+01 6.088671571490894465e-04
1.200799999999999912e+01 6.102650371312975204e-04
1.216000000000000014e+01 6.116687937016085591e-04
1.231199999999999939e+01 6.130784630601828367e-04
1.246400000000000041e+01 6.144940816967269003e-04
1.261599999999999966e+01 6.159156863933119537e-04
1.276799999999999891e+01 6.173433142272276948e-04
1.291999999999999993e+01 6.187770025738671600e-04
1.307199999999999918e+01 6.202167891096444213e-04
1.322400000000000020e+01 6.216627118149473021e-04
1.337599999999999945e+01 6.231148089771230535e-04
1.352800000000000047e+01 6.245731191934982907e-04
1.367999999999999972e+01 6.260376813744341663e-04
1.383199999999999896e+01 6.275085347464171058e-04
1.398399999999999999e+01 6.289857188551847790e-04
1.413599999999999923e+01 6.304692735688887176e-04
1.428800000000000026e+01 6.319592390812935794e-04
1.443999999999999950e+01 6.334556559150137083e-04
1.459199999999999875e+01 6.349585649247876419e-04
1.474399999999999977e+01 6.364680073007903489e-04
1.489599999999999902e+01 6.379840245719846066e-04
1.504800000000000004e+01 6.395066586095115180e-04
1.519999999999999929e+01 6.410359516301215779e-04
1.535200000000000031e+01 6.425719461996442280e-04
1.550399999999999956e+01 6.441146852365007809e-04
1.565599999999999881e+01 6.456642120152561578e-04
1.580799999999999983e+01 6.472205701702151868e-04
1.595999999999999908e+01 6.487838036990602100e-04
1.611199999999999832e+01 6.503539569665307569e-04
1.626399999999999935e+01 6.519310747081489719e-04
1.641600000000000037e+01 6.535152020339881924e-04
1.656799999999999784e+01 6.551063844324878224e-04
1.671999999999999886e+01 6.567046677743105989e-04
1.687199999999999989e+01 6.583100983162501647e-04
1.702400000000000091e+01 6.599227227051822266e-04
1.717599999999999838e+01 6.615425879820650444e-04
1.732799999999999940e+01 6.631697415859862154e-04
1.748000000000000043e+01 6.648042313582617178e-04
1.763199999999999790e+01 6.664461055465785390e-04
1.778399999999999892e+01 6.680954128091943318e-04
1.793599999999999994e+01 6.697522022191821755e-04
1.808800000000000097e+01 6.714165232687301955e-04
1.823999999999999844e+01 6.730884258734922505e-04
1.839199999999999946e+01 6.747679603769909853e-04
1.854400000000000048e+01 6.764551775550762874e-04
1.869599999999999795e+01 6.781501286204368690e-04
1.884799999999999898e+01 6.798528652271672518e-04
1.900000000000000000e+01 6.815634394753908049e-04
1.915200000000000102e+01 6.832819039159401375e-04
1.930399999999999849e+01 6.850083115550941945e-04
1.945599999999999952e+01 6.867427158593740087e-04
1.960800000000000054e+01 6.884851707603982995e-04
1.975999999999999801e+01 6.902357306597979450e-04
1.991199999999999903e+01 6.919944504341933372e-04
2.006400000000000006e+01 6.937613854402299588e-04
2.021600000000000108e+01 6.955365915196810725e-04
2.036799999999999855e+01 6.973201250046094993e-04
2.051999999999999957e+01 6.991120427225987850e-04
2.067200000000000060e+01 7.009124020020445411e-04
2.082399999999999807e+01 7.027212606775154989e-04
2.097599999999999909e+01 7.045386770951808089e-04
2.112800000000000011e+01 7.063647101183052109e-04
2.128000000000000114e+01 7.081994191328147862e-04
2.143199999999999861e+01 7.100428640529305802e-04
2.158399999999999963e+01 7.118951053268754089e-04
2.173600000000000065e+01 7.137562039426522233e-04
2.188799999999999812e+01 7.156262214338960899e-04
2.203999999999999915e+01 7.175052198857990310e-04
2.219200000000000017e+01 7.193932619411133600e-04
2.234400000000000119e+01 7.212904108062277676e-04
2.249599999999999866e+01 7.231967302573240721e-04
2.264799999999999969e+01 7.251122846466119239e-04
2.280000000000000071e+01 7.270371389086418982e-04
2.295199999999999818e+01 7.289713585667025042e-04
2.310399999999999920e+01 7.309150097392963421e-04
2.325600000000000023e+01 7.328681591467035373e-04
2.340799999999999770e+01 7.348308741176263819e-04
2.355999999999999872e+01 7.368032225959208212e-04
2.371199999999999974e+01 7.387852731474178194e-04
2.386400000000000077e+01 7.407770949668300532e-04
2.401599999999999824e+01 7.427787578847498944e-04
2.416799999999999926e+01 7.447903323747395504e-04
2.432000000000000028e+01 7.468118895605105421e-04
2.447199999999999775e+01 7.488435012232022786e-04
2.462399999999999878e+01 7.508852398087511627e-04
2.477599999999999980e+01 7.529371784353590088e-04
2.492800000000000082e+01 7.549993909010596898e-04
2.507999999999999829e+01 7.570719516913854228e-04
2.523199999999999932e+01 7.591549359871328003e-04
2.538400000000000034e+01 7.612484196722345319e-04
2.553599999999999781e+01 7.633524793417323416e-04
2.568799999999999883e+01 7.654671923098583944e-04
2.583999999999999986e+01 7.675926366182237327e-04
2.599200000000000088e+01 7.697288910441141578e-04
2.614399999999999835e+01 7.718760351088990853e-04
2.629599999999999937e+01 7.740341490865515310e-04
2.644800000000000040e+01 7.762033140122854072e-04
2.659999999999999787e+01 7.783836116913028661e-04
2.675199999999999889e+01 7.805751247076658924e-04
2.690399999999999991e+01 7.827779364332839059e-04
2.705600000000000094e+01 7.849921310370231190e-04
2.720799999999999841e+01 7.872177934939418803e-04
2.735999999999999943e+01 7.894550095946466879e-04
2.751200000000000045e+01 7.917038659547801513e-04
2.766399999999999793e+01 7.939644500246358051e-04
2.781599999999999895e+01 7.962368500989032427e-04
2.796799999999999997e+01 7.985211553265496439e-04
2.812000000000000099e+01 8.008174557208332491e-04
2.827199999999999847e+01 8.031258421694572377e-04
2.842399999999999949e+01 8.054464064448610839e-04
2.857600000000000051e+01 8.077792412146550267e-04
2.872799999999999798e+01 8.101244400521981966e-04
2.887999999999999901e+01 8.124820974473227850e-04
2.903200000000000003e+01 8.148523088172091337e-04
2.918399999999999750e+01 8.172351705174073005e-04
2.933599999999999852e+01 8.196307798530173524e-04
2.948799999999999955e+01 8.220392350900222050e-04
2.964000000000000057e+01 8.244606354667789738e-04
2.979199999999999804e+01 8.268950812056737130e-04
2.994399999999999906e+01 8.293426735249370511e-04
3.009600000000000009e+01 8.318035146506269021e-04
3.024799999999999756e+01 8.342777078287805280e-04
3.039999999999999858e+01 8.367653573377381235e-04
3.055199999999999960e+01 8.392665685006379201e-04
3.070400000000000063e+01 8.417814476980947386e-04
3.085599999999999810e+01 8.443101023810506032e-04
3.100799999999999912e+01 8.468526410838157423e-04
3.116000000000000014e+01 8.494091734372891328e-04
3.131199999999999761e+01 8.519798101823734425e-04
