# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 9.273915279997767857e-06
1.042700299492969052e+00 9.287349152878629393e-06
2.085400598985938103e+00 9.300814095606893124e-06
3.128100898478907155e+00 9.314310206885163706e-06
4.170801197971876206e+00 9.327837585813327965e-06
5.213501497464845258e+00 9.341396331890479353e-06
6.256201796957814310e+00 9.354986545016862740e-06
7.298902096450783361e+00 9.368608325495832750e-06
8.341602395943752413e+00 9.382261774035812105e-06
9.384302695436721464e+00 9.395946991752268597e-06
1.042700299492969052e+01 9.409664080169697145e-06
1.146970329442265957e+01 9.423413141223623877e-06
1.251240359391562862e+01 9.437194277262616986e-06
1.355510389340859767e+01 9.451007591050295889e-06
1.459780419290156672e+01 9.464853185767372582e-06
1.564050449239453577e+01 9.478731165013701453e-06
1.668320479188750483e+01 9.492641632810322331e-06
1.772590509138047565e+01 9.506584693601532327e-06
1.876860539087344293e+01 9.520560452256966144e-06
1.981130569036641020e+01 9.534569014073688255e-06
2.085400598985938103e+01 9.548610484778296924e-06
2.189670628935235186e+01 9.562684970529036714e-06
2.293940658884531913e+01 9.576792577917927923e-06
2.398210688833828641e+01 9.590933413972901111e-06
2.502480718783125724e+01 9.605107586159970581e-06
2.606750748732422807e+01 9.619315202385350273e-06
2.711020778681719534e+01 9.633556370997703480e-06
2.815290808631016262e+01 9.647831200790263820e-06
2.919560838580313344e+01 9.662139801003074790e-06
3.023830868529610427e+01 9.676482281325200524e-06
3.128100898478907155e+01 9.690858751896951794e-06
3.232370928428203882e+01 9.705269323312113705e-06
3.336640958377500965e+01 9.719714106620219135e-06
3.440910988326798048e+01 9.734193213328813700e-06
3.545181018276095131e+01 9.748706755405720718e-06
3.649451048225391503e+01 9.763254845281348529e-06
3.753721078174688586e+01 9.777837595850996118e-06
3.857991108123985668e+01 9.792455120477173985e-06
3.962261138073282041e+01 9.807107532991923322e-06
4.066531168022579124e+01 9.821794947699186010e-06
4.170801197971876206e+01 9.836517479377159372e-06
4.275071227921173289e+01 9.851275243280657699e-06
4.379341257870470372e+01 9.866068355143519519e-06
4.483611287819766744e+01 9.880896931180999619e-06
4.587881317769063827e+01 9.895761088092196639e-06
4.692151347718360910e+01 9.910660943062458647e-06
4.796421377667657282e+01 9.925596613765873415e-06
4.900691407616954365e+01 9.940568218367690936e-06
5.004961437566251448e+01 9.955575875526806920e-06
5.109231467515548530e+01 9.970619704398259850e-06
5.213501497464845613e+01 9.985699824635731425e-06
5.317771527414141985e+01 1.000081635639406902e-05
5.422041557363439068e+01 1.001596942033180307e-05
5.526311587312736151e+01 1.003115913761371358e-05
5.630581617262032523e+01 1.004638562991339494e-05
5.734851647211329606e+01 1.006164901941582074e-05
5.839121677160626689e+01 1.007694942881993909e-05
5.943391707109923772e+01 1.009228698134130178e-05
6.047661737059220854e+01 1.010766180071466980e-05
6.151931767008517227e+01 1.012307401119664925e-05
6.256201796957814310e+01 1.013852373756837311e-05
6.360471826907111392e+01 1.015401110513815748e-05
6.464741856856407765e+01 1.016953623974417991e-05
6.569011886805705558e+01 1.018509926775721198e-05
6.673281916755001930e+01 1.020070031608330770e-05
6.777551946704298302e+01 1.021633951216655642e-05
6.881821976653596096e+01 1.023201698399183907e-05
6.986092006602892468e+01 1.024773286008759796e-05
7.090362036552190261e+01 1.026348726952860314e-05
7.194632066501486634e+01 1.027928034193878328e-05
7.298902096450783006e+01 1.029511220749402756e-05
7.403172126400080799e+01 1.031098299692502328e-05
7.507442156349377171e+01 1.032689284152011205e-05
7.611712186298673544e+01 1.034284187312816631e-05
7.715982216247971337e+01 1.035883022416146924e-05
7.820252246197267709e+01 1.037485802759862007e-05
7.924522276146564082e+01 1.039092541698746485e-05
8.028792306095861875e+01 1.040703252644803394e-05
8.133062336045158247e+01 1.042317949067549303e-05
8.237332365994456040e+01 1.043936644494312480e-05
8.341602395943752413e+01 1.045559352510532560e-05
8.445872425893048785e+01 1.047186086760062438e-05
8.550142455842346578e+01 1.048816860945469127e-05
8.654412485791642951e+01 1.050451688828340222e-05
8.758682515740940744e+01 1.052090584229591705e-05
8.862952545690237116e+01 1.053733561029774405e-05
8.967222575639533488e+01 1.055380633169384858e-05
9.071492605588831282e+01 1.057031814649179560e-05
9.175762635538127654e+01 1.058687119530487345e-05
9.280032665487424026e+01 1.060346561935526690e-05
9.384302695436721820e+01 1.062010156047722505e-05
9.488572725386018192e+01 1.063677916112028679e-05
9.592842755335314564e+01 1.065349856435247076e-05
9.697112785284612357e+01 1.067025991386354320e-05
9.801382815233908730e+01 1.068706335396825699e-05
9.905652845183206523e+01 1.070390902960965001e-05
1.000992287513250290e+02 1.072079708636232992e-05
1.011419290508179927e+02 1.073772767043580472e-05
1.021846293503109706e+02 1.075470092867782510e-05
1.032273296498039343e+02 1.077171700857771840e-05
1.042700299492969123e+02 1.078877605826982077e-05
1.053127302487898760e+02 1.080587822653684160e-05
1.063554305482828397e+02 1.082302366281330414e-05
1.073981308477758176e+02 1.084021251718897429e-05
1.084408311472687814e+02 1.085744494041235044e-05
1.094835314467617451e+02 1.087472108389414129e-05
1.105262317462547230e+02 1.089204109971075908e-05
1.115689320457476867e+02 1.090940514060787882e-05
1.126116323452406505e+02 1.092681336000397715e-05
1.136543326447336284e+02 1.094426591199390686e-05
1.146970329442265921e+02 1.096176295135250016e-05
1.157397332437195701e+02 1.097930463353818042e-05
1.167824335432125338e+02 1.099689111469662135e-05
1.178251338427054975e+02 1.101452255166437741e-05
1.188678341421984754e+02 1.103219910197262256e-05
1.199105344416914392e+02 1.104992092385081628e-05
1.209532347411844171e+02 1.106768817623046604e-05
1.219959350406773808e+02 1.108550101874886277e-05
1.230386353401703445e+02 1.110335961175289581e-05
1.240813356396633225e+02 1.112126411630280369e-05
1.251240359391562862e+02 1.113921469417606697e-05
1.261667362386492499e+02 1.115721150787120982e-05
1.272094365381422278e+02 1.117525472061170479e-05
1.282521368376351916e+02 1.119334449634986240e-05
1.292948371371281553e+02 1.121148099977076646e-05
1.303375374366211190e+02 1.122966439629621615e-05
1.313802377361141112e+02 1.124789485208870371e-05
1.324229380356070749e+02 1.126617253405541408e-05
1.334656383351000386e+02 1.128449760985225853e-05
