# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 4.535707001550465459e-06
1.564023257391285116e+00 4.542101199289722435e-06
3.128046514782570231e+00 4.548510585948253717e-06
4.692069772173855569e+00 4.554935214732419489e-06
6.256093029565140462e+00 4.561375139098984894e-06
7.820116286956425355e+00 4.567830412756604887e-06
9.384139544347711137e+00 4.574301089667315014e-06
1.094816280173899514e+01 4.580787224048023030e-06
1.251218605913028092e+01 4.587288870372025944e-06
1.407620931652156671e+01 4.593806083370532979e-06
1.564023257391285071e+01 4.600338918034196161e-06
1.720425583130413472e+01 4.606887429614652766e-06
1.876827908869542227e+01 4.613451673626078780e-06
2.033230234608670628e+01 4.620031705846756757e-06
2.189632560347799028e+01 4.626627582320657228e-06
2.346034886086927784e+01 4.633239359359009945e-06
2.502437211826056185e+01 4.639867093541925955e-06
2.658839537565184585e+01 4.646510841719988323e-06
2.815241863304313341e+01 4.653170661015885214e-06
2.971644189043441742e+01 4.659846608826043819e-06
3.128046514782570142e+01 4.666538742822269362e-06
3.284448840521698543e+01 4.673247120953407828e-06
3.440851166260826943e+01 4.679971801447012922e-06
3.597253491999956054e+01 4.686712842811032515e-06
3.753655817739084455e+01 4.693470303835495081e-06
3.910058143478212855e+01 4.700244243594218169e-06
4.066460469217341256e+01 4.707034721446527873e-06
4.222862794956469656e+01 4.713841797038989327e-06
4.379265120695598057e+01 4.720665530307148198e-06
4.535667446434727168e+01 4.727505981477286593e-06
4.692069772173855569e+01 4.734363211068195891e-06
4.848472097912983969e+01 4.741237279892948743e-06
5.004874423652112370e+01 4.748128249060704940e-06
5.161276749391240770e+01 4.755036179978507976e-06
5.317679075130369171e+01 4.761961134353116326e-06
5.474081400869497571e+01 4.768903174192827964e-06
5.630483726608626682e+01 4.775862361809332814e-06
5.786886052347755083e+01 4.782838759819572844e-06
5.943288378086883483e+01 4.789832431147617389e-06
6.099690703826011884e+01 4.796843439026547805e-06
6.256093029565140284e+01 4.803871847000364984e-06
6.412495355304268685e+01 4.810917718925902802e-06
6.568897681043397085e+01 4.817981118974755119e-06
6.725300006782525486e+01 4.825062111635227346e-06
6.881702332521653886e+01 4.832160761714291390e-06
7.038104658260783708e+01 4.839277134339555860e-06
7.194506983999912109e+01 4.846411294961265061e-06
7.350909309739040509e+01 4.853563309354284439e-06
7.507311635478168910e+01 4.860733243620135156e-06
