# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.48838712 4.6275106020e-05 6.9805406971e-19 -4.4619807711e-19 6.9805406971e-19 4.6275106020e-05 1.5792657098e-18 -4.4619807711e-19 1.5792657098e-18 3.3347783241e-04
0.97677423 9.2550794903e-05 1.3961332196e-18 -8.9239046525e-19 1.3961332196e-18 9.2550794903e-05 3.1585684598e-18 -8.9239046525e-19 3.1585684598e-18 6.6695739040e-04
1.46516135 1.3882764956e-04 2.0942625420e-18 -1.3385714740e-18 2.0942625420e-18 1.3882764956e-04 4.7379452926e-18 -1.3385714740e-18 4.7379452926e-18 1.0004403996e-03
1.95354847 1.8510625299e-04 2.7924671204e-18 -1.7847354099e-18 2.7924671204e-18 1.8510625299e-04 6.3174332556e-18 -1.7847354099e-18 6.3174332556e-18 1.3339285858e-03
2.44193559 2.3138718833e-04 3.4907720526e-18 -2.2308765752e-18 3.4907720526e-18 2.3138718833e-04 7.8970694033e-18 -2.2308765752e-18 7.8970694033e-18 1.6674236748e-03
2.93032270 2.7767103891e-04 4.1892024472e-18 -2.6769892662e-18 4.1892024472e-18 2.7767103891e-04 9.4768907998e-18 -2.6769892662e-18 9.4768907998e-18 2.0009273928e-03
3.41870982 3.2395838827e-04 4.8877834284e-18 -3.1230677718e-18 4.8877834284e-18 3.2395838827e-04 1.1056934521e-17 -3.1230677718e-18 1.1056934521e-17 2.3344414662e-03
3.90709694 3.7024982025e-04 5.5865401289e-18 -3.5691063722e-18 5.5865401289e-18 3.7024982025e-04 1.2637237658e-17 -3.5691063722e-18 1.2637237658e-17 2.6679676217e-03
4.39548406 4.1654591900e-04 6.2854976949e-18 -4.0150993372e-18 6.2854976949e-18 4.1654591900e-04 1.4217837316e-17 -4.0150993372e-18 1.4217837316e-17 3.0015075864e-03
4.88387117 4.6284726903e-04 6.9846813118e-18 -4.4610409248e-18 6.9846813118e-18 4.6284726903e-04 1.5798770623e-17 -4.4610409248e-18 1.5798770623e-17 3.3350630878e-03
5.37225829 5.0915445528e-04 7.6841161694e-18 -4.9069253796e-18 7.6841161694e-18 5.0915445528e-04 1.7380074726e-17 -4.9069253796e-18 1.7380074726e-17 3.6686358539e-03
5.86064541 5.5546806315e-04 8.3838274928e-18 -5.3527469317e-18 8.3838274928e-18 5.5546806315e-04 1.8961786797e-17 -5.3527469317e-18 1.8961786797e-17 4.0022276133e-03
6.34903252 6.0178867852e-04 9.0838405156e-18 -5.7984997947e-18 9.0838405156e-18 6.0178867852e-04 2.0543944032e-17 -5.7984997947e-18 2.0543944032e-17 4.3358400950e-03
6.83741964 6.4811688786e-04 9.7841805331e-18 -6.2441781646e-18 9.7841805331e-18 6.4811688786e-04 2.2126583660e-17 -6.2441781646e-18 2.2126583660e-17 4.6694750290e-03
7.32580676 6.9445327821e-04 1.0484872840e-17 -6.6897762181e-18 1.0484872840e-17 6.9445327821e-04 2.3709742938e-17 -6.6897762181e-18 2.3709742938e-17 5.0031341457e-03
7.81419388 7.4079843729e-04 1.1185942820e-17 -7.1352881112e-18 1.1185942820e-17 7.4079843729e-04 2.5293459157e-17 -7.1352881112e-18 2.5293459157e-17 5.3368191763e-03
8.30258099 7.8715295348e-04 1.1887415820e-17 -7.5807079774e-18 1.1887415820e-17 7.8715295348e-04 2.6877769644e-17 -7.5807079774e-18 2.6877769644e-17 5.6705318530e-03
8.79096811 8.3351741593e-04 1.2589317268e-17 -8.0260299268e-18 1.2589317268e-17 8.3351741593e-04 2.8462711765e-17 -8.0260299268e-18 2.8462711765e-17 6.0042739085e-03
9.27935523 8.7989241454e-04 1.3291672659e-17 -8.4712480439e-18 1.3291672659e-17 8.7989241454e-04 3.0048322927e-17 -8.4712480439e-18 3.0048322927e-17 6.3380470769e-03
9.76774234 9.2627854008e-04 1.3994507492e-17 -8.9163563865e-18 1.3994507492e-17 9.2627854008e-04 3.1634640579e-17 -8.9163563865e-18 3.1634640579e-17 6.6718530929e-03
10.25612946 9.7267638419e-04 1.4697847315e-17 -9.3613489841e-18 1.4697847315e-17 9.7267638419e-04 3.3221702216e-17 -9.3613489841e-18 3.3221702216e-17 7.0056936923e-03
10.74451658 1.0190865394e-03 1.5401717748e-17 -9.8062198361e-18 1.5401717748e-17 1.0190865394e-03 3.4809545383e-17 -9.8062198361e-18 3.4809545383e-17 7.3395706121e-03
11.23290370 1.0655095994e-03 1.6106144499e-17 -1.0250962911e-17 1.6106144499e-17 1.0655095994e-03 3.6398207673e-17 -1.0250962911e-17 3.6398207673e-17 7.6734855904e-03
11.72129081 1.1119461586e-03 1.6811153223e-17 -1.0695572143e-17 1.6811153223e-17 1.1119461586e-03 3.7987726733e-17 -1.0695572143e-17 3.7987726733e-17 8.0074403665e-03
12.20967793 1.1583968127e-03 1.7516769767e-17 -1.1140041434e-17 1.7516769767e-17 1.1583968127e-03 3.9578140267e-17 -1.1140041434e-17 3.9578140267e-17 8.3414366807e-03
12.69806505 1.2048621584e-03 1.8223019891e-17 -1.1584364647e-17 1.8223019891e-17 1.2048621584e-03 4.1169486036e-17 -1.1584364647e-17 4.1169486036e-17 8.6754762751e-03
13.18645217 1.2513427938e-03 1.8929929602e-17 -1.2028535610e-17 1.8929929602e-17 1.2513427938e-03 4.2761801861e-17 -1.2028535610e-17 4.2761801861e-17 9.0095608927e-03
13.67483928 1.2978393179e-03 1.9637524800e-17 -1.2472548109e-17 1.9637524800e-17 1.2978393179e-03 4.4355125625e-17 -1.2472548109e-17 4.4355125625e-17 9.3436922781e-03
14.16322640 1.3443523312e-03 2.0345831560e-17 -1.2916395892e-17 2.0345831560e-17 1.3443523312e-03 4.5949495280e-17 -1.2916395892e-17 4.5949495280e-17 9.6778721775e-03
14.65161352 1.3908824355e-03 2.1054875976e-17 -1.3360072663e-17 2.1054875976e-17 1.3908824355e-03 4.7544948843e-17 -1.3360072663e-17 4.7544948843e-17 1.0012102338e-02
15.14000063 1.4374302337e-03 2.1764684247e-17 -1.3803572080e-17 2.1764684247e-17 1.4374302337e-03 4.9141524403e-17 -1.3803572080e-17 4.9141524403e-17 1.0346384510e-02
15.62838775 1.4839963306e-03 2.2475282677e-17 -1.4246887760e-17 2.2475282677e-17 1.4839963306e-03 5.0739260121e-17 -1.4246887760e-17 5.0739260121e-17 1.0680720443e-02
16.11677487 1.5305813319e-03 2.3186697535e-17 -1.4690013267e-17 2.3186697535e-17 1.5305813319e-03 5.2338194234e-17 -1.4690013267e-17 5.2338194234e-17 1.1015111890e-02
16.60516199 1.5771858453e-03 2.3898955335e-17 -1.5132942120e-17 2.3898955335e-17 1.5771858453e-03 5.3938365059e-17 -1.5132942120e-17 5.3938365059e-17 1.1349560605e-02
17.09354910 1.6238104799e-03 2.4612082522e-17 -1.5575667787e-17 2.4612082522e-17 1.6238104799e-03 5.5539810990e-17 -1.5575667787e-17 5.5539810990e-17 1.1684068344e-02
17.58193622 1.6704558462e-03 2.5326105715e-17 -1.6018183681e-17 2.5326105715e-17 1.6704558462e-03 5.7142570509e-17 -1.6018183681e-17 5.7142570509e-17 1.2018636866e-02
18.07032334 1.7171225567e-03 2.6041051711e-17 -1.6460483163e-17 2.6041051711e-17 1.7171225567e-03 5.8746682180e-17 -1.6460483163e-17 5.8746682180e-17 1.2353267929e-02
18.55871045 1.7638112254e-03 2.6756947163e-17 -1.6902559538e-17 2.6756947163e-17 1.7638112254e-03 6.0352184657e-17 -1.6902559538e-17 6.0352184657e-17 1.2687963297e-02
19.04709757 1.8105224682e-03 2.7473818972e-17 -1.7344406054e-17 2.7473818972e-17 1.8105224682e-03 6.1959116686e-17 -1.7344406054e-17 6.1959116686e-17 1.3022724731e-02
19.53548469 1.8572569028e-03 2.8191694215e-17 -1.7786015897e-17 2.8191694215e-17 1.8572569028e-03 6.3567517105e-17 -1.7786015897e-17 6.3567517105e-17 1.3357554000e-02
20.02387181 1.9040151487e-03 2.8910599932e-17 -1.8227382196e-17 2.8910599932e-17 1.9040151487e-03 6.5177424851e-17 -1.8227382196e-17 6.5177424851e-17 1.3692452870e-02
20.51225892 1.9507978273e-03 2.9630563340e-17 -1.8668498015e-17 2.9630563340e-17 1.9507978273e-03 6.6788878957e-17 -1.8668498015e-17 6.6788878957e-17 1.4027423112e-02
21.00064604 1.9976055622e-03 3.0351611655e-17 -1.9109356354e-17 3.0351611655e-17 1.9976055622e-03 6.8401918561e-17 -1.9109356354e-17 6.8401918561e-17 1.4362466498e-02
21.48903316 2.0444389787e-03 3.1073772374e-17 -1.9549950145e-17 3.1073772374e-17 2.0444389787e-03 7.0016582902e-17 -1.9549950145e-17 7.0016582902e-17 1.4697584803e-02
